# event_ticker=KXATPCHALLENGERMATCH-26MAY20LEOTAK
# final_score=6-3 6-2
# match_winner=Mitsuki Wei Kang Leong
# fav_player=Mitsuki Wei Kang Leong
# dog_player=Yusuke Takahashi
# kalshi_date=2026-05-20
timestamp,Mitsuki Wei Kang Leong,Yusuke Takahashi
2026-05-19T20:18:00Z,48.00,
2026-05-19T20:56:00Z,49.00,
2026-05-20T00:00:00Z,49.00,52.00
2026-05-20T03:06:00Z,49.00,52.00
2026-05-20T04:22:00Z,49.00,52.00
2026-05-20T04:24:00Z,49.00,52.00
2026-05-20T04:40:00Z,48.00,52.00
2026-05-20T04:44:00Z,49.00,52.00
2026-05-20T04:57:00Z,49.00,52.00
2026-05-20T05:00:00Z,49.00,52.00
2026-05-20T05:08:00Z,49.00,52.00
2026-05-20T05:09:00Z,49.00,52.00
2026-05-20T05:33:00Z,49.00,52.00
2026-05-20T05:53:00Z,49.00,52.00
2026-05-20T05:54:00Z,49.00,52.00
2026-05-20T06:30:00Z,49.00,52.00
2026-05-20T06:39:00Z,49.00,52.00
2026-05-20T06:59:00Z,49.00,52.00
2026-05-20T07:09:00Z,49.00,52.00
2026-05-20T07:28:00Z,49.00,52.00
2026-05-20T07:48:00Z,49.00,52.00
2026-05-20T07:57:00Z,49.00,52.00
2026-05-20T08:03:00Z,49.00,52.00
2026-05-20T08:09:00Z,50.00,52.00
2026-05-20T08:11:00Z,47.44,53.00
2026-05-20T08:12:00Z,38.00,61.99
2026-05-20T08:13:00Z,39.45,57.53
2026-05-20T08:14:00Z,50.00,50.00
2026-05-20T08:15:00Z,53.00,47.90
2026-05-20T08:16:00Z,58.93,44.00
2026-05-20T08:17:00Z,57.00,44.00
2026-05-20T08:18:00Z,55.30,41.58
2026-05-20T08:19:00Z,61.67,35.84
2026-05-20T08:20:00Z,65.00,33.94
2026-05-20T08:21:00Z,69.81,29.00
2026-05-20T08:22:00Z,69.81,29.00
2026-05-20T08:23:00Z,73.00,29.00
2026-05-20T08:24:00Z,73.88,26.43
2026-05-20T08:25:00Z,73.00,26.43
2026-05-20T08:26:00Z,71.00,26.43
2026-05-20T08:28:00Z,70.00,26.43
2026-05-20T08:29:00Z,67.00,26.43
2026-05-20T08:30:00Z,73.05,26.43
2026-05-20T08:31:00Z,75.00,25.00
2026-05-20T08:32:00Z,76.00,24.00
2026-05-20T08:33:00Z,75.00,24.00
2026-05-20T08:34:00Z,75.00,26.15
2026-05-20T08:35:00Z,75.00,30.34
2026-05-20T08:36:00Z,70.00,31.45
2026-05-20T08:37:00Z,65.00,42.00
2026-05-20T08:38:00Z,58.64,42.00
2026-05-20T08:39:00Z,58.64,40.73
2026-05-20T08:40:00Z,57.53,42.14
2026-05-20T08:41:00Z,57.53,33.01
2026-05-20T08:42:00Z,57.53,27.81
2026-05-20T08:43:00Z,77.04,25.00
2026-05-20T08:44:00Z,75.00,22.42
2026-05-20T08:45:00Z,76.72,23.00
2026-05-20T08:46:00Z,80.38,20.00
2026-05-20T08:47:00Z,80.00,20.00
2026-05-20T08:48:00Z,84.00,17.00
2026-05-20T08:49:00Z,84.50,17.30
2026-05-20T08:50:00Z,73.42,19.72
2026-05-20T08:51:00Z,73.42,15.77
2026-05-20T08:52:00Z,78.69,21.25
2026-05-20T08:53:00Z,76.95,23.76
2026-05-20T08:54:00Z,76.95,22.16
2026-05-20T08:55:00Z,78.00,22.16
2026-05-20T08:56:00Z,81.14,22.16
2026-05-20T08:57:00Z,80.04,22.16
2026-05-20T08:58:00Z,85.07,12.34
2026-05-20T08:59:00Z,88.85,10.12
2026-05-20T09:00:00Z,92.01,9.67
2026-05-20T09:01:00Z,95.00,6.53
2026-05-20T09:02:00Z,91.87,8.84
2026-05-20T09:03:00Z,93.00,7.28
2026-05-20T09:04:00Z,94.96,4.79
2026-05-20T09:05:00Z,94.96,2.63
2026-05-20T09:06:00Z,99.00,2.00
2026-05-20T09:07:00Z,99.00,2.05
2026-05-20T09:08:00Z,99.00,2.05
2026-05-20T09:09:00Z,99.00,1.03
2026-05-20T09:11:00Z,98.02,1.03
2026-05-20T09:13:00Z,98.02,1.82
2026-05-20T09:14:00Z,98.02,2.00
2026-05-20T09:16:00Z,98.02,2.00
