# event_ticker=KXATPCHALLENGERMATCH-26FEB10DOSGEO
# final_score=6-2 6-4
# match_winner=Stefan Dostanic
# fav_player=Stefan Dostanic
# dog_player=Benjamin Thomas George
# kalshi_date=2026-02-10
timestamp,Stefan Dostanic,Benjamin Thomas George
2026-02-10T19:02:00Z,96.00,
2026-02-10T19:03:00Z,88.00,
2026-02-10T19:06:00Z,90.00,
2026-02-10T19:19:00Z,96.88,
2026-02-10T19:24:00Z,98.00,4.00
2026-02-10T19:25:00Z,92.75,14.30
2026-02-10T19:26:00Z,62.73,29.21
2026-02-10T19:27:00Z,89.00,80.00
2026-02-10T19:28:00Z,89.00,80.00
2026-02-10T19:29:00Z,80.13,79.83
2026-02-10T19:30:00Z,92.00,79.83
2026-02-10T19:31:00Z,62.69,74.97
2026-02-10T19:32:00Z,87.27,32.06
2026-02-10T19:33:00Z,92.03,9.65
2026-02-10T19:34:00Z,93.08,7.05
2026-02-10T19:35:00Z,93.08,6.97
2026-02-10T19:36:00Z,96.61,7.46
2026-02-10T19:37:00Z,96.61,7.00
2026-02-10T19:38:00Z,96.61,11.19
2026-02-10T19:39:00Z,93.25,10.84
2026-02-10T19:40:00Z,93.25,11.00
2026-02-10T19:41:00Z,93.25,9.00
2026-02-10T19:42:00Z,95.00,10.52
2026-02-10T19:43:00Z,94.15,13.37
2026-02-10T19:44:00Z,87.12,17.38
2026-02-10T19:45:00Z,92.30,15.88
2026-02-10T19:46:00Z,93.00,8.33
2026-02-10T19:47:00Z,90.84,12.62
2026-02-10T19:48:00Z,94.98,8.32
2026-02-10T19:49:00Z,93.44,11.08
2026-02-10T19:50:00Z,94.59,14.03
2026-02-10T19:51:00Z,93.91,8.18
2026-02-10T19:52:00Z,93.37,8.76
2026-02-10T19:53:00Z,93.86,10.47
2026-02-10T19:54:00Z,92.00,10.83
2026-02-10T19:55:00Z,95.42,16.93
2026-02-10T19:56:00Z,91.58,12.82
2026-02-10T19:57:00Z,94.64,6.67
2026-02-10T19:58:00Z,95.07,7.78
2026-02-10T19:59:00Z,93.00,10.02
2026-02-10T20:00:00Z,92.51,10.43
2026-02-10T20:01:00Z,93.53,11.02
2026-02-10T20:02:00Z,90.02,13.38
2026-02-10T20:03:00Z,94.36,14.39
2026-02-10T20:04:00Z,94.38,9.73
2026-02-10T20:05:00Z,94.87,8.02
2026-02-10T20:06:00Z,92.18,10.02
2026-02-10T20:07:00Z,95.51,7.11
2026-02-10T20:08:00Z,97.86,4.46
2026-02-10T20:09:00Z,98.54,2.48
2026-02-10T20:10:00Z,97.43,8.90
2026-02-10T20:11:00Z,96.54,17.53
2026-02-10T20:12:00Z,98.44,4.35
2026-02-10T20:13:00Z,99.00,1.00
