# event_ticker=KXATPMATCH-25AUG09MARPAU
# final_score=6-2 6-2
# score_resolution=2-6 2-6
# match_winner=Tommy Paul
# fav_player=Pedro Martinez
# dog_player=Tommy Paul
# kalshi_date=2025-08-09
timestamp,Pedro Martinez,Tommy Paul
2025-08-09T06:42:00Z,,93.00
2025-08-09T06:55:00Z,14.00,93.00
2025-08-09T07:14:00Z,13.00,93.00
2025-08-09T07:20:00Z,13.00,88.00
2025-08-09T08:08:00Z,13.00,88.00
2025-08-09T08:36:00Z,13.00,88.76
2025-08-09T09:35:00Z,14.00,88.76
2025-08-09T10:21:00Z,14.00,88.76
2025-08-09T10:30:00Z,14.00,88.76
2025-08-09T11:01:00Z,14.00,88.76
2025-08-09T11:16:00Z,14.00,88.76
2025-08-09T11:43:00Z,14.00,88.76
2025-08-09T12:47:00Z,13.00,88.76
2025-08-09T12:50:00Z,13.00,88.76
2025-08-09T12:58:00Z,13.00,88.76
2025-08-09T13:11:00Z,13.00,88.76
2025-08-09T13:13:00Z,13.00,89.00
2025-08-09T13:14:00Z,13.00,89.00
2025-08-09T13:18:00Z,13.00,89.00
2025-08-09T13:33:00Z,13.00,89.00
2025-08-09T13:44:00Z,13.00,89.00
2025-08-09T14:09:00Z,13.00,88.00
2025-08-09T14:11:00Z,13.00,88.00
2025-08-09T14:12:00Z,13.00,88.00
2025-08-09T14:20:00Z,13.00,87.00
2025-08-09T14:26:00Z,13.00,87.00
2025-08-09T14:27:00Z,13.00,88.00
2025-08-09T14:37:00Z,13.00,88.00
2025-08-09T14:48:00Z,13.00,88.00
2025-08-09T14:50:00Z,13.00,88.00
2025-08-09T14:51:00Z,13.00,88.00
2025-08-09T15:01:00Z,13.00,88.00
2025-08-09T15:02:00Z,13.00,88.00
2025-08-09T15:06:00Z,13.00,87.00
2025-08-09T15:14:00Z,13.00,87.00
2025-08-09T15:29:00Z,13.00,87.00
2025-08-09T15:34:00Z,13.00,87.00
2025-08-09T15:35:00Z,13.00,87.00
2025-08-09T15:38:00Z,13.00,88.00
2025-08-09T15:43:00Z,13.00,88.00
2025-08-09T15:49:00Z,13.00,88.00
2025-08-09T16:04:00Z,13.00,88.00
2025-08-09T16:06:00Z,13.00,88.00
2025-08-09T16:07:00Z,13.00,88.00
2025-08-09T16:27:00Z,13.00,88.00
2025-08-09T16:29:00Z,13.00,88.00
2025-08-09T16:30:00Z,13.00,88.00
2025-08-09T16:31:00Z,18.00,88.80
2025-08-09T16:32:00Z,12.00,88.80
2025-08-09T16:35:00Z,12.00,89.00
2025-08-09T16:37:00Z,13.00,89.00
2025-08-09T16:38:00Z,12.00,89.00
2025-08-09T16:41:00Z,12.00,89.00
2025-08-09T16:42:00Z,12.00,89.00
2025-08-09T16:43:00Z,13.00,89.00
2025-08-09T16:44:00Z,12.78,89.00
2025-08-09T16:45:00Z,13.97,89.00
2025-08-09T16:47:00Z,15.00,89.00
2025-08-09T16:49:00Z,17.00,89.00
2025-08-09T16:50:00Z,20.10,80.00
2025-08-09T16:51:00Z,20.00,80.00
2025-08-09T16:52:00Z,17.94,80.00
2025-08-09T16:55:00Z,16.00,80.00
2025-08-09T16:56:00Z,18.00,80.00
2025-08-09T16:57:00Z,16.00,80.00
2025-08-09T16:58:00Z,11.66,89.00
2025-08-09T16:59:00Z,12.01,89.83
2025-08-09T17:00:00Z,12.67,88.00
2025-08-09T17:01:00Z,9.99,92.00
2025-08-09T17:02:00Z,9.58,93.00
2025-08-09T17:04:00Z,9.59,93.91
2025-08-09T17:05:00Z,9.00,93.91
2025-08-09T17:07:00Z,9.00,94.00
2025-08-09T17:08:00Z,9.00,94.00
2025-08-09T17:10:00Z,9.00,95.00
2025-08-09T17:11:00Z,7.90,95.00
2025-08-09T17:12:00Z,5.72,95.00
2025-08-09T17:14:00Z,7.31,95.00
2025-08-09T17:15:00Z,8.95,95.00
2025-08-09T17:16:00Z,9.84,95.00
2025-08-09T17:17:00Z,9.00,95.00
2025-08-09T17:18:00Z,10.00,95.00
2025-08-09T17:19:00Z,8.15,95.00
2025-08-09T17:20:00Z,10.27,95.00
2025-08-09T17:21:00Z,11.04,89.00
2025-08-09T17:22:00Z,11.67,89.00
2025-08-09T17:23:00Z,9.00,89.00
2025-08-09T17:24:00Z,8.73,92.00
2025-08-09T17:25:00Z,8.00,94.00
2025-08-09T17:26:00Z,6.03,94.00
2025-08-09T17:27:00Z,6.00,95.00
2025-08-09T17:28:00Z,6.00,95.00
2025-08-09T17:29:00Z,6.00,95.00
