# event_ticker=KXATPMATCH-25AUG15SHEZVE
# final_score=6-2 6-2
# match_winner=Alexander Zverev
# fav_player=Alexander Zverev
# dog_player=Ben Shelton
# kalshi_date=2025-08-15
timestamp,Alexander Zverev,Ben Shelton
2025-08-15T13:29:00Z,,49.97
2025-08-15T13:34:00Z,,50.00
2025-08-15T13:50:00Z,,53.99
2025-08-15T13:51:00Z,,56.00
2025-08-15T13:57:00Z,57.00,47.04
2025-08-15T13:58:00Z,57.00,47.02
2025-08-15T14:01:00Z,57.00,46.38
2025-08-15T14:02:00Z,57.00,47.00
2025-08-15T14:10:00Z,57.00,47.00
2025-08-15T14:14:00Z,57.00,47.77
2025-08-15T14:16:00Z,57.00,48.05
2025-08-15T14:20:00Z,58.00,48.05
2025-08-15T14:23:00Z,58.00,48.05
2025-08-15T14:27:00Z,58.00,42.64
2025-08-15T14:28:00Z,58.00,43.00
2025-08-15T14:29:00Z,58.00,43.00
2025-08-15T14:30:00Z,58.00,43.00
2025-08-15T14:33:00Z,58.00,43.00
2025-08-15T14:35:00Z,58.00,43.00
2025-08-15T14:41:00Z,58.00,43.00
2025-08-15T14:49:00Z,58.00,43.00
2025-08-15T14:51:00Z,58.00,43.00
2025-08-15T14:53:00Z,58.00,43.00
2025-08-15T14:56:00Z,58.00,43.00
2025-08-15T15:02:00Z,58.00,43.00
2025-08-15T15:11:00Z,58.00,43.00
2025-08-15T15:16:00Z,58.00,43.00
2025-08-15T15:22:00Z,58.00,43.00
2025-08-15T15:23:00Z,58.00,43.00
2025-08-15T15:25:00Z,58.00,43.00
2025-08-15T15:34:00Z,58.00,43.00
2025-08-15T15:36:00Z,58.00,43.00
2025-08-15T15:37:00Z,58.00,43.00
2025-08-15T15:38:00Z,58.00,43.00
2025-08-15T15:46:00Z,58.00,43.00
2025-08-15T15:49:00Z,58.00,43.00
2025-08-15T15:51:00Z,58.00,43.00
2025-08-15T15:59:00Z,58.00,43.00
2025-08-15T16:04:00Z,58.00,43.00
2025-08-15T16:09:00Z,58.00,43.00
2025-08-15T16:10:00Z,58.00,42.00
2025-08-15T16:14:00Z,58.00,42.00
2025-08-15T16:15:00Z,58.00,42.00
