# event_ticker=KXATPCHALLENGERMATCH-26MAY05MONHUE
# final_score=6-4 7-5
# match_winner=Conner Huertas del Pino
# fav_player=Connor Huertas Del Pino
# dog_player=Ignacio Monzon
# kalshi_date=2026-05-05
timestamp,Ignacio Monzon,Connor Huertas Del Pino
2026-05-05T15:53:00Z,72.00,
2026-05-05T16:55:00Z,72.00,
2026-05-05T17:31:00Z,79.25,
2026-05-05T17:51:00Z,83.00,
2026-05-05T18:38:00Z,24.00,
2026-05-05T18:44:00Z,84.15,19.00
2026-05-05T18:46:00Z,84.00,19.00
2026-05-05T18:49:00Z,84.00,19.00
2026-05-05T18:51:00Z,25.00,88.87
2026-05-05T18:53:00Z,26.00,88.87
2026-05-05T18:54:00Z,27.00,75.00
2026-05-05T18:55:00Z,26.00,82.00
2026-05-05T19:01:00Z,86.56,82.00
2026-05-05T19:03:00Z,86.00,82.00
2026-05-05T19:04:00Z,93.70,15.00
2026-05-05T19:06:00Z,91.00,15.00
2026-05-05T19:07:00Z,26.35,75.65
2026-05-05T19:08:00Z,41.10,77.74
2026-05-05T19:09:00Z,29.72,61.59
2026-05-05T19:10:00Z,59.63,60.94
2026-05-05T19:11:00Z,76.03,45.93
2026-05-05T19:12:00Z,42.38,65.35
2026-05-05T19:13:00Z,44.21,61.38
2026-05-05T19:14:00Z,62.34,45.00
2026-05-05T19:15:00Z,59.39,56.73
2026-05-05T19:16:00Z,50.97,61.71
2026-05-05T19:17:00Z,42.24,62.00
2026-05-05T19:18:00Z,44.11,70.78
2026-05-05T19:19:00Z,35.35,70.20
2026-05-05T19:20:00Z,54.77,52.21
2026-05-05T19:21:00Z,47.69,69.26
2026-05-05T19:22:00Z,54.59,58.28
2026-05-05T19:23:00Z,53.54,60.52
2026-05-05T19:24:00Z,55.98,65.06
2026-05-05T19:25:00Z,49.96,63.88
2026-05-05T19:26:00Z,56.29,54.30
2026-05-05T19:27:00Z,58.22,54.67
2026-05-05T19:28:00Z,66.62,50.47
2026-05-05T19:29:00Z,53.14,60.97
2026-05-05T19:30:00Z,43.95,56.16
2026-05-05T19:31:00Z,44.08,64.59
2026-05-05T19:32:00Z,40.57,64.73
2026-05-05T19:33:00Z,40.60,67.49
2026-05-05T19:34:00Z,44.96,64.84
2026-05-05T19:35:00Z,46.56,66.99
2026-05-05T19:36:00Z,47.67,62.12
2026-05-05T19:37:00Z,44.91,65.13
2026-05-05T19:38:00Z,39.19,70.42
2026-05-05T19:39:00Z,43.20,61.52
2026-05-05T19:40:00Z,39.26,67.58
2026-05-05T19:41:00Z,41.94,67.46
2026-05-05T19:42:00Z,43.70,67.46
2026-05-05T19:43:00Z,51.35,61.09
2026-05-05T19:44:00Z,51.92,57.89
2026-05-05T19:45:00Z,44.32,52.70
2026-05-05T19:46:00Z,54.54,58.26
2026-05-05T19:47:00Z,61.43,55.24
2026-05-05T19:48:00Z,61.26,54.39
2026-05-05T19:49:00Z,56.65,57.96
2026-05-05T19:50:00Z,57.22,58.96
2026-05-05T19:51:00Z,53.76,56.97
2026-05-05T19:52:00Z,50.37,54.97
2026-05-05T19:53:00Z,49.77,54.82
2026-05-05T19:54:00Z,64.91,40.29
2026-05-05T19:55:00Z,59.57,44.65
2026-05-05T19:56:00Z,57.48,48.97
2026-05-05T19:57:00Z,58.85,51.16
2026-05-05T19:58:00Z,52.16,54.54
2026-05-05T19:59:00Z,42.81,70.33
2026-05-05T20:00:00Z,39.62,80.61
2026-05-05T20:01:00Z,42.52,64.74
2026-05-05T20:02:00Z,59.17,64.60
2026-05-05T20:03:00Z,44.74,64.55
2026-05-05T20:04:00Z,43.05,63.93
2026-05-05T20:05:00Z,34.35,72.30
2026-05-05T20:06:00Z,28.04,79.25
2026-05-05T20:07:00Z,42.07,74.24
2026-05-05T20:08:00Z,44.51,70.17
2026-05-05T20:09:00Z,43.42,68.48
2026-05-05T20:10:00Z,33.95,75.97
2026-05-05T20:11:00Z,30.90,77.03
2026-05-05T20:12:00Z,28.68,76.09
2026-05-05T20:13:00Z,28.75,78.27
2026-05-05T20:14:00Z,32.20,74.15
2026-05-05T20:15:00Z,30.36,75.48
2026-05-05T20:16:00Z,40.27,66.89
2026-05-05T20:17:00Z,36.50,66.79
2026-05-05T20:18:00Z,33.10,72.13
2026-05-05T20:19:00Z,40.11,65.03
2026-05-05T20:20:00Z,33.44,70.68
2026-05-05T20:21:00Z,33.62,70.86
2026-05-05T20:22:00Z,29.73,75.65
2026-05-05T20:23:00Z,33.00,77.85
2026-05-05T20:24:00Z,44.56,71.16
2026-05-05T20:25:00Z,41.83,70.18
2026-05-05T20:26:00Z,37.24,71.56
2026-05-05T20:27:00Z,26.25,78.09
2026-05-05T20:28:00Z,21.36,83.06
2026-05-05T20:29:00Z,24.53,80.38
2026-05-05T20:30:00Z,28.49,75.61
2026-05-05T20:31:00Z,30.09,75.35
2026-05-05T20:32:00Z,14.98,87.21
2026-05-05T20:33:00Z,3.03,96.41
2026-05-05T20:34:00Z,3.46,98.24
2026-05-05T20:35:00Z,3.46,99.00
2026-05-05T20:36:00Z,3.46,99.00
2026-05-05T20:37:00Z,3.46,99.00
