# event_ticker=KXATPCHALLENGERMATCH-26JUN04SHIIMA
# final_score=7-5 7-6(6)
# score_resolution=5-7 6-7
# match_winner=Braden Shick
# fav_player=Masamichi Imamura
# dog_player=Braden Shick
# kalshi_date=2026-06-04
timestamp,Braden Shick,Masamichi Imamura
2026-06-04T09:34:00Z,54.00,
2026-06-04T11:52:00Z,52.00,
2026-06-04T12:44:00Z,52.00,48.00
2026-06-04T13:24:00Z,52.00,48.00
2026-06-04T13:36:00Z,55.00,47.00
2026-06-04T13:38:00Z,55.00,47.00
2026-06-04T13:41:00Z,55.00,47.00
2026-06-04T13:55:00Z,55.00,45.00
2026-06-04T13:58:00Z,55.00,46.00
2026-06-04T14:00:00Z,53.00,46.00
2026-06-04T14:09:00Z,53.00,46.00
2026-06-04T14:16:00Z,53.00,46.00
2026-06-04T14:18:00Z,55.00,46.00
2026-06-04T14:23:00Z,55.00,46.00
2026-06-04T14:26:00Z,55.00,46.00
2026-06-04T14:33:00Z,55.00,46.00
2026-06-04T14:38:00Z,55.00,46.00
2026-06-04T14:40:00Z,55.00,46.00
2026-06-04T14:42:00Z,55.00,46.00
2026-06-04T14:45:00Z,55.00,46.00
2026-06-04T14:46:00Z,54.00,46.00
2026-06-04T14:55:00Z,54.00,46.00
2026-06-04T15:01:00Z,54.00,46.00
2026-06-04T15:04:00Z,56.00,46.00
2026-06-04T15:07:00Z,56.00,45.00
2026-06-04T15:08:00Z,56.00,45.00
2026-06-04T15:16:00Z,55.00,45.00
2026-06-04T15:20:00Z,55.00,45.00
2026-06-04T15:32:00Z,55.00,45.00
2026-06-04T15:35:00Z,55.00,45.00
2026-06-04T15:50:00Z,56.00,45.00
2026-06-04T15:51:00Z,56.00,45.00
2026-06-04T15:52:00Z,56.00,45.00
2026-06-04T15:55:00Z,56.00,45.00
2026-06-04T15:56:00Z,56.00,45.00
2026-06-04T15:57:00Z,57.00,45.00
2026-06-04T15:58:00Z,57.00,44.00
2026-06-04T16:01:00Z,57.00,44.00
2026-06-04T16:03:00Z,57.00,44.00
2026-06-04T16:06:00Z,57.00,45.00
2026-06-04T16:09:00Z,57.00,45.00
2026-06-04T16:12:00Z,57.00,45.00
2026-06-04T16:13:00Z,57.00,45.00
2026-06-04T16:15:00Z,57.00,45.00
2026-06-04T16:16:00Z,57.00,45.00
2026-06-04T16:18:00Z,57.00,45.00
2026-06-04T16:19:00Z,57.00,45.00
2026-06-04T16:20:00Z,57.00,45.00
2026-06-04T16:24:00Z,57.00,44.00
2026-06-04T16:25:00Z,57.00,44.00
2026-06-04T16:28:00Z,57.00,44.00
2026-06-04T16:30:00Z,57.00,45.00
2026-06-04T16:31:00Z,56.00,45.00
2026-06-04T16:32:00Z,56.00,45.00
2026-06-04T16:33:00Z,57.00,45.00
2026-06-04T16:34:00Z,57.00,45.00
2026-06-04T16:36:00Z,57.00,45.00
2026-06-04T16:39:00Z,55.63,45.00
2026-06-04T16:40:00Z,57.45,45.00
2026-06-04T16:42:00Z,56.00,45.00
2026-06-04T16:43:00Z,57.71,45.00
2026-06-04T16:46:00Z,57.71,45.00
2026-06-04T16:47:00Z,57.00,42.00
2026-06-04T16:52:00Z,57.00,45.00
2026-06-04T16:53:00Z,57.00,44.95
2026-06-04T16:54:00Z,58.00,44.00
2026-06-04T16:55:00Z,55.42,44.00
2026-06-04T16:57:00Z,58.00,44.00
2026-06-04T16:58:00Z,58.00,45.00
2026-06-04T17:00:00Z,57.00,45.00
2026-06-04T17:01:00Z,56.40,45.00
2026-06-04T17:02:00Z,58.00,45.00
2026-06-04T17:03:00Z,58.00,46.00
2026-06-04T17:04:00Z,55.99,44.00
2026-06-04T17:05:00Z,56.60,45.00
2026-06-04T17:06:00Z,51.14,48.83
2026-06-04T17:07:00Z,55.46,48.83
2026-06-04T17:08:00Z,54.82,45.54
2026-06-04T17:09:00Z,55.05,46.00
2026-06-04T17:10:00Z,53.00,46.00
2026-06-04T17:11:00Z,49.37,50.27
2026-06-04T17:12:00Z,44.95,55.47
2026-06-04T17:13:00Z,42.00,60.00
2026-06-04T17:14:00Z,42.69,58.00
2026-06-04T17:15:00Z,45.08,55.64
2026-06-04T17:16:00Z,53.69,44.19
2026-06-04T17:17:00Z,53.68,46.85
2026-06-04T17:18:00Z,50.73,51.77
2026-06-04T17:19:00Z,44.38,57.64
2026-06-04T17:20:00Z,44.38,60.00
2026-06-04T17:21:00Z,42.54,58.77
2026-06-04T17:22:00Z,48.27,53.55
2026-06-04T17:23:00Z,51.22,49.56
2026-06-04T17:24:00Z,57.24,44.54
2026-06-04T17:25:00Z,56.30,43.76
2026-06-04T17:26:00Z,60.59,42.47
2026-06-04T17:27:00Z,60.99,39.37
2026-06-04T17:28:00Z,55.80,43.89
2026-06-04T17:29:00Z,58.97,42.00
2026-06-04T17:30:00Z,55.34,43.17
2026-06-04T17:31:00Z,58.09,43.00
2026-06-04T17:32:00Z,61.03,40.00
2026-06-04T17:33:00Z,59.37,41.88
2026-06-04T17:34:00Z,57.08,42.62
2026-06-04T17:35:00Z,56.54,45.00
2026-06-04T17:36:00Z,58.02,43.00
2026-06-04T17:37:00Z,62.28,40.34
2026-06-04T17:38:00Z,63.00,38.00
2026-06-04T17:39:00Z,62.52,38.00
2026-06-04T17:40:00Z,61.86,40.03
2026-06-04T17:41:00Z,55.43,44.78
2026-06-04T17:42:00Z,52.06,46.18
2026-06-04T17:43:00Z,47.71,50.92
2026-06-04T17:44:00Z,33.81,63.86
2026-06-04T17:45:00Z,33.92,66.87
2026-06-04T17:46:00Z,38.96,62.06
2026-06-04T17:47:00Z,46.94,52.62
2026-06-04T17:48:00Z,50.12,52.51
2026-06-04T17:49:00Z,48.99,50.06
2026-06-04T17:50:00Z,55.47,44.31
2026-06-04T17:51:00Z,58.95,43.58
2026-06-04T17:52:00Z,55.17,48.02
2026-06-04T17:53:00Z,52.31,47.58
2026-06-04T17:54:00Z,58.33,42.40
2026-06-04T17:55:00Z,60.00,41.00
2026-06-04T17:56:00Z,62.52,38.43
2026-06-04T17:57:00Z,68.96,31.23
2026-06-04T17:58:00Z,74.60,26.44
2026-06-04T17:59:00Z,75.01,26.91
2026-06-04T18:00:00Z,78.42,21.00
2026-06-04T18:01:00Z,79.80,20.82
2026-06-04T18:02:00Z,80.00,21.00
2026-06-04T18:03:00Z,78.73,22.00
2026-06-04T18:04:00Z,78.02,22.00
2026-06-04T18:05:00Z,78.05,21.90
2026-06-04T18:06:00Z,79.87,20.57
2026-06-04T18:07:00Z,79.96,23.03
2026-06-04T18:08:00Z,78.27,21.81
2026-06-04T18:09:00Z,77.82,22.49
2026-06-04T18:10:00Z,77.27,23.40
2026-06-04T18:11:00Z,79.50,20.57
2026-06-04T18:12:00Z,81.30,17.54
2026-06-04T18:13:00Z,80.18,19.69
2026-06-04T18:14:00Z,78.74,22.42
2026-06-04T18:15:00Z,79.00,20.86
2026-06-04T18:16:00Z,81.99,19.07
2026-06-04T18:17:00Z,81.00,19.20
2026-06-04T18:18:00Z,81.34,20.11
2026-06-04T18:19:00Z,81.94,19.68
2026-06-04T18:20:00Z,82.52,17.72
2026-06-04T18:21:00Z,79.97,21.16
2026-06-04T18:22:00Z,78.11,23.00
2026-06-04T18:23:00Z,76.91,24.00
2026-06-04T18:24:00Z,77.62,24.58
2026-06-04T18:25:00Z,74.06,26.56
2026-06-04T18:26:00Z,67.17,29.51
2026-06-04T18:27:00Z,59.56,37.90
2026-06-04T18:28:00Z,60.95,39.25
2026-06-04T18:29:00Z,60.45,40.00
2026-06-04T18:30:00Z,61.71,41.34
2026-06-04T18:31:00Z,54.83,45.34
2026-06-04T18:32:00Z,55.37,43.72
2026-06-04T18:33:00Z,58.34,43.22
2026-06-04T18:34:00Z,59.30,41.26
2026-06-04T18:35:00Z,59.00,41.74
2026-06-04T18:36:00Z,67.24,36.53
2026-06-04T18:37:00Z,60.52,43.15
2026-06-04T18:38:00Z,59.45,41.47
2026-06-04T18:39:00Z,70.40,30.02
2026-06-04T18:40:00Z,75.57,24.45
2026-06-04T18:41:00Z,80.15,19.04
2026-06-04T18:42:00Z,80.51,20.28
2026-06-04T18:43:00Z,83.03,16.62
2026-06-04T18:44:00Z,82.51,15.91
2026-06-04T18:45:00Z,83.42,16.16
2026-06-04T18:46:00Z,87.31,14.09
2026-06-04T18:47:00Z,85.88,18.94
2026-06-04T18:48:00Z,79.03,21.41
2026-06-04T18:49:00Z,83.30,16.53
2026-06-04T18:50:00Z,84.91,15.71
