# event_ticker=KXATPCHALLENGERMATCH-26MAR23RENZAR
# final_score=6-1 6-3
# match_winner=Carlos Maria Zarate
# fav_player=Carlos Maria Zarate
# dog_player=Frazier Rengifo
# kalshi_date=2026-03-23
timestamp,Carlos Maria Zarate,Frazier Rengifo
2026-03-23T11:31:00Z,78.00,
2026-03-23T11:49:00Z,77.84,22.31
2026-03-23T12:09:00Z,81.65,22.31
2026-03-23T12:22:00Z,81.00,19.00
2026-03-23T12:24:00Z,81.00,19.00
2026-03-23T12:26:00Z,81.00,19.00
2026-03-23T12:28:00Z,81.00,19.00
2026-03-23T12:30:00Z,81.00,19.00
2026-03-23T12:32:00Z,81.00,19.00
2026-03-23T12:35:00Z,82.00,19.00
2026-03-23T12:37:00Z,81.00,19.00
2026-03-23T12:39:00Z,81.00,19.00
2026-03-23T12:41:00Z,81.00,19.00
2026-03-23T12:43:00Z,81.00,19.00
2026-03-23T12:45:00Z,81.00,19.00
2026-03-23T12:47:00Z,81.00,19.00
2026-03-23T12:49:00Z,81.00,19.00
2026-03-23T12:50:00Z,83.00,17.00
2026-03-23T12:51:00Z,83.00,17.00
2026-03-23T12:53:00Z,83.00,17.00
2026-03-23T12:55:00Z,83.00,17.00
2026-03-23T12:57:00Z,83.00,17.00
2026-03-23T13:06:00Z,85.00,17.00
2026-03-23T14:14:00Z,84.00,17.00
2026-03-23T14:41:00Z,84.00,16.00
2026-03-23T14:52:00Z,84.00,17.00
2026-03-23T15:26:00Z,84.00,17.00
2026-03-23T15:56:00Z,84.00,17.00
2026-03-23T18:11:00Z,84.00,17.00
2026-03-23T18:48:00Z,84.00,17.00
2026-03-23T18:52:00Z,84.00,17.00
2026-03-23T19:22:00Z,84.00,16.00
2026-03-23T20:17:00Z,84.00,16.00
2026-03-23T20:21:00Z,84.00,16.00
2026-03-23T20:29:00Z,86.00,16.00
2026-03-23T20:31:00Z,86.00,14.00
2026-03-23T20:32:00Z,86.00,14.00
2026-03-23T20:35:00Z,86.00,14.00
2026-03-23T20:37:00Z,86.00,15.00
2026-03-23T20:50:00Z,86.00,15.00
2026-03-23T20:57:00Z,86.00,15.00
2026-03-23T20:58:00Z,86.00,15.00
2026-03-23T20:59:00Z,86.00,15.00
2026-03-23T21:08:00Z,86.00,14.00
2026-03-23T21:11:00Z,86.00,16.00
2026-03-23T21:30:00Z,86.00,16.00
2026-03-23T21:46:00Z,86.00,13.80
2026-03-23T21:47:00Z,86.00,13.80
2026-03-23T22:02:00Z,86.00,13.80
2026-03-23T22:03:00Z,86.00,14.80
2026-03-23T22:10:00Z,86.00,16.00
2026-03-23T22:16:00Z,86.00,16.00
2026-03-23T22:18:00Z,86.00,16.00
2026-03-23T22:24:00Z,86.00,16.00
2026-03-23T22:26:00Z,86.00,16.00
2026-03-23T22:27:00Z,86.00,16.00
2026-03-23T22:28:00Z,86.00,15.00
2026-03-23T22:29:00Z,84.68,15.12
2026-03-23T22:30:00Z,84.64,17.61
2026-03-23T22:31:00Z,87.00,10.36
2026-03-23T22:32:00Z,90.00,11.00
2026-03-23T22:33:00Z,89.00,11.41
2026-03-23T22:34:00Z,94.00,9.15
2026-03-23T22:35:00Z,95.03,5.11
2026-03-23T22:36:00Z,95.00,5.00
2026-03-23T22:37:00Z,95.00,5.07
2026-03-23T22:38:00Z,92.93,10.54
2026-03-23T22:39:00Z,94.94,5.68
2026-03-23T22:40:00Z,95.00,4.99
