# event_ticker=KXATPCHALLENGERMATCH-26MAR23BUTMAR
# final_score=6-3 6-3
# match_winner=Edas Butvilas
# fav_player=Edas Butvilas
# dog_player=Pol Martin Tiffon
# kalshi_date=2026-03-23
timestamp,Edas Butvilas,Pol Martin Tiffon
2026-03-23T03:26:00Z,50.00,
2026-03-23T03:56:00Z,50.00,51.00
2026-03-23T04:52:00Z,50.00,51.00
2026-03-23T04:59:00Z,50.00,51.00
2026-03-23T06:36:00Z,50.00,51.00
2026-03-23T06:38:00Z,50.00,51.00
2026-03-23T07:38:00Z,50.00,51.00
2026-03-23T07:45:00Z,50.94,51.00
2026-03-23T07:56:00Z,51.00,51.00
2026-03-23T08:05:00Z,51.00,51.00
2026-03-23T08:28:00Z,51.00,51.98
2026-03-23T08:35:00Z,51.00,51.00
2026-03-23T09:20:00Z,51.00,51.00
2026-03-23T10:13:00Z,51.00,51.00
2026-03-23T10:14:00Z,51.00,51.00
2026-03-23T10:21:00Z,48.96,51.00
2026-03-23T10:33:00Z,48.00,52.00
2026-03-23T10:37:00Z,49.00,52.00
2026-03-23T11:01:00Z,48.00,52.00
2026-03-23T12:08:00Z,47.00,52.00
2026-03-23T12:15:00Z,47.00,52.00
2026-03-23T12:39:00Z,47.00,52.00
2026-03-23T12:42:00Z,47.00,52.00
2026-03-23T12:55:00Z,47.00,55.00
2026-03-23T12:57:00Z,47.00,55.00
2026-03-23T13:22:00Z,47.00,55.00
2026-03-23T13:39:00Z,47.00,55.00
2026-03-23T13:57:00Z,47.00,55.00
2026-03-23T14:03:00Z,46.00,55.00
2026-03-23T14:08:00Z,46.00,55.00
2026-03-23T14:11:00Z,46.00,55.00
2026-03-23T14:14:00Z,46.00,55.00
2026-03-23T14:24:00Z,47.00,55.00
2026-03-23T14:33:00Z,47.00,54.00
2026-03-23T14:39:00Z,47.00,54.00
2026-03-23T14:44:00Z,45.00,53.00
2026-03-23T14:54:00Z,46.00,53.00
2026-03-23T14:58:00Z,46.00,53.00
2026-03-23T15:01:00Z,47.00,53.00
2026-03-23T15:02:00Z,47.77,53.00
2026-03-23T15:03:00Z,47.00,53.00
2026-03-23T15:06:00Z,47.00,54.00
2026-03-23T15:07:00Z,47.00,55.00
2026-03-23T15:08:00Z,47.00,55.00
2026-03-23T15:09:00Z,47.00,55.00
2026-03-23T15:10:00Z,47.00,55.00
2026-03-23T15:11:00Z,44.00,56.00
2026-03-23T15:12:00Z,47.00,55.73
2026-03-23T15:13:00Z,48.33,51.00
2026-03-23T15:14:00Z,48.33,48.86
2026-03-23T15:15:00Z,60.00,41.00
2026-03-23T15:16:00Z,58.43,42.00
2026-03-23T15:17:00Z,65.00,39.42
2026-03-23T15:18:00Z,65.00,36.38
2026-03-23T15:19:00Z,64.12,33.80
2026-03-23T15:20:00Z,69.48,32.39
2026-03-23T15:21:00Z,66.71,31.10
2026-03-23T15:22:00Z,68.43,31.00
2026-03-23T15:23:00Z,66.56,31.91
2026-03-23T15:24:00Z,71.78,30.41
2026-03-23T15:25:00Z,69.12,33.81
2026-03-23T15:26:00Z,74.99,27.69
2026-03-23T15:27:00Z,71.81,27.33
2026-03-23T15:28:00Z,72.24,30.13
2026-03-23T15:29:00Z,69.01,31.00
2026-03-23T15:30:00Z,67.42,31.00
2026-03-23T15:31:00Z,68.86,32.35
2026-03-23T15:32:00Z,65.11,36.00
2026-03-23T15:33:00Z,66.23,35.41
2026-03-23T15:34:00Z,66.35,32.00
2026-03-23T15:35:00Z,70.44,30.00
2026-03-23T15:36:00Z,71.89,30.46
2026-03-23T15:37:00Z,70.93,30.29
2026-03-23T15:38:00Z,70.92,29.51
2026-03-23T15:39:00Z,76.08,25.62
