# event_ticker=KXATPMATCH-25AUG18KOVMIS
# final_score=7-6(2) 7-6(8)
# score_resolution=7-6 7-6
# match_winner=Aleksandar Kovacevic
# fav_player=Aleksandar Kovacevic
# dog_player=Filip Misolic
# kalshi_date=2025-08-18
timestamp,Aleksandar Kovacevic,Filip Misolic
2025-08-18T12:59:00Z,,41.00
2025-08-18T13:51:00Z,,41.00
2025-08-18T14:07:00Z,,41.00
2025-08-18T14:44:00Z,62.00,41.00
2025-08-18T15:22:00Z,62.00,40.00
2025-08-18T15:32:00Z,62.00,40.00
2025-08-18T15:43:00Z,62.00,40.00
2025-08-18T16:02:00Z,61.00,40.00
2025-08-18T16:03:00Z,61.00,39.00
2025-08-18T16:37:00Z,62.00,39.00
2025-08-18T16:51:00Z,62.00,39.00
2025-08-18T16:57:00Z,62.00,39.00
2025-08-18T16:58:00Z,62.00,39.04
2025-08-18T16:59:00Z,62.00,40.00
2025-08-18T17:06:00Z,59.00,40.00
2025-08-18T17:28:00Z,59.00,40.00
2025-08-18T17:39:00Z,59.00,40.00
2025-08-18T18:01:00Z,59.00,40.00
2025-08-18T18:02:00Z,59.00,40.00
2025-08-18T18:17:00Z,59.00,40.00
2025-08-18T18:22:00Z,59.00,40.00
2025-08-18T18:57:00Z,59.00,42.00
2025-08-18T19:03:00Z,59.00,42.00
2025-08-18T19:11:00Z,59.00,42.00
2025-08-18T19:15:00Z,59.00,42.00
2025-08-18T19:24:00Z,59.00,43.00
2025-08-18T19:25:00Z,60.18,43.00
2025-08-18T19:34:00Z,61.00,43.00
2025-08-18T19:37:00Z,61.00,43.00
2025-08-18T19:40:00Z,61.00,42.00
2025-08-18T19:41:00Z,61.00,42.00
2025-08-18T19:42:00Z,61.00,42.00
2025-08-18T19:43:00Z,61.00,42.22
2025-08-18T19:46:00Z,61.00,42.22
2025-08-18T19:47:00Z,60.54,42.77
2025-08-18T19:48:00Z,60.54,42.00
2025-08-18T19:49:00Z,60.54,42.00
2025-08-18T19:51:00Z,60.00,41.47
2025-08-18T19:52:00Z,67.70,31.79
2025-08-18T19:53:00Z,65.95,38.75
2025-08-18T19:54:00Z,62.02,36.43
2025-08-18T19:55:00Z,58.00,45.00
2025-08-18T19:56:00Z,58.00,44.00
2025-08-18T19:57:00Z,59.00,46.00
2025-08-18T19:58:00Z,61.00,39.00
2025-08-18T19:59:00Z,59.02,42.40
2025-08-18T20:00:00Z,59.02,41.75
2025-08-18T20:01:00Z,60.00,43.00
2025-08-18T20:02:00Z,60.00,43.00
2025-08-18T20:03:00Z,60.00,41.23
2025-08-18T20:04:00Z,63.00,41.23
2025-08-18T20:05:00Z,63.00,43.00
2025-08-18T20:06:00Z,60.26,40.00
2025-08-18T20:07:00Z,60.00,40.00
2025-08-18T20:08:00Z,60.00,40.12
2025-08-18T20:09:00Z,62.37,40.12
2025-08-18T20:10:00Z,59.14,40.12
2025-08-18T20:12:00Z,61.00,40.00
2025-08-18T20:13:00Z,61.00,40.00
2025-08-18T20:14:00Z,60.00,42.12
2025-08-18T20:15:00Z,55.82,47.28
2025-08-18T20:16:00Z,50.31,51.37
2025-08-18T20:17:00Z,63.26,40.04
2025-08-18T20:18:00Z,59.11,41.70
2025-08-18T20:19:00Z,59.11,47.00
2025-08-18T20:20:00Z,57.00,48.01
2025-08-18T20:21:00Z,62.90,47.00
2025-08-18T20:22:00Z,61.00,47.00
2025-08-18T20:23:00Z,61.93,47.00
2025-08-18T20:24:00Z,62.00,42.56
2025-08-18T20:25:00Z,59.00,42.56
2025-08-18T20:26:00Z,57.90,46.83
2025-08-18T20:27:00Z,57.62,46.00
2025-08-18T20:28:00Z,61.38,43.82
2025-08-18T20:29:00Z,63.00,43.82
2025-08-18T20:30:00Z,61.89,43.54
2025-08-18T20:32:00Z,58.31,45.61
2025-08-18T20:33:00Z,53.62,52.10
2025-08-18T20:34:00Z,55.94,48.98
2025-08-18T20:35:00Z,56.00,45.00
2025-08-18T20:36:00Z,56.00,45.00
2025-08-18T20:37:00Z,58.45,45.07
2025-08-18T20:38:00Z,68.41,45.07
2025-08-18T20:39:00Z,77.20,18.93
2025-08-18T20:40:00Z,77.96,18.56
2025-08-18T20:41:00Z,82.58,19.00
2025-08-18T20:42:00Z,82.10,16.05
2025-08-18T20:43:00Z,81.26,19.00
2025-08-18T20:44:00Z,81.00,19.00
2025-08-18T20:45:00Z,84.83,19.00
2025-08-18T20:46:00Z,84.83,16.55
2025-08-18T20:47:00Z,85.00,18.18
