# event_ticker=KXATPMATCH-25OCT01CILBAS
# final_score=6-3 7-6(5)
# score_resolution=6-3 7-6
# match_winner=Marin Cilic
# fav_player=Marin Cilic
# dog_player=Nikoloz Basilashvili
# kalshi_date=2025-10-01
timestamp,Marin Cilic,Nikoloz Basilashvili
2025-09-30T20:31:00Z,,50.00
2025-09-30T20:43:00Z,52.00,50.00
2025-09-30T21:05:00Z,52.00,50.00
2025-09-30T21:29:00Z,52.00,50.00
2025-09-30T22:26:00Z,52.00,48.00
2025-09-30T22:46:00Z,53.00,48.00
2025-09-30T22:48:00Z,53.00,48.00
2025-09-30T23:02:00Z,51.00,48.00
2025-09-30T23:15:00Z,49.00,48.00
2025-09-30T23:27:00Z,49.00,52.00
2025-10-01T00:21:00Z,49.00,52.00
2025-10-01T00:24:00Z,49.00,52.00
2025-10-01T01:01:00Z,49.00,52.68
2025-10-01T01:16:00Z,49.00,53.00
2025-10-01T01:18:00Z,49.00,53.00
2025-10-01T01:19:00Z,49.00,53.00
2025-10-01T01:35:00Z,49.00,53.00
2025-10-01T01:42:00Z,49.00,52.99
2025-10-01T02:10:00Z,49.00,53.00
2025-10-01T02:12:00Z,48.00,53.00
2025-10-01T02:16:00Z,48.00,53.00
2025-10-01T02:25:00Z,48.00,53.00
2025-10-01T02:41:00Z,48.00,53.00
2025-10-01T02:44:00Z,48.00,53.00
2025-10-01T02:45:00Z,48.00,53.00
2025-10-01T02:49:00Z,48.00,53.00
2025-10-01T03:05:00Z,48.00,53.00
2025-10-01T03:07:00Z,48.00,53.00
2025-10-01T03:10:00Z,48.00,53.00
2025-10-01T03:13:00Z,48.00,53.00
2025-10-01T03:19:00Z,48.00,53.00
2025-10-01T03:21:00Z,48.00,53.00
2025-10-01T03:23:00Z,48.74,53.00
2025-10-01T03:24:00Z,48.74,53.00
2025-10-01T03:25:00Z,48.00,53.00
2025-10-01T03:30:00Z,48.00,53.00
2025-10-01T03:31:00Z,48.00,53.00
2025-10-01T03:32:00Z,48.00,53.00
2025-10-01T03:47:00Z,48.00,53.00
2025-10-01T03:57:00Z,48.00,53.00
2025-10-01T03:59:00Z,48.00,53.00
2025-10-01T04:04:00Z,48.00,53.00
2025-10-01T04:05:00Z,48.00,53.00
2025-10-01T04:08:00Z,48.00,53.00
2025-10-01T04:10:00Z,48.00,53.00
2025-10-01T04:11:00Z,48.00,53.00
2025-10-01T04:13:00Z,48.00,53.34
2025-10-01T04:17:00Z,48.00,53.34
2025-10-01T04:19:00Z,48.00,51.86
2025-10-01T04:23:00Z,48.00,51.86
2025-10-01T04:25:00Z,48.00,53.00
2025-10-01T04:27:00Z,48.00,53.00
2025-10-01T04:30:00Z,48.00,53.48
2025-10-01T04:39:00Z,48.00,53.48
2025-10-01T04:41:00Z,48.00,53.00
