# event_ticker=KXATPCHALLENGERMATCH-26MAR31BRAOFN
# final_score=6-3 1-0 RET
# match_winner=Raul Brancaccio
# fav_player=Raul Brancaccio
# dog_player=Sebastian Ofner
# kalshi_date=2026-03-31
timestamp,Raul Brancaccio,Sebastian Ofner
2026-04-01T03:48:00Z,13.00,
2026-04-01T03:51:00Z,10.00,
2026-04-01T04:32:00Z,10.00,92.00
2026-04-01T05:22:00Z,11.00,92.00
2026-04-01T05:33:00Z,11.00,92.00
2026-04-01T05:40:00Z,11.00,92.00
2026-04-01T10:19:00Z,9.00,94.05
2026-04-01T11:08:00Z,11.00,94.05
2026-04-01T11:28:00Z,10.00,94.05
2026-04-01T11:34:00Z,10.00,89.00
2026-04-01T11:41:00Z,10.00,89.00
2026-04-01T11:57:00Z,9.00,90.50
2026-04-01T12:05:00Z,10.00,90.50
2026-04-01T12:06:00Z,10.00,90.50
2026-04-01T12:18:00Z,10.00,90.50
2026-04-01T12:21:00Z,9.00,92.00
2026-04-01T12:32:00Z,10.89,92.00
2026-04-01T12:40:00Z,11.00,92.00
2026-04-01T12:43:00Z,10.00,92.00
2026-04-01T12:44:00Z,12.00,89.00
2026-04-01T12:45:00Z,11.76,89.00
2026-04-01T13:20:00Z,9.00,89.00
2026-04-01T13:25:00Z,13.00,89.00
2026-04-01T13:31:00Z,13.00,89.00
2026-04-01T13:34:00Z,13.00,89.00
2026-04-01T13:35:00Z,13.00,89.00
2026-04-01T13:37:00Z,13.00,88.00
2026-04-01T13:39:00Z,14.00,88.00
2026-04-01T13:48:00Z,14.00,88.00
2026-04-01T13:50:00Z,13.00,87.55
2026-04-01T13:52:00Z,14.00,87.55
2026-04-01T13:54:00Z,15.44,87.55
2026-04-01T13:55:00Z,13.00,87.55
2026-04-01T14:19:00Z,16.24,87.55
2026-04-01T14:26:00Z,17.00,87.55
2026-04-01T14:34:00Z,17.00,87.00
2026-04-01T14:36:00Z,17.86,87.00
2026-04-01T14:42:00Z,17.00,84.00
2026-04-01T14:45:00Z,17.00,87.00
2026-04-01T14:46:00Z,17.00,87.00
2026-04-01T14:49:00Z,17.96,87.00
2026-04-01T14:50:00Z,18.00,87.00
2026-04-01T14:57:00Z,20.11,87.00
2026-04-01T14:58:00Z,21.63,87.00
2026-04-01T14:59:00Z,16.00,86.68
2026-04-01T15:02:00Z,23.21,86.25
2026-04-01T15:03:00Z,15.00,84.55
2026-04-01T15:04:00Z,19.57,85.83
2026-04-01T15:05:00Z,17.27,85.83
2026-04-01T15:06:00Z,16.00,85.00
2026-04-01T15:07:00Z,19.81,84.85
2026-04-01T15:08:00Z,13.00,87.08
2026-04-01T15:09:00Z,13.00,88.90
2026-04-01T15:10:00Z,15.65,86.00
2026-04-01T15:11:00Z,18.04,84.28
2026-04-01T15:12:00Z,19.53,79.33
2026-04-01T15:13:00Z,21.83,77.39
2026-04-01T15:14:00Z,23.36,78.93
2026-04-01T15:15:00Z,25.00,77.92
2026-04-01T15:16:00Z,27.97,71.11
2026-04-01T15:17:00Z,28.27,73.79
2026-04-01T15:18:00Z,24.05,78.66
2026-04-01T15:19:00Z,16.85,84.80
2026-04-01T15:20:00Z,16.75,84.95
2026-04-01T15:21:00Z,14.12,86.02
2026-04-01T15:22:00Z,16.58,84.18
2026-04-01T15:23:00Z,20.21,81.00
2026-04-01T15:24:00Z,23.03,79.95
2026-04-01T15:25:00Z,23.96,78.89
2026-04-01T15:26:00Z,32.26,71.48
2026-04-01T15:27:00Z,42.45,61.84
2026-04-01T15:28:00Z,43.77,57.27
2026-04-01T15:29:00Z,46.46,55.01
2026-04-01T15:30:00Z,47.41,53.69
2026-04-01T15:31:00Z,52.17,49.24
2026-04-01T15:32:00Z,50.10,52.11
2026-04-01T15:33:00Z,48.40,52.43
2026-04-01T15:34:00Z,52.28,50.74
2026-04-01T15:35:00Z,54.87,47.17
2026-04-01T15:36:00Z,56.16,43.20
2026-04-01T15:37:00Z,57.49,43.00
2026-04-01T15:38:00Z,57.15,43.17
2026-04-01T15:39:00Z,65.96,42.75
2026-04-01T15:40:00Z,67.49,31.63
2026-04-01T15:41:00Z,86.22,9.54
2026-04-01T15:42:00Z,99.00,1.00
