# event_ticker=KXATPCHALLENGERMATCH-26APR21HERDEN
# final_score=6-3 6-7(3) 6-3
# score_resolution=3-6 7-6 3-6
# match_winner=Pierre-Hugues Herbert
# fav_player=Guy Den Ouden
# dog_player=Pierre-Hugues Herbert
# kalshi_date=2026-04-21
timestamp,Pierre-Hugues Herbert,Guy Den Ouden
2026-04-21T06:03:00Z,,62.00
2026-04-21T06:16:00Z,,62.00
2026-04-21T07:05:00Z,,62.00
2026-04-21T07:20:00Z,,62.00
2026-04-21T07:51:00Z,,62.00
2026-04-21T08:18:00Z,,62.00
2026-04-21T09:01:00Z,40.00,62.00
2026-04-21T09:08:00Z,40.00,62.00
2026-04-21T09:11:00Z,40.00,62.00
2026-04-21T09:13:00Z,40.00,62.00
2026-04-21T09:15:00Z,40.00,62.00
2026-04-21T09:16:00Z,40.00,62.00
2026-04-21T09:19:00Z,40.13,62.00
2026-04-21T09:20:00Z,41.00,62.00
2026-04-21T09:21:00Z,44.29,59.52
2026-04-21T09:22:00Z,41.00,62.00
2026-04-21T09:23:00Z,39.00,62.00
2026-04-21T09:25:00Z,38.82,62.00
2026-04-21T09:26:00Z,38.82,60.44
2026-04-21T09:27:00Z,40.90,60.44
2026-04-21T09:28:00Z,40.90,60.00
2026-04-21T09:29:00Z,38.00,60.00
2026-04-21T09:30:00Z,38.00,65.00
2026-04-21T09:31:00Z,34.55,65.64
2026-04-21T09:32:00Z,26.66,69.60
2026-04-21T09:33:00Z,24.00,69.60
2026-04-21T09:34:00Z,24.00,77.00
2026-04-21T09:35:00Z,24.00,77.00
2026-04-21T09:37:00Z,33.03,69.93
2026-04-21T09:38:00Z,38.91,62.00
2026-04-21T09:39:00Z,40.02,61.00
2026-04-21T09:40:00Z,34.00,64.00
2026-04-21T09:41:00Z,33.14,70.67
2026-04-21T09:42:00Z,34.00,64.00
2026-04-21T09:44:00Z,34.00,67.00
2026-04-21T09:45:00Z,37.92,62.32
2026-04-21T09:46:00Z,43.00,57.00
2026-04-21T09:47:00Z,43.00,57.00
2026-04-21T09:48:00Z,43.00,60.60
2026-04-21T09:49:00Z,42.98,60.60
2026-04-21T09:50:00Z,40.74,58.92
2026-04-21T09:51:00Z,35.00,63.00
2026-04-21T09:52:00Z,38.00,63.00
2026-04-21T09:55:00Z,38.00,58.00
2026-04-21T09:56:00Z,46.00,58.00
2026-04-21T09:57:00Z,51.75,52.00
2026-04-21T09:58:00Z,63.80,35.02
2026-04-21T09:59:00Z,65.00,36.00
2026-04-21T10:00:00Z,66.77,33.42
2026-04-21T10:01:00Z,69.00,33.42
2026-04-21T10:02:00Z,70.00,33.42
2026-04-21T10:03:00Z,70.00,29.00
2026-04-21T10:04:00Z,71.19,29.00
2026-04-21T10:05:00Z,73.70,32.38
2026-04-21T10:06:00Z,75.68,25.00
2026-04-21T10:08:00Z,73.19,29.54
2026-04-21T10:09:00Z,67.00,30.81
2026-04-21T10:10:00Z,67.84,32.27
2026-04-21T10:11:00Z,64.28,39.13
2026-04-21T10:12:00Z,66.81,33.39
2026-04-21T10:13:00Z,69.37,33.66
2026-04-21T10:14:00Z,70.00,31.67
2026-04-21T10:15:00Z,70.00,32.48
2026-04-21T10:16:00Z,70.87,33.02
2026-04-21T10:17:00Z,71.64,28.00
2026-04-21T10:18:00Z,69.00,30.26
2026-04-21T10:19:00Z,65.00,35.00
2026-04-21T10:20:00Z,66.65,35.00
2026-04-21T10:21:00Z,63.00,35.22
2026-04-21T10:22:00Z,60.00,38.00
2026-04-21T10:23:00Z,60.00,40.00
2026-04-21T10:24:00Z,60.00,40.77
2026-04-21T10:25:00Z,63.74,37.67
2026-04-21T10:26:00Z,66.43,37.67
2026-04-21T10:27:00Z,72.00,29.00
2026-04-21T10:28:00Z,72.00,21.34
2026-04-21T10:29:00Z,80.33,21.12
2026-04-21T10:30:00Z,68.00,34.37
2026-04-21T10:32:00Z,65.53,36.63
2026-04-21T10:33:00Z,68.20,29.00
2026-04-21T10:34:00Z,69.99,31.74
2026-04-21T10:35:00Z,69.00,34.00
2026-04-21T10:36:00Z,66.00,33.00
2026-04-21T10:37:00Z,65.00,33.00
2026-04-21T10:39:00Z,68.05,33.00
2026-04-21T10:40:00Z,68.05,33.00
2026-04-21T10:41:00Z,69.81,30.95
2026-04-21T10:42:00Z,72.77,30.95
2026-04-21T10:43:00Z,83.55,21.84
2026-04-21T10:44:00Z,79.00,19.26
2026-04-21T10:45:00Z,70.09,31.32
2026-04-21T10:46:00Z,66.00,31.32
2026-04-21T10:47:00Z,63.00,39.61
2026-04-21T10:48:00Z,62.59,38.11
2026-04-21T10:49:00Z,64.53,35.12
2026-04-21T10:50:00Z,68.02,33.81
2026-04-21T10:51:00Z,69.00,30.70
2026-04-21T10:52:00Z,69.00,31.81
2026-04-21T10:53:00Z,68.65,34.00
2026-04-21T10:54:00Z,64.00,36.32
2026-04-21T10:55:00Z,64.14,39.00
2026-04-21T10:56:00Z,51.88,48.59
2026-04-21T10:57:00Z,66.34,41.03
2026-04-21T10:58:00Z,66.34,30.98
2026-04-21T10:59:00Z,65.99,35.85
2026-04-21T11:00:00Z,64.00,34.00
2026-04-21T11:01:00Z,65.00,34.00
2026-04-21T11:02:00Z,59.87,39.18
2026-04-21T11:03:00Z,64.07,40.79
2026-04-21T11:04:00Z,57.75,39.00
2026-04-21T11:05:00Z,68.06,30.00
2026-04-21T11:06:00Z,68.06,30.28
2026-04-21T11:07:00Z,66.00,30.28
