# event_ticker=KXATPMATCH-25AUG08NARTIR
# final_score=6-4 7-6(5)
# score_resolution=6-4 7-6
# match_winner=Luca Nardi
# fav_player=Luca Nardi
# dog_player=Thiago Agustin Tirante
# kalshi_date=2025-08-08
timestamp,Luca Nardi,Thiago Agustin Tirante
2025-08-08T05:15:00Z,49.00,
2025-08-08T05:21:00Z,49.00,69.00
2025-08-08T05:24:00Z,49.00,69.00
2025-08-08T05:31:00Z,49.00,69.00
2025-08-08T05:33:00Z,48.00,69.00
2025-08-08T05:44:00Z,48.00,64.00
2025-08-08T05:46:00Z,41.00,64.00
2025-08-08T06:00:00Z,41.00,61.00
2025-08-08T06:53:00Z,41.00,60.00
2025-08-08T07:42:00Z,40.00,60.00
2025-08-08T07:49:00Z,40.00,61.00
2025-08-08T08:19:00Z,40.00,61.00
2025-08-08T08:35:00Z,40.00,61.00
2025-08-08T08:45:00Z,40.00,61.00
2025-08-08T10:04:00Z,40.00,61.00
2025-08-08T10:17:00Z,40.00,61.00
2025-08-08T10:50:00Z,40.00,61.00
2025-08-08T11:24:00Z,40.00,61.00
2025-08-08T11:40:00Z,40.00,61.00
2025-08-08T12:07:00Z,40.00,61.00
2025-08-08T12:11:00Z,40.00,61.00
2025-08-08T12:20:00Z,40.00,61.00
2025-08-08T12:33:00Z,40.00,61.00
2025-08-08T12:35:00Z,40.00,61.00
2025-08-08T12:52:00Z,40.00,61.00
2025-08-08T12:58:00Z,40.00,61.00
2025-08-08T13:04:00Z,40.00,61.00
2025-08-08T13:05:00Z,40.00,61.00
2025-08-08T13:08:00Z,40.00,61.00
2025-08-08T13:19:00Z,40.00,61.00
2025-08-08T13:24:00Z,38.80,61.00
2025-08-08T13:26:00Z,39.00,61.00
2025-08-08T13:37:00Z,40.00,61.00
2025-08-08T13:51:00Z,40.00,62.00
2025-08-08T14:10:00Z,39.58,62.00
2025-08-08T14:11:00Z,40.00,62.00
2025-08-08T14:19:00Z,39.23,62.00
2025-08-08T14:23:00Z,39.23,62.00
2025-08-08T14:30:00Z,39.23,63.00
2025-08-08T14:35:00Z,39.00,63.00
2025-08-08T14:37:00Z,39.00,63.00
2025-08-08T14:39:00Z,39.00,62.00
2025-08-08T14:42:00Z,39.00,63.00
2025-08-08T14:44:00Z,39.00,63.00
2025-08-08T14:45:00Z,39.00,63.00
2025-08-08T14:46:00Z,37.00,63.00
2025-08-08T14:56:00Z,39.00,63.00
2025-08-08T14:57:00Z,39.00,62.00
2025-08-08T15:02:00Z,40.00,62.00
2025-08-08T15:05:00Z,40.00,62.00
2025-08-08T15:07:00Z,40.00,60.00
2025-08-08T15:08:00Z,40.00,61.00
2025-08-08T15:09:00Z,40.00,61.00
2025-08-08T15:10:00Z,40.00,61.16
2025-08-08T15:11:00Z,43.33,50.33
2025-08-08T15:12:00Z,49.75,51.00
2025-08-08T15:13:00Z,49.71,52.19
2025-08-08T15:14:00Z,53.00,48.00
2025-08-08T15:15:00Z,53.22,48.00
2025-08-08T15:16:00Z,53.22,49.00
2025-08-08T15:17:00Z,54.00,49.00
2025-08-08T15:18:00Z,54.00,48.83
2025-08-08T15:19:00Z,48.00,52.26
2025-08-08T15:20:00Z,50.00,56.00
2025-08-08T15:21:00Z,53.03,47.00
2025-08-08T15:22:00Z,53.03,48.15
2025-08-08T15:23:00Z,53.03,45.00
2025-08-08T15:26:00Z,52.62,45.00
2025-08-08T15:27:00Z,58.00,47.00
2025-08-08T15:28:00Z,58.57,47.00
2025-08-08T15:29:00Z,57.00,47.00
2025-08-08T15:30:00Z,56.28,47.00
2025-08-08T15:32:00Z,70.00,47.00
2025-08-08T15:33:00Z,68.00,47.00
2025-08-08T15:35:00Z,73.97,47.00
2025-08-08T15:36:00Z,73.97,44.00
2025-08-08T15:37:00Z,58.00,44.00
2025-08-08T15:39:00Z,58.00,39.69
2025-08-08T15:40:00Z,66.91,39.69
2025-08-08T15:41:00Z,62.68,37.86
2025-08-08T15:42:00Z,59.00,42.61
