# event_ticker=KXATPCHALLENGERMATCH-26MAR31KOZMAG
# final_score=6-3 7-6(7)
# score_resolution=6-3 7-6
# match_winner=Alan Magadan
# fav_player=Alan Magadan
# dog_player=Stefan Kozlov
# kalshi_date=2026-03-31
timestamp,Alan Magadan,Stefan Kozlov
2026-03-31T11:23:00Z,17.00,
2026-03-31T13:05:00Z,17.00,85.00
2026-03-31T13:17:00Z,17.00,85.00
2026-03-31T13:55:00Z,17.00,85.00
2026-03-31T13:58:00Z,16.00,85.00
2026-03-31T15:16:00Z,15.00,85.00
2026-03-31T15:18:00Z,14.00,85.00
2026-03-31T15:37:00Z,15.00,85.00
2026-03-31T15:51:00Z,15.00,85.00
2026-03-31T16:15:00Z,15.00,85.00
2026-03-31T16:16:00Z,14.00,85.00
2026-03-31T17:23:00Z,14.00,85.00
2026-03-31T17:37:00Z,14.00,85.00
2026-03-31T17:51:00Z,14.00,85.00
2026-03-31T18:36:00Z,14.00,86.00
2026-03-31T19:25:00Z,14.00,86.00
2026-03-31T20:08:00Z,15.00,86.00
2026-03-31T20:31:00Z,15.00,85.00
2026-03-31T20:34:00Z,15.00,85.00
2026-03-31T20:49:00Z,15.28,85.00
2026-03-31T20:54:00Z,15.28,85.92
2026-03-31T21:04:00Z,15.28,86.00
2026-03-31T21:08:00Z,16.90,86.00
2026-03-31T21:10:00Z,17.00,86.00
2026-03-31T21:12:00Z,17.00,86.00
2026-03-31T21:17:00Z,16.00,86.00
2026-03-31T21:18:00Z,16.00,86.00
2026-03-31T21:19:00Z,16.22,86.00
2026-03-31T21:22:00Z,17.00,86.00
2026-03-31T21:25:00Z,17.00,86.00
2026-03-31T21:26:00Z,17.00,85.00
2026-03-31T21:27:00Z,17.00,85.00
2026-03-31T21:28:00Z,17.00,85.00
2026-03-31T21:30:00Z,17.00,85.00
2026-03-31T21:31:00Z,17.00,84.00
2026-03-31T21:34:00Z,15.00,84.00
2026-03-31T21:39:00Z,16.00,85.00
2026-03-31T21:40:00Z,16.00,85.00
2026-03-31T21:43:00Z,16.00,85.00
2026-03-31T21:44:00Z,16.00,85.00
2026-03-31T21:45:00Z,16.00,85.00
2026-03-31T21:46:00Z,16.23,85.00
2026-03-31T21:48:00Z,16.00,85.00
2026-03-31T21:58:00Z,16.00,85.00
2026-03-31T22:07:00Z,16.00,85.00
2026-03-31T22:10:00Z,16.00,85.00
2026-03-31T22:14:00Z,16.00,85.00
