# event_ticker=KXATPMATCH-25JUL27MOCMPE
# final_score=6-4 6-2
# match_winner=Giovanni Mpetshi Perricard
# fav_player=Giovanni Mpetshi Perricard
# dog_player=Shintaro Mochizuki
# kalshi_date=2025-07-27
timestamp,Giovanni Mpetshi Perricard,Shintaro Mochizuki
2025-07-27T18:16:00Z,74.00,
2025-07-27T18:32:00Z,74.00,
2025-07-27T18:36:00Z,74.61,
2025-07-27T18:39:00Z,85.00,
2025-07-27T18:42:00Z,85.00,48.00
2025-07-27T19:38:00Z,75.00,48.00
2025-07-27T19:45:00Z,75.00,90.00
2025-07-27T20:11:00Z,78.00,90.00
2025-07-27T20:18:00Z,74.00,57.71
2025-07-27T20:20:00Z,74.00,51.00
2025-07-27T20:22:00Z,74.00,41.00
2025-07-27T20:23:00Z,61.00,41.00
2025-07-27T20:28:00Z,61.00,38.00
2025-07-27T20:33:00Z,84.00,38.00
2025-07-27T20:34:00Z,85.42,38.00
2025-07-27T20:35:00Z,85.42,53.67
2025-07-27T20:36:00Z,88.89,53.67
2025-07-27T20:38:00Z,88.89,12.00
2025-07-27T20:39:00Z,94.00,12.59
2025-07-27T20:40:00Z,94.00,14.00
2025-07-27T20:41:00Z,94.00,15.60
2025-07-27T20:42:00Z,94.00,18.00
2025-07-27T20:44:00Z,86.00,17.93
2025-07-27T20:45:00Z,86.00,27.00
2025-07-27T20:46:00Z,93.00,27.00
2025-07-27T20:49:00Z,93.00,5.00
2025-07-27T20:51:00Z,93.00,23.00
2025-07-27T20:57:00Z,87.00,22.57
2025-07-27T20:58:00Z,87.00,15.00
2025-07-27T20:59:00Z,87.00,26.00
2025-07-27T21:01:00Z,87.00,21.10
2025-07-27T21:03:00Z,87.00,25.46
2025-07-27T21:05:00Z,87.00,19.00
2025-07-27T21:07:00Z,87.00,18.00
2025-07-27T21:13:00Z,95.00,18.00
2025-07-27T21:14:00Z,96.00,18.00
2025-07-27T21:15:00Z,96.00,9.00
2025-07-27T21:18:00Z,96.00,2.00
2025-07-27T21:19:00Z,96.00,2.00
2025-07-27T21:20:00Z,99.00,1.00
2025-07-27T21:26:00Z,99.00,1.00
