# event_ticker=KXATPMATCH-26JUN08GRIVAN
# final_score=6-2 6-7(2) 6-4
# score_resolution=2-6 7-6 4-6
# match_winner=Tallon Griekspoor
# fav_player=Botic Van de Zandschulp
# dog_player=Tallon Griekspoor
# kalshi_date=2026-06-08
timestamp,Tallon Griekspoor,Botic Van de Zandschulp
2026-06-09T23:19:00Z,80.83,
2026-06-09T23:20:00Z,79.23,20.00
2026-06-09T23:21:00Z,81.01,18.00
2026-06-09T23:22:00Z,79.66,18.00
2026-06-09T23:23:00Z,80.41,19.85
2026-06-09T23:24:00Z,80.00,18.83
2026-06-09T23:25:00Z,81.00,19.00
2026-06-09T23:26:00Z,80.00,19.00
2026-06-09T23:27:00Z,81.00,19.00
2026-06-09T23:28:00Z,80.21,20.00
2026-06-09T23:29:00Z,79.37,20.00
2026-06-09T23:30:00Z,80.00,21.00
2026-06-09T23:31:00Z,79.09,21.00
2026-06-09T23:32:00Z,79.02,21.00
2026-06-09T23:33:00Z,79.16,21.00
2026-06-09T23:34:00Z,79.38,20.04
2026-06-09T23:35:00Z,79.86,20.04
2026-06-09T23:36:00Z,79.86,20.00
2026-06-09T23:37:00Z,80.00,20.00
2026-06-09T23:38:00Z,79.00,20.00
2026-06-09T23:39:00Z,79.00,20.00
2026-06-09T23:40:00Z,79.01,20.00
2026-06-09T23:41:00Z,79.01,21.00
2026-06-09T23:42:00Z,80.00,21.00
2026-06-09T23:43:00Z,80.00,21.00
2026-06-09T23:44:00Z,79.00,20.00
2026-06-09T23:45:00Z,79.00,20.23
2026-06-09T23:46:00Z,80.00,20.23
2026-06-09T23:47:00Z,79.23,20.23
2026-06-09T23:48:00Z,79.13,21.00
2026-06-09T23:49:00Z,79.00,21.00
2026-06-09T23:50:00Z,80.00,21.00
2026-06-09T23:51:00Z,79.01,20.88
2026-06-09T23:52:00Z,79.03,20.88
2026-06-09T23:53:00Z,79.00,20.00
2026-06-09T23:54:00Z,80.00,20.95
2026-06-09T23:55:00Z,79.00,20.95
2026-06-09T23:56:00Z,79.00,20.43
2026-06-09T23:57:00Z,78.51,20.04
2026-06-09T23:59:00Z,80.00,21.00
2026-06-10T00:00:00Z,79.01,21.00
2026-06-10T00:01:00Z,80.00,21.00
2026-06-10T00:02:00Z,80.00,20.00
2026-06-10T00:03:00Z,80.00,21.00
2026-06-10T00:04:00Z,79.10,20.00
2026-06-10T00:05:00Z,79.10,21.00
2026-06-10T00:06:00Z,80.00,21.00
2026-06-10T00:07:00Z,79.29,20.00
2026-06-10T00:08:00Z,80.00,20.00
2026-06-10T00:09:00Z,79.00,20.00
2026-06-10T00:11:00Z,79.00,20.00
2026-06-10T00:12:00Z,79.74,20.00
2026-06-10T00:13:00Z,79.74,21.00
2026-06-10T00:14:00Z,79.00,21.00
2026-06-10T00:15:00Z,79.00,21.00
2026-06-10T00:16:00Z,79.00,20.00
2026-06-10T00:18:00Z,80.00,20.00
2026-06-10T00:19:00Z,79.20,21.00
2026-06-10T00:20:00Z,80.00,20.90
2026-06-10T00:21:00Z,78.63,20.90
2026-06-10T00:22:00Z,79.95,20.00
2026-06-10T00:23:00Z,79.06,21.00
2026-06-10T00:24:00Z,80.00,21.00
2026-06-10T00:25:00Z,79.00,21.00
2026-06-10T00:26:00Z,79.00,20.00
