# event_ticker=KXATPCHALLENGERMATCH-26JUN04STRHEN
# final_score=6-2 6-3
# score_resolution=2-6 3-6
# match_winner=Philip Henning
# fav_player=Robert Strombachs
# dog_player=Philip Henning
# kalshi_date=2026-06-04
timestamp,Robert Strombachs,Philip Henning
2026-06-04T01:15:00Z,27.00,
2026-06-04T02:26:00Z,29.00,
2026-06-04T03:26:00Z,29.00,
2026-06-04T03:33:00Z,29.00,71.00
2026-06-04T04:20:00Z,29.00,71.00
2026-06-04T04:27:00Z,29.00,71.00
2026-06-04T04:29:00Z,29.00,71.00
2026-06-04T04:34:00Z,29.00,70.00
2026-06-04T04:49:00Z,29.00,70.00
2026-06-04T05:12:00Z,29.00,71.00
2026-06-04T05:14:00Z,29.00,71.00
2026-06-04T05:40:00Z,29.00,71.00
2026-06-04T05:42:00Z,29.00,71.00
2026-06-04T05:50:00Z,29.00,71.00
2026-06-04T06:05:00Z,29.00,71.00
2026-06-04T06:11:00Z,29.00,71.00
2026-06-04T06:57:00Z,29.00,71.00
2026-06-04T09:02:00Z,29.00,71.00
2026-06-04T09:05:00Z,30.00,71.00
2026-06-04T09:09:00Z,30.00,71.00
2026-06-04T09:10:00Z,30.00,71.00
2026-06-04T09:14:00Z,30.00,72.00
2026-06-04T09:16:00Z,30.00,71.00
2026-06-04T09:17:00Z,30.00,71.00
2026-06-04T09:20:00Z,30.00,72.00
2026-06-04T09:22:00Z,30.00,69.00
2026-06-04T09:23:00Z,31.00,69.08
2026-06-04T09:31:00Z,31.00,69.08
2026-06-04T09:33:00Z,31.00,72.00
2026-06-04T09:36:00Z,31.00,72.00
2026-06-04T09:37:00Z,31.00,72.00
2026-06-04T09:40:00Z,30.95,72.00
2026-06-04T09:43:00Z,31.00,72.00
2026-06-04T09:44:00Z,32.00,72.00
2026-06-04T09:45:00Z,31.00,72.00
2026-06-04T09:46:00Z,31.00,71.23
2026-06-04T09:47:00Z,31.00,74.00
2026-06-04T09:48:00Z,28.68,75.77
2026-06-04T09:49:00Z,30.00,71.00
2026-06-04T09:50:00Z,30.00,71.00
2026-06-04T09:51:00Z,30.00,72.00
2026-06-04T09:52:00Z,28.00,72.00
2026-06-04T09:53:00Z,28.00,72.00
2026-06-04T09:55:00Z,28.00,72.00
2026-06-04T09:56:00Z,28.00,73.00
2026-06-04T09:57:00Z,28.00,73.00
2026-06-04T09:58:00Z,28.00,73.00
2026-06-04T09:59:00Z,28.30,72.01
2026-06-04T10:00:00Z,29.28,71.64
2026-06-04T10:01:00Z,28.99,72.00
2026-06-04T10:02:00Z,28.00,72.00
2026-06-04T10:03:00Z,28.00,72.00
2026-06-04T10:04:00Z,27.22,74.00
2026-06-04T10:05:00Z,24.15,79.49
2026-06-04T10:06:00Z,14.88,84.48
2026-06-04T10:07:00Z,13.36,86.35
2026-06-04T10:08:00Z,13.36,87.24
2026-06-04T10:09:00Z,15.00,87.00
2026-06-04T10:10:00Z,15.00,87.00
2026-06-04T10:11:00Z,11.50,90.00
2026-06-04T10:12:00Z,10.53,90.16
2026-06-04T10:13:00Z,9.17,92.00
2026-06-04T10:14:00Z,10.00,92.00
2026-06-04T10:15:00Z,10.00,92.00
2026-06-04T10:16:00Z,8.07,92.00
2026-06-04T10:17:00Z,8.20,93.00
2026-06-04T10:18:00Z,6.91,93.00
2026-06-04T10:19:00Z,8.66,92.41
2026-06-04T10:20:00Z,9.52,91.89
2026-06-04T10:21:00Z,10.39,90.00
2026-06-04T10:22:00Z,9.00,91.00
2026-06-04T10:23:00Z,11.00,91.00
2026-06-04T10:24:00Z,8.02,91.00
2026-06-04T10:25:00Z,10.00,92.00
2026-06-04T10:26:00Z,9.68,92.00
2026-06-04T10:27:00Z,11.23,90.00
2026-06-04T10:28:00Z,13.05,89.54
2026-06-04T10:29:00Z,13.00,88.91
2026-06-04T10:30:00Z,10.00,90.02
2026-06-04T10:31:00Z,10.00,91.00
2026-06-04T10:32:00Z,6.66,94.50
2026-06-04T10:33:00Z,4.41,95.13
2026-06-04T10:34:00Z,7.40,92.38
2026-06-04T10:35:00Z,11.40,89.99
2026-06-04T10:36:00Z,10.57,90.65
2026-06-04T10:37:00Z,9.03,90.00
2026-06-04T10:38:00Z,9.77,90.00
2026-06-04T10:39:00Z,9.67,90.00
2026-06-04T10:40:00Z,12.00,89.76
2026-06-04T10:41:00Z,10.09,92.78
2026-06-04T10:42:00Z,5.00,93.74
2026-06-04T10:43:00Z,7.79,93.99
2026-06-04T10:44:00Z,2.71,98.26
2026-06-04T10:45:00Z,1.76,98.00
2026-06-04T10:46:00Z,1.00,98.99
2026-06-04T10:47:00Z,1.13,98.78
2026-06-04T10:48:00Z,1.00,99.00
2026-06-04T10:50:00Z,1.00,99.00
