# event_ticker=KXATPCHALLENGERMATCH-26APR07FATMAR
# final_score=6-7(4) 7-6(6) 6-1
# score_resolution=6-7 7-6 6-1
# match_winner=Nerman Fatic
# fav_player=Nerman Fatic
# dog_player=Pol Martin Tiffon
# kalshi_date=2026-04-07
timestamp,Nerman Fatic,Pol Martin Tiffon
2026-04-06T22:52:00Z,44.00,
2026-04-06T23:19:00Z,44.46,
2026-04-07T00:02:00Z,46.31,
2026-04-07T00:04:00Z,47.00,
2026-04-07T00:06:00Z,47.00,56.00
2026-04-07T00:11:00Z,47.00,56.00
2026-04-07T01:03:00Z,47.00,56.00
2026-04-07T01:37:00Z,47.00,56.00
2026-04-07T01:55:00Z,47.00,56.00
2026-04-07T02:04:00Z,47.00,56.00
2026-04-07T02:29:00Z,47.00,55.00
2026-04-07T02:43:00Z,47.00,55.00
2026-04-07T02:46:00Z,47.00,55.00
2026-04-07T02:58:00Z,47.00,55.00
2026-04-07T03:10:00Z,47.00,55.00
2026-04-07T03:26:00Z,47.00,55.00
2026-04-07T03:58:00Z,47.00,55.00
2026-04-07T04:02:00Z,47.00,55.00
2026-04-07T04:11:00Z,47.00,55.00
2026-04-07T04:18:00Z,47.00,55.00
2026-04-07T04:40:00Z,47.00,53.00
2026-04-07T04:42:00Z,47.00,53.00
2026-04-07T04:44:00Z,47.00,53.00
2026-04-07T04:57:00Z,47.00,53.00
2026-04-07T05:07:00Z,47.00,53.00
2026-04-07T05:18:00Z,47.00,53.00
2026-04-07T05:25:00Z,47.00,55.47
2026-04-07T05:53:00Z,47.00,55.00
2026-04-07T06:03:00Z,48.00,55.00
2026-04-07T06:19:00Z,47.00,55.00
2026-04-07T07:33:00Z,47.00,53.00
2026-04-07T07:55:00Z,47.00,53.84
2026-04-07T08:00:00Z,48.49,53.84
2026-04-07T08:10:00Z,49.00,53.84
2026-04-07T08:36:00Z,49.68,53.84
2026-04-07T08:37:00Z,49.68,54.00
2026-04-07T08:38:00Z,49.68,54.00
2026-04-07T08:42:00Z,51.00,51.75
2026-04-07T08:43:00Z,51.00,45.67
2026-04-07T08:44:00Z,58.00,42.31
2026-04-07T08:45:00Z,58.40,41.00
