# event_ticker=KXATPCHALLENGERMATCH-26MAY13PAPSEK
# final_score=6-2 6-3
# match_winner=Philip Sekulic
# fav_player=Philip Sekulic
# dog_player=Christopher Papa
# kalshi_date=2026-05-13
timestamp,Christopher Papa,Philip Sekulic
2026-05-12T22:05:00Z,14.00,85.00
2026-05-12T22:06:00Z,14.48,85.00
2026-05-12T22:16:00Z,11.61,88.59
2026-05-12T22:18:00Z,11.61,91.00
2026-05-12T22:58:00Z,11.61,91.00
2026-05-12T23:05:00Z,11.61,91.83
2026-05-13T00:04:00Z,9.00,91.83
2026-05-13T00:11:00Z,9.00,91.83
2026-05-13T00:19:00Z,9.00,91.83
2026-05-13T00:35:00Z,9.00,93.00
2026-05-13T00:56:00Z,9.00,93.00
2026-05-13T02:08:00Z,9.00,93.70
2026-05-13T02:09:00Z,8.00,93.00
2026-05-13T02:19:00Z,9.00,93.00
2026-05-13T02:50:00Z,9.00,93.00
2026-05-13T03:13:00Z,9.00,93.00
2026-05-13T03:14:00Z,9.00,92.00
2026-05-13T03:44:00Z,9.00,93.00
2026-05-13T03:50:00Z,9.00,93.00
2026-05-13T03:51:00Z,9.00,93.00
2026-05-13T04:10:00Z,9.00,93.00
2026-05-13T04:17:00Z,9.00,92.13
2026-05-13T04:21:00Z,9.00,93.00
2026-05-13T04:24:00Z,7.00,93.00
2026-05-13T04:25:00Z,8.00,93.00
2026-05-13T04:50:00Z,8.00,93.00
2026-05-13T05:13:00Z,8.00,93.00
2026-05-13T05:15:00Z,8.21,93.00
2026-05-13T05:41:00Z,9.00,93.00
2026-05-13T06:02:00Z,9.00,93.00
2026-05-13T06:08:00Z,9.00,93.00
2026-05-13T06:09:00Z,9.00,93.00
2026-05-13T06:37:00Z,9.00,93.00
2026-05-13T06:47:00Z,9.00,93.00
2026-05-13T07:00:00Z,9.06,92.71
2026-05-13T07:05:00Z,9.00,92.71
2026-05-13T07:14:00Z,9.00,92.71
2026-05-13T07:15:00Z,9.00,92.71
2026-05-13T07:30:00Z,9.00,92.71
2026-05-13T07:39:00Z,9.00,92.71
2026-05-13T07:53:00Z,10.00,92.71
2026-05-13T08:09:00Z,9.26,92.71
2026-05-13T08:15:00Z,9.85,92.71
2026-05-13T08:17:00Z,9.00,92.71
2026-05-13T08:36:00Z,9.90,92.71
2026-05-13T08:42:00Z,10.00,92.71
2026-05-13T08:44:00Z,10.00,92.71
2026-05-13T08:48:00Z,10.00,92.71
2026-05-13T08:49:00Z,10.00,92.00
2026-05-13T08:50:00Z,10.00,92.00
2026-05-13T08:51:00Z,10.00,92.00
2026-05-13T08:55:00Z,10.00,92.00
2026-05-13T08:59:00Z,10.00,92.00
2026-05-13T09:02:00Z,10.00,92.00
2026-05-13T09:03:00Z,10.00,92.00
2026-05-13T09:04:00Z,9.00,92.00
2026-05-13T09:11:00Z,9.00,92.00
2026-05-13T09:12:00Z,9.00,92.00
2026-05-13T09:33:00Z,10.00,92.00
2026-05-13T09:34:00Z,10.00,92.00
2026-05-13T09:35:00Z,10.00,92.00
2026-05-13T09:36:00Z,10.00,92.00
2026-05-13T09:37:00Z,10.00,92.00
2026-05-13T09:38:00Z,7.00,92.00
2026-05-13T09:39:00Z,10.00,92.00
2026-05-13T09:40:00Z,10.00,92.00
2026-05-13T09:41:00Z,7.00,92.33
2026-05-13T09:42:00Z,7.35,93.00
2026-05-13T09:43:00Z,7.00,93.00
2026-05-13T09:44:00Z,8.00,93.00
2026-05-13T09:45:00Z,8.13,92.26
2026-05-13T09:46:00Z,9.00,92.26
2026-05-13T09:47:00Z,9.24,92.26
2026-05-13T09:48:00Z,14.55,84.01
2026-05-13T09:49:00Z,18.92,82.00
2026-05-13T09:50:00Z,19.29,82.00
2026-05-13T09:51:00Z,16.54,82.00
2026-05-13T09:52:00Z,18.10,83.00
2026-05-13T09:53:00Z,17.65,84.94
2026-05-13T09:54:00Z,10.00,89.01
2026-05-13T09:55:00Z,11.80,89.00
2026-05-13T09:56:00Z,10.43,90.00
2026-05-13T09:57:00Z,10.00,91.00
2026-05-13T09:58:00Z,10.62,90.00
2026-05-13T09:59:00Z,9.94,90.00
2026-05-13T10:01:00Z,5.75,94.55
2026-05-13T10:02:00Z,4.00,96.00
2026-05-13T10:03:00Z,2.80,96.00
2026-05-13T10:04:00Z,3.00,97.00
2026-05-13T10:05:00Z,2.87,97.00
2026-05-13T10:06:00Z,2.00,98.00
2026-05-13T10:07:00Z,2.00,98.00
2026-05-13T10:08:00Z,2.00,98.00
2026-05-13T10:09:00Z,2.00,98.00
2026-05-13T10:10:00Z,1.74,98.00
2026-05-13T10:11:00Z,2.01,97.82
2026-05-13T10:12:00Z,2.00,98.00
2026-05-13T10:13:00Z,2.96,98.00
2026-05-13T10:14:00Z,2.00,98.00
2026-05-13T10:15:00Z,2.97,98.00
2026-05-13T10:16:00Z,1.34,98.99
2026-05-13T10:17:00Z,2.09,98.82
2026-05-13T10:18:00Z,2.41,96.67
2026-05-13T10:19:00Z,1.80,98.25
2026-05-13T10:20:00Z,2.73,97.44
2026-05-13T10:21:00Z,2.86,98.00
2026-05-13T10:22:00Z,2.86,98.00
2026-05-13T10:23:00Z,3.51,98.00
2026-05-13T10:24:00Z,2.86,97.74
2026-05-13T10:25:00Z,2.78,97.00
2026-05-13T10:26:00Z,2.00,97.97
2026-05-13T10:27:00Z,2.13,98.00
2026-05-13T10:28:00Z,2.52,98.00
2026-05-13T10:29:00Z,2.16,98.00
2026-05-13T10:30:00Z,2.29,98.00
2026-05-13T10:31:00Z,3.20,97.50
2026-05-13T10:32:00Z,2.59,97.36
2026-05-13T10:33:00Z,2.17,98.00
2026-05-13T10:34:00Z,2.64,98.00
2026-05-13T10:35:00Z,2.62,98.00
2026-05-13T10:36:00Z,1.33,98.63
2026-05-13T10:37:00Z,3.77,97.00
2026-05-13T10:38:00Z,2.86,96.16
2026-05-13T10:39:00Z,1.44,98.54
2026-05-13T10:40:00Z,2.00,99.00
