# event_ticker=KXATPMATCH-25JUL23DZUWAW
# final_score=6-4 7-5
# match_winner=Damir Dzumhur
# fav_player=Damir Dzumhur
# dog_player=Stan Wawrinka
# kalshi_date=2025-07-23
timestamp,Damir Dzumhur,Stan Wawrinka
2025-07-23T20:01:00Z,96.00,
2025-07-23T20:34:00Z,90.00,
2025-07-23T20:35:00Z,35.00,69.00
2025-07-23T20:36:00Z,35.00,69.00
2025-07-23T20:38:00Z,35.00,66.33
2025-07-23T20:40:00Z,36.00,72.00
2025-07-23T20:42:00Z,72.62,72.00
2025-07-23T20:44:00Z,72.62,45.00
2025-07-23T20:45:00Z,82.00,28.56
2025-07-23T20:49:00Z,78.00,63.09
2025-07-23T20:50:00Z,78.00,62.94
2025-07-23T20:51:00Z,66.00,62.94
2025-07-23T20:52:00Z,64.00,62.94
2025-07-23T20:53:00Z,60.00,62.94
2025-07-23T20:55:00Z,67.00,65.00
2025-07-23T20:57:00Z,68.30,35.93
2025-07-23T20:59:00Z,68.30,35.83
2025-07-23T21:00:00Z,76.67,35.83
2025-07-23T21:01:00Z,75.88,32.00
2025-07-23T21:02:00Z,81.00,32.00
2025-07-23T21:03:00Z,81.00,32.00
2025-07-23T21:04:00Z,81.00,39.00
2025-07-23T21:06:00Z,80.63,39.00
2025-07-23T21:07:00Z,80.63,24.43
2025-07-23T21:10:00Z,85.00,19.00
2025-07-23T21:12:00Z,85.66,19.00
2025-07-23T21:13:00Z,88.00,19.00
2025-07-23T21:14:00Z,92.29,19.00
2025-07-23T21:17:00Z,94.00,17.00
2025-07-23T21:18:00Z,94.00,17.00
2025-07-23T21:19:00Z,94.00,17.00
2025-07-23T21:21:00Z,96.32,17.00
2025-07-23T21:22:00Z,97.00,17.00
2025-07-23T21:23:00Z,98.00,17.00
2025-07-23T21:24:00Z,90.00,17.00
2025-07-23T21:26:00Z,99.00,17.00
2025-07-23T21:27:00Z,98.00,1.00
2025-07-23T21:28:00Z,97.00,6.40
2025-07-23T21:29:00Z,98.00,6.40
2025-07-23T21:30:00Z,98.00,6.40
2025-07-23T21:31:00Z,96.00,6.40
2025-07-23T21:34:00Z,94.00,6.40
2025-07-23T21:35:00Z,94.00,10.28
2025-07-23T21:36:00Z,94.00,8.56
2025-07-23T21:37:00Z,94.06,9.00
2025-07-23T21:38:00Z,96.68,9.00
2025-07-23T21:39:00Z,97.06,9.00
2025-07-23T21:40:00Z,94.00,9.00
2025-07-23T21:41:00Z,95.00,9.00
2025-07-23T21:42:00Z,98.00,9.00
2025-07-23T21:43:00Z,96.00,6.00
2025-07-23T21:44:00Z,94.93,12.37
2025-07-23T21:45:00Z,97.51,13.80
2025-07-23T21:46:00Z,97.51,14.00
2025-07-23T21:47:00Z,92.71,11.00
2025-07-23T21:48:00Z,92.71,17.00
2025-07-23T21:49:00Z,92.71,19.00
2025-07-23T21:50:00Z,81.54,19.00
2025-07-23T21:51:00Z,91.56,4.42
2025-07-23T21:52:00Z,97.00,10.29
2025-07-23T21:53:00Z,97.00,10.29
2025-07-23T21:54:00Z,97.02,10.29
2025-07-23T21:55:00Z,98.00,10.29
2025-07-23T21:56:00Z,98.00,10.00
2025-07-23T21:58:00Z,90.19,9.99
2025-07-23T21:59:00Z,81.00,9.99
2025-07-23T22:00:00Z,81.00,22.04
2025-07-23T22:01:00Z,81.00,22.83
2025-07-23T22:02:00Z,78.73,28.30
2025-07-23T22:03:00Z,69.77,39.89
2025-07-23T22:04:00Z,91.79,39.89
2025-07-23T22:06:00Z,87.78,3.62
2025-07-23T22:07:00Z,94.35,2.15
2025-07-23T22:08:00Z,95.66,5.60
2025-07-23T22:11:00Z,97.61,5.60
2025-07-23T22:12:00Z,98.80,1.00
2025-07-23T22:13:00Z,99.00,1.00
2025-07-23T22:14:00Z,99.00,1.00
2025-07-23T22:20:00Z,99.00,1.00
