# event_ticker=KXATPCHALLENGERMATCH-26APR13MORBRO
# final_score=6-2 6-1
# match_winner=Charles Broom
# fav_player=Charles Broom
# dog_player=Hiroki Moriya
# kalshi_date=2026-04-13
timestamp,Charles Broom,Hiroki Moriya
2026-04-13T16:24:00Z,69.00,
2026-04-13T16:37:00Z,68.00,
2026-04-13T18:57:00Z,68.00,
2026-04-13T19:23:00Z,68.00,
2026-04-13T20:18:00Z,68.25,
2026-04-13T20:19:00Z,68.00,
2026-04-13T20:38:00Z,68.79,
2026-04-13T20:39:00Z,69.00,
2026-04-13T20:43:00Z,69.00,34.00
2026-04-13T20:45:00Z,69.00,34.00
2026-04-13T21:01:00Z,69.00,34.00
2026-04-13T21:16:00Z,69.00,34.65
2026-04-13T21:18:00Z,68.00,34.65
2026-04-13T21:21:00Z,68.00,34.65
2026-04-13T21:24:00Z,68.00,34.65
2026-04-13T21:49:00Z,68.00,34.65
2026-04-13T22:00:00Z,68.00,34.65
2026-04-13T22:05:00Z,69.00,31.00
2026-04-13T22:18:00Z,69.00,29.00
2026-04-13T22:20:00Z,69.00,30.00
2026-04-13T22:22:00Z,69.00,30.00
2026-04-13T22:23:00Z,69.00,29.95
2026-04-13T22:34:00Z,70.72,29.95
2026-04-13T23:15:00Z,70.00,29.95
2026-04-13T23:29:00Z,70.00,29.95
2026-04-13T23:41:00Z,70.00,29.95
2026-04-14T00:00:00Z,70.00,29.95
2026-04-14T00:08:00Z,71.00,29.95
2026-04-14T00:10:00Z,71.00,29.95
2026-04-14T00:41:00Z,71.00,29.00
2026-04-14T01:01:00Z,71.00,29.00
2026-04-14T01:17:00Z,71.00,29.00
2026-04-14T01:25:00Z,71.00,29.00
2026-04-14T01:30:00Z,71.00,29.00
2026-04-14T01:31:00Z,71.00,29.00
2026-04-14T01:40:00Z,71.00,31.00
2026-04-14T01:41:00Z,71.00,31.00
2026-04-14T01:44:00Z,71.00,31.00
2026-04-14T01:45:00Z,71.00,31.00
2026-04-14T01:47:00Z,71.00,31.00
2026-04-14T01:50:00Z,71.00,31.00
2026-04-14T01:55:00Z,71.00,31.00
2026-04-14T01:56:00Z,71.00,32.00
2026-04-14T01:57:00Z,71.00,32.00
2026-04-14T01:59:00Z,71.00,32.00
2026-04-14T02:03:00Z,71.00,31.88
2026-04-14T02:04:00Z,71.78,31.00
2026-04-14T02:05:00Z,71.00,31.00
2026-04-14T02:06:00Z,71.74,31.09
2026-04-14T02:07:00Z,71.00,31.06
2026-04-14T02:08:00Z,71.60,31.04
2026-04-14T02:09:00Z,74.19,30.94
2026-04-14T02:10:00Z,70.69,31.77
2026-04-14T02:11:00Z,76.49,26.10
2026-04-14T02:12:00Z,76.00,27.00
2026-04-14T02:13:00Z,71.32,33.45
2026-04-14T02:14:00Z,69.73,33.87
2026-04-14T02:15:00Z,77.79,28.43
2026-04-14T02:16:00Z,79.61,24.34
2026-04-14T02:17:00Z,79.61,21.26
2026-04-14T02:18:00Z,78.67,24.17
2026-04-14T02:19:00Z,79.46,23.78
2026-04-14T02:20:00Z,83.61,19.95
2026-04-14T02:21:00Z,83.25,20.00
2026-04-14T02:22:00Z,85.22,13.53
2026-04-14T02:23:00Z,86.92,15.49
2026-04-14T02:24:00Z,87.71,15.49
2026-04-14T02:25:00Z,87.63,14.18
2026-04-14T02:26:00Z,89.09,14.18
2026-04-14T02:27:00Z,92.63,10.42
2026-04-14T02:28:00Z,94.97,9.32
2026-04-14T02:29:00Z,93.78,8.28
2026-04-14T02:30:00Z,91.74,10.93
2026-04-14T02:31:00Z,88.50,11.69
2026-04-14T02:32:00Z,94.00,11.44
2026-04-14T02:33:00Z,92.00,10.52
2026-04-14T02:34:00Z,90.79,12.52
2026-04-14T02:35:00Z,93.96,10.00
2026-04-14T02:36:00Z,93.03,8.96
2026-04-14T02:37:00Z,92.98,10.91
2026-04-14T02:38:00Z,93.42,8.78
2026-04-14T02:39:00Z,92.07,11.00
2026-04-14T02:40:00Z,93.03,8.31
2026-04-14T02:41:00Z,93.43,8.80
2026-04-14T02:42:00Z,93.00,8.59
2026-04-14T02:43:00Z,95.09,8.38
2026-04-14T02:44:00Z,94.68,6.98
2026-04-14T02:45:00Z,96.45,4.67
2026-04-14T02:46:00Z,98.21,3.98
2026-04-14T02:47:00Z,98.03,2.36
2026-04-14T02:48:00Z,98.64,2.44
2026-04-14T02:49:00Z,99.00,1.44
2026-04-14T02:50:00Z,98.83,2.37
2026-04-14T02:51:00Z,98.68,1.83
2026-04-14T02:52:00Z,98.00,1.00
2026-04-14T02:53:00Z,99.00,1.16
2026-04-14T02:54:00Z,99.00,1.00
2026-04-14T02:55:00Z,99.00,1.00
2026-04-14T02:56:00Z,99.00,1.00
2026-04-14T02:57:00Z,99.00,1.00
2026-04-14T02:59:00Z,99.00,1.00
2026-04-14T03:00:00Z,99.00,1.00
2026-04-14T03:01:00Z,99.00,1.00
2026-04-14T03:03:00Z,99.00,1.00
2026-04-14T03:04:00Z,99.00,1.00
2026-04-14T03:05:00Z,99.00,1.00
2026-04-14T03:06:00Z,99.00,1.00
2026-04-14T03:09:00Z,99.00,1.00
