# event_ticker=KXATPCHALLENGERMATCH-26APR27PIRHOU
# final_score=6-4 6-3
# score_resolution=4-6 3-6
# match_winner=Zsombor Piros
# fav_player=Max Houkes
# dog_player=Zsombor Piros
# kalshi_date=2026-04-27
timestamp,Zsombor Piros,Max Houkes
2026-04-27T02:22:00Z,73.00,
2026-04-27T04:09:00Z,73.00,
2026-04-27T04:22:00Z,73.00,30.00
2026-04-27T04:48:00Z,73.00,30.00
2026-04-27T04:53:00Z,73.00,30.00
2026-04-27T05:02:00Z,73.00,30.00
2026-04-27T06:05:00Z,70.00,30.00
2026-04-27T10:30:00Z,73.00,30.00
2026-04-27T10:43:00Z,73.00,30.00
2026-04-27T11:00:00Z,73.00,30.00
2026-04-27T11:55:00Z,73.00,30.00
2026-04-27T12:12:00Z,73.00,30.00
2026-04-27T12:31:00Z,73.00,30.00
2026-04-27T12:34:00Z,73.00,30.00
2026-04-27T12:48:00Z,73.00,30.00
2026-04-27T12:51:00Z,73.00,30.00
2026-04-27T12:59:00Z,73.00,30.00
2026-04-27T13:02:00Z,73.00,30.00
2026-04-27T13:11:00Z,73.00,28.35
2026-04-27T13:20:00Z,73.00,29.00
2026-04-27T13:25:00Z,73.00,29.00
2026-04-27T13:31:00Z,74.00,29.00
2026-04-27T13:32:00Z,73.00,29.00
2026-04-27T13:36:00Z,72.29,29.00
2026-04-27T13:37:00Z,72.29,30.00
2026-04-27T13:38:00Z,70.00,30.00
2026-04-27T13:39:00Z,73.00,30.00
2026-04-27T13:40:00Z,72.00,29.00
2026-04-27T13:41:00Z,72.00,29.00
2026-04-27T13:42:00Z,70.53,29.00
2026-04-27T13:43:00Z,66.97,34.53
2026-04-27T13:44:00Z,70.31,30.43
2026-04-27T13:45:00Z,70.42,29.82
2026-04-27T13:46:00Z,67.80,33.32
2026-04-27T13:47:00Z,68.15,33.94
2026-04-27T13:48:00Z,58.22,40.26
2026-04-27T13:49:00Z,58.25,43.03
2026-04-27T13:50:00Z,57.54,44.91
2026-04-27T13:51:00Z,55.73,44.27
2026-04-27T13:52:00Z,59.43,37.88
2026-04-27T13:53:00Z,65.89,34.65
2026-04-27T13:54:00Z,68.72,31.00
2026-04-27T13:55:00Z,60.19,38.85
2026-04-27T13:56:00Z,57.00,43.92
2026-04-27T13:57:00Z,54.86,46.69
2026-04-27T13:58:00Z,52.98,48.97
2026-04-27T13:59:00Z,49.28,51.55
2026-04-27T14:00:00Z,47.21,52.73
2026-04-27T14:01:00Z,50.07,50.94
2026-04-27T14:02:00Z,51.96,49.00
2026-04-27T14:03:00Z,52.00,47.70
2026-04-27T14:04:00Z,53.03,47.38
2026-04-27T14:05:00Z,50.33,52.47
2026-04-27T14:06:00Z,46.36,53.10
2026-04-27T14:07:00Z,45.04,55.94
2026-04-27T14:08:00Z,46.00,55.80
2026-04-27T14:09:00Z,47.66,54.00
2026-04-27T14:10:00Z,45.16,56.57
2026-04-27T14:11:00Z,46.15,53.40
2026-04-27T14:12:00Z,49.00,52.00
2026-04-27T14:13:00Z,47.95,52.31
2026-04-27T14:14:00Z,47.88,52.61
2026-04-27T14:15:00Z,53.00,47.62
2026-04-27T14:16:00Z,60.86,38.14
2026-04-27T14:17:00Z,63.18,36.30
2026-04-27T14:18:00Z,68.02,35.21
2026-04-27T14:19:00Z,59.00,39.99
2026-04-27T14:20:00Z,67.54,31.53
2026-04-27T14:21:00Z,69.00,31.23
2026-04-27T14:22:00Z,69.53,29.34
2026-04-27T14:23:00Z,75.92,17.91
2026-04-27T14:24:00Z,86.21,16.99
2026-04-27T14:25:00Z,85.73,14.24
2026-04-27T14:26:00Z,85.25,14.78
2026-04-27T14:27:00Z,85.64,13.76
2026-04-27T14:28:00Z,88.74,12.79
2026-04-27T14:29:00Z,87.86,12.08
2026-04-27T14:30:00Z,88.42,11.32
2026-04-27T14:31:00Z,88.20,12.00
2026-04-27T14:32:00Z,88.00,13.87
2026-04-27T14:33:00Z,85.53,14.50
2026-04-27T14:34:00Z,81.55,18.11
2026-04-27T14:35:00Z,85.72,16.46
2026-04-27T14:36:00Z,85.27,15.79
2026-04-27T14:37:00Z,87.60,12.19
2026-04-27T14:38:00Z,87.88,12.92
2026-04-27T14:39:00Z,84.13,15.53
2026-04-27T14:40:00Z,84.00,16.24
2026-04-27T14:41:00Z,84.11,16.97
2026-04-27T14:42:00Z,85.73,13.36
2026-04-27T14:43:00Z,86.99,13.00
2026-04-27T14:44:00Z,89.30,11.39
2026-04-27T14:45:00Z,93.93,10.44
2026-04-27T14:46:00Z,88.06,13.44
2026-04-27T14:47:00Z,87.12,10.76
2026-04-27T14:48:00Z,92.64,10.00
2026-04-27T14:49:00Z,95.77,8.35
2026-04-27T14:50:00Z,95.43,4.99
2026-04-27T14:51:00Z,95.94,4.03
2026-04-27T14:52:00Z,91.76,9.38
2026-04-27T14:53:00Z,92.56,6.95
2026-04-27T14:54:00Z,96.19,4.57
2026-04-27T14:55:00Z,95.57,4.13
2026-04-27T14:56:00Z,91.58,10.02
2026-04-27T14:57:00Z,95.93,5.18
2026-04-27T14:58:00Z,97.96,2.62
2026-04-27T14:59:00Z,97.94,2.67
2026-04-27T15:00:00Z,97.92,3.90
2026-04-27T15:01:00Z,98.00,3.00
2026-04-27T15:02:00Z,98.96,1.18
2026-04-27T15:03:00Z,98.15,2.00
2026-04-27T15:04:00Z,98.52,1.88
2026-04-27T15:05:00Z,98.00,2.40
2026-04-27T15:06:00Z,97.93,3.00
2026-04-27T15:07:00Z,97.81,3.00
2026-04-27T15:08:00Z,97.70,2.14
2026-04-27T15:09:00Z,99.00,1.00
2026-04-27T15:10:00Z,99.00,1.00
2026-04-27T15:11:00Z,99.00,1.00
2026-04-27T15:12:00Z,99.00,1.00
