# event_ticker=KXATPCHALLENGERMATCH-26FEB17FICFIS
# final_score=6-4 6-4
# match_winner=Juan Pablo Ficovich
# fav_player=Juan Pablo Ficovich
# dog_player=Ryan Fishback
# kalshi_date=2026-02-17
timestamp,Juan Pablo Ficovich,Ryan Fishback
2026-02-17T12:09:00Z,80.00,
2026-02-17T12:42:00Z,80.00,24.00
2026-02-17T12:55:00Z,80.00,24.00
2026-02-17T14:11:00Z,80.00,19.00
2026-02-17T15:02:00Z,80.00,24.00
2026-02-17T15:03:00Z,79.00,24.00
2026-02-17T15:25:00Z,79.00,24.00
2026-02-17T15:48:00Z,79.00,25.00
2026-02-17T15:54:00Z,79.00,21.00
2026-02-17T15:55:00Z,79.00,21.00
2026-02-17T16:02:00Z,79.00,24.67
2026-02-17T16:03:00Z,79.00,24.67
2026-02-17T16:04:00Z,79.00,24.00
2026-02-17T16:06:00Z,80.11,24.00
2026-02-17T16:07:00Z,78.00,28.00
2026-02-17T16:08:00Z,78.00,27.00
2026-02-17T16:09:00Z,76.00,27.00
2026-02-17T16:10:00Z,78.77,27.00
2026-02-17T16:11:00Z,82.88,27.00
2026-02-17T16:12:00Z,81.07,18.00
2026-02-17T16:13:00Z,79.00,18.00
2026-02-17T16:14:00Z,79.00,20.44
2026-02-17T16:15:00Z,80.24,20.46
2026-02-17T16:16:00Z,79.00,24.00
2026-02-17T16:17:00Z,79.00,27.53
2026-02-17T16:18:00Z,72.00,29.52
2026-02-17T16:19:00Z,73.98,25.68
2026-02-17T16:20:00Z,72.03,28.05
2026-02-17T16:21:00Z,71.86,30.68
2026-02-17T16:22:00Z,68.98,30.68
2026-02-17T16:23:00Z,70.55,31.00
2026-02-17T16:24:00Z,71.01,28.36
2026-02-17T16:25:00Z,69.08,31.96
2026-02-17T16:26:00Z,67.00,34.00
2026-02-17T16:27:00Z,63.07,36.14
2026-02-17T16:28:00Z,67.21,31.00
2026-02-17T16:29:00Z,70.49,32.16
2026-02-17T16:30:00Z,69.00,27.45
2026-02-17T16:31:00Z,77.23,22.80
2026-02-17T16:32:00Z,81.65,21.31
2026-02-17T16:34:00Z,85.44,21.31
2026-02-17T16:35:00Z,88.00,12.00
2026-02-17T16:36:00Z,88.00,13.73
2026-02-17T16:37:00Z,85.28,13.53
2026-02-17T16:38:00Z,85.28,15.50
2026-02-17T16:39:00Z,88.00,13.00
2026-02-17T16:40:00Z,90.00,7.15
2026-02-17T16:41:00Z,88.13,11.00
2026-02-17T16:42:00Z,90.00,11.00
2026-02-17T16:43:00Z,90.00,11.13
2026-02-17T16:44:00Z,86.03,13.65
2026-02-17T16:45:00Z,87.00,14.00
2026-02-17T16:46:00Z,88.00,14.00
2026-02-17T16:47:00Z,88.00,13.18
2026-02-17T16:48:00Z,86.86,17.07
2026-02-17T16:49:00Z,84.02,16.00
2026-02-17T16:50:00Z,83.16,14.46
2026-02-17T16:51:00Z,88.00,13.91
2026-02-17T16:52:00Z,88.00,12.82
2026-02-17T16:53:00Z,87.67,12.17
2026-02-17T16:54:00Z,88.00,10.02
2026-02-17T16:55:00Z,90.84,9.02
2026-02-17T16:58:00Z,95.00,6.00
2026-02-17T16:59:00Z,95.01,4.55
2026-02-17T17:00:00Z,96.00,4.61
2026-02-17T17:01:00Z,97.03,2.29
2026-02-17T17:02:00Z,95.00,3.36
2026-02-17T17:03:00Z,96.00,5.00
2026-02-17T17:04:00Z,95.24,5.73
2026-02-17T17:05:00Z,95.02,4.41
2026-02-17T17:06:00Z,96.98,5.19
2026-02-17T17:07:00Z,96.00,3.91
2026-02-17T17:08:00Z,97.97,2.61
2026-02-17T17:09:00Z,97.02,3.11
2026-02-17T17:10:00Z,96.05,5.29
2026-02-17T17:11:00Z,96.05,4.00
2026-02-17T17:12:00Z,96.45,3.99
2026-02-17T17:13:00Z,98.00,2.90
2026-02-17T17:14:00Z,98.00,3.65
2026-02-17T17:15:00Z,98.13,3.65
2026-02-17T17:16:00Z,98.60,3.65
2026-02-17T17:17:00Z,97.84,3.17
2026-02-17T17:18:00Z,97.84,3.00
2026-02-17T17:19:00Z,96.19,5.88
2026-02-17T17:20:00Z,91.21,8.47
2026-02-17T17:21:00Z,88.95,12.60
2026-02-17T17:22:00Z,95.19,4.80
2026-02-17T17:23:00Z,99.00,1.00
2026-02-17T17:25:00Z,99.00,1.00
2026-02-17T17:26:00Z,99.00,1.00
2026-02-17T17:29:00Z,99.00,1.00
2026-02-17T17:30:00Z,99.00,1.00
