# event_ticker=KXATPMATCH-26MAR06KOVMOU
# final_score=6-1 6-4
# match_winner=Aleksandar Kovacevic
# fav_player=Aleksandar Kovacevic
# dog_player=Corentin Moutet
# kalshi_date=2026-03-06
timestamp,Aleksandar Kovacevic,Corentin Moutet
2026-03-07T07:32:00Z,41.00,
2026-03-07T07:44:00Z,41.00,61.00
2026-03-07T07:49:00Z,41.00,61.00
2026-03-07T07:58:00Z,41.00,61.00
2026-03-07T08:11:00Z,40.00,61.00
2026-03-07T08:13:00Z,40.00,61.00
2026-03-07T08:18:00Z,40.00,61.00
2026-03-07T08:34:00Z,40.00,61.00
2026-03-07T08:35:00Z,41.68,61.00
2026-03-07T08:42:00Z,42.00,61.00
2026-03-07T09:00:00Z,42.00,61.00
2026-03-07T09:08:00Z,42.00,61.00
2026-03-07T09:11:00Z,42.00,61.00
2026-03-07T09:27:00Z,42.00,61.00
2026-03-07T09:29:00Z,42.00,61.00
2026-03-07T10:02:00Z,42.00,61.00
2026-03-07T10:38:00Z,42.00,61.00
2026-03-07T10:46:00Z,42.00,61.00
2026-03-07T11:05:00Z,42.00,61.00
2026-03-07T11:15:00Z,42.00,61.00
2026-03-07T11:16:00Z,42.00,61.00
2026-03-07T11:39:00Z,42.00,61.00
2026-03-07T11:50:00Z,42.00,61.00
2026-03-07T11:57:00Z,42.00,61.00
2026-03-07T11:59:00Z,42.00,61.00
2026-03-07T12:22:00Z,41.02,61.00
2026-03-07T12:31:00Z,42.00,61.00
2026-03-07T12:39:00Z,42.00,61.00
2026-03-07T12:45:00Z,42.00,61.00
2026-03-07T12:51:00Z,42.00,61.00
2026-03-07T12:52:00Z,42.00,61.00
2026-03-07T12:58:00Z,42.00,61.00
2026-03-07T13:04:00Z,42.00,60.00
2026-03-07T13:07:00Z,42.00,58.00
2026-03-07T13:15:00Z,42.00,58.00
2026-03-07T13:18:00Z,42.00,58.00
2026-03-07T13:25:00Z,42.00,58.00
2026-03-07T13:33:00Z,42.00,58.00
2026-03-07T13:39:00Z,43.00,58.00
2026-03-07T13:45:00Z,43.00,58.00
2026-03-07T13:51:00Z,43.00,58.50
2026-03-07T14:02:00Z,43.00,59.00
2026-03-07T14:03:00Z,43.00,59.00
2026-03-07T14:13:00Z,43.00,59.00
2026-03-07T14:20:00Z,43.00,59.00
2026-03-07T14:24:00Z,43.00,59.00
2026-03-07T14:28:00Z,43.00,59.00
2026-03-07T14:30:00Z,43.00,59.00
2026-03-07T14:33:00Z,43.00,59.00
2026-03-07T14:34:00Z,43.00,59.00
2026-03-07T14:50:00Z,43.00,59.00
2026-03-07T14:52:00Z,43.00,59.00
2026-03-07T14:54:00Z,43.00,59.00
2026-03-07T14:55:00Z,43.00,59.00
2026-03-07T14:58:00Z,43.00,59.00
2026-03-07T15:02:00Z,43.00,59.00
2026-03-07T15:14:00Z,43.00,59.00
2026-03-07T15:15:00Z,43.00,59.00
2026-03-07T15:16:00Z,43.00,59.00
2026-03-07T15:20:00Z,43.00,59.00
