# event_ticker=KXATPMATCH-25JUL21ZHUMUL
# final_score=6-4 6-4
# match_winner=Alexandre Muller
# fav_player=Alexandre Muller
# dog_player=Beibit Zhukayev
# kalshi_date=2025-07-21
timestamp,Alexandre Muller,Beibit Zhukayev
2025-07-21T06:54:00Z,,39.00
2025-07-21T12:01:00Z,75.00,39.00
2025-07-21T12:11:00Z,74.00,39.00
2025-07-21T12:32:00Z,74.00,39.00
2025-07-21T12:50:00Z,73.91,39.00
2025-07-21T12:53:00Z,74.00,39.00
2025-07-21T15:11:00Z,70.00,39.00
2025-07-21T15:44:00Z,71.00,39.00
2025-07-21T15:55:00Z,69.00,39.00
2025-07-21T16:09:00Z,68.00,39.00
2025-07-21T16:42:00Z,68.00,77.00
2025-07-21T16:45:00Z,75.00,77.00
2025-07-21T16:46:00Z,75.00,29.00
2025-07-21T16:47:00Z,77.00,29.00
2025-07-21T16:49:00Z,81.00,19.00
2025-07-21T16:51:00Z,84.00,19.00
2025-07-21T16:53:00Z,88.68,19.00
2025-07-21T16:58:00Z,88.68,16.00
2025-07-21T16:59:00Z,88.68,18.00
2025-07-21T17:00:00Z,85.00,18.00
2025-07-21T17:01:00Z,85.00,18.00
2025-07-21T17:02:00Z,85.00,17.00
2025-07-21T17:03:00Z,86.01,17.00
2025-07-21T17:04:00Z,86.01,16.00
2025-07-21T17:06:00Z,86.00,16.00
2025-07-21T17:07:00Z,86.00,17.00
2025-07-21T17:08:00Z,86.00,15.03
2025-07-21T17:09:00Z,86.00,18.00
2025-07-21T17:13:00Z,86.00,20.43
2025-07-21T17:15:00Z,86.00,21.82
2025-07-21T17:16:00Z,86.00,22.00
2025-07-21T17:18:00Z,86.00,18.28
2025-07-21T17:19:00Z,85.00,17.00
2025-07-21T17:23:00Z,86.00,17.00
2025-07-21T17:25:00Z,84.00,17.00
2025-07-21T17:27:00Z,91.00,17.00
2025-07-21T17:28:00Z,91.00,20.00
2025-07-21T17:29:00Z,91.00,15.90
2025-07-21T17:30:00Z,91.00,17.00
2025-07-21T17:32:00Z,91.00,25.00
2025-07-21T17:34:00Z,91.00,19.00
2025-07-21T17:35:00Z,91.00,28.00
2025-07-21T17:36:00Z,91.00,32.31
2025-07-21T17:37:00Z,91.00,34.00
2025-07-21T17:38:00Z,91.00,34.58
2025-07-21T17:39:00Z,71.21,34.58
2025-07-21T17:42:00Z,85.00,15.00
2025-07-21T17:43:00Z,87.00,14.00
2025-07-21T17:44:00Z,79.18,14.00
2025-07-21T17:47:00Z,79.18,19.00
2025-07-21T17:48:00Z,79.18,19.00
2025-07-21T17:51:00Z,90.00,19.00
2025-07-21T17:52:00Z,91.00,7.00
2025-07-21T17:53:00Z,93.00,7.00
2025-07-21T17:54:00Z,93.00,14.43
2025-07-21T17:56:00Z,93.00,18.00
2025-07-21T17:57:00Z,84.00,17.33
2025-07-21T17:58:00Z,84.00,32.00
2025-07-21T18:01:00Z,84.00,21.00
2025-07-21T18:04:00Z,93.00,11.00
2025-07-21T18:05:00Z,97.00,5.00
2025-07-21T18:06:00Z,98.00,7.46
2025-07-21T18:07:00Z,98.00,8.00
2025-07-21T18:08:00Z,99.00,6.85
2025-07-21T18:09:00Z,99.00,2.60
2025-07-21T18:10:00Z,98.95,3.00
2025-07-21T18:11:00Z,98.95,1.00
