# event_ticker=KXATPMATCH-25JUL30BOYMEN
# final_score=6-4 6-4
# match_winner=Jakub Mensik
# fav_player=Jakub Mensik
# dog_player=Tristan Boyer
# kalshi_date=2025-07-30
timestamp,Jakub Mensik,Tristan Boyer
2025-07-30T12:36:00Z,,15.00
2025-07-30T12:42:00Z,,18.00
2025-07-30T12:54:00Z,,19.00
2025-07-30T13:00:00Z,73.00,19.00
2025-07-30T13:05:00Z,73.00,19.00
2025-07-30T13:16:00Z,77.00,19.00
2025-07-30T13:19:00Z,77.00,19.00
2025-07-30T13:21:00Z,77.00,19.00
2025-07-30T13:22:00Z,77.00,19.00
2025-07-30T13:42:00Z,77.00,19.00
2025-07-30T13:59:00Z,81.00,19.00
2025-07-30T14:01:00Z,81.00,19.00
2025-07-30T14:03:00Z,81.00,19.00
2025-07-30T14:18:00Z,81.00,16.00
2025-07-30T15:33:00Z,81.00,19.00
2025-07-30T15:45:00Z,81.00,19.00
2025-07-30T15:49:00Z,81.00,19.00
2025-07-30T15:54:00Z,81.00,19.00
2025-07-30T18:21:00Z,81.00,20.00
2025-07-30T18:24:00Z,80.00,20.00
2025-07-30T18:25:00Z,80.00,20.00
2025-07-30T18:26:00Z,80.00,21.00
2025-07-30T18:28:00Z,80.00,21.00
2025-07-30T18:29:00Z,80.00,21.00
2025-07-30T18:41:00Z,80.00,19.00
2025-07-30T18:42:00Z,80.99,19.00
2025-07-30T18:47:00Z,83.00,19.00
2025-07-30T18:49:00Z,83.00,19.00
2025-07-30T18:52:00Z,83.00,18.25
2025-07-30T19:00:00Z,83.00,19.00
2025-07-30T19:09:00Z,81.63,19.00
2025-07-30T19:19:00Z,81.63,18.00
2025-07-30T19:22:00Z,81.63,18.01
2025-07-30T19:28:00Z,79.00,18.00
2025-07-30T19:30:00Z,79.00,21.00
2025-07-30T19:41:00Z,80.00,21.00
2025-07-30T19:48:00Z,80.00,21.00
2025-07-30T19:51:00Z,80.00,20.15
2025-07-30T19:53:00Z,84.00,20.15
2025-07-30T19:54:00Z,84.00,20.15
2025-07-30T19:55:00Z,84.00,19.00
2025-07-30T19:56:00Z,84.00,19.00
2025-07-30T19:57:00Z,87.00,19.00
2025-07-30T19:59:00Z,85.00,19.00
2025-07-30T20:00:00Z,85.00,22.00
2025-07-30T20:01:00Z,84.00,19.00
2025-07-30T20:02:00Z,85.00,19.00
2025-07-30T20:03:00Z,85.00,18.00
2025-07-30T20:04:00Z,85.00,19.00
2025-07-30T20:05:00Z,86.00,18.60
2025-07-30T20:06:00Z,86.00,17.00
2025-07-30T20:08:00Z,86.00,19.00
