# event_ticker=KXATPMATCH-26MAR12ALCNOR
# final_score=6-3 6-4
# score_resolution=3-6 4-6
# match_winner=Carlos Alcaraz
# fav_player=Cameron Norrie
# dog_player=Carlos Alcaraz
# kalshi_date=2026-03-12
timestamp,Cameron Norrie,Carlos Alcaraz
2026-03-12T14:27:00Z,7.00,
2026-03-12T14:29:00Z,7.00,94.00
2026-03-12T14:32:00Z,7.00,94.00
2026-03-12T14:37:00Z,7.00,94.00
2026-03-12T14:42:00Z,7.00,94.00
2026-03-12T14:44:00Z,7.00,94.00
2026-03-12T14:46:00Z,7.00,94.00
2026-03-12T14:48:00Z,7.00,94.00
2026-03-12T14:50:00Z,7.00,94.00
2026-03-12T14:58:00Z,7.00,94.00
2026-03-12T15:03:00Z,7.00,94.00
2026-03-12T15:09:00Z,7.00,94.00
2026-03-12T15:12:00Z,7.00,94.00
2026-03-12T15:16:00Z,7.00,94.00
2026-03-12T15:18:00Z,7.00,94.00
2026-03-12T15:21:00Z,7.00,94.00
2026-03-12T15:27:00Z,7.00,94.00
2026-03-12T15:28:00Z,7.00,94.00
2026-03-12T15:29:00Z,7.00,94.00
2026-03-12T15:34:00Z,7.00,94.00
2026-03-12T15:37:00Z,7.00,94.00
2026-03-12T15:40:00Z,6.62,94.00
2026-03-12T15:43:00Z,7.00,94.00
2026-03-12T15:45:00Z,7.00,94.00
2026-03-12T15:47:00Z,7.00,94.00
2026-03-12T15:48:00Z,7.00,94.00
2026-03-12T15:52:00Z,7.00,94.00
2026-03-12T15:53:00Z,7.00,94.00
2026-03-12T15:55:00Z,7.00,94.00
2026-03-12T16:01:00Z,7.00,94.00
2026-03-12T16:02:00Z,7.00,94.00
2026-03-12T16:03:00Z,7.00,94.00
2026-03-12T16:11:00Z,7.00,94.00
2026-03-12T16:12:00Z,7.00,94.00
2026-03-12T16:13:00Z,7.00,94.00
2026-03-12T16:16:00Z,7.00,93.00
2026-03-12T16:23:00Z,7.00,94.00
2026-03-12T16:25:00Z,7.00,94.00
2026-03-12T16:30:00Z,7.00,94.00
2026-03-12T16:46:00Z,7.00,94.00
2026-03-12T16:49:00Z,7.00,94.00
2026-03-12T16:50:00Z,6.00,94.00
2026-03-12T16:53:00Z,6.00,94.00
2026-03-12T16:54:00Z,6.00,94.00
2026-03-12T16:55:00Z,6.00,94.00
2026-03-12T16:57:00Z,7.00,94.00
2026-03-12T16:58:00Z,7.00,94.00
2026-03-12T17:02:00Z,7.00,94.00
2026-03-12T17:08:00Z,7.00,94.00
2026-03-12T17:10:00Z,7.00,94.00
2026-03-12T17:11:00Z,7.00,94.00
2026-03-12T17:14:00Z,7.00,94.00
2026-03-12T17:15:00Z,7.00,94.00
2026-03-12T17:17:00Z,7.00,94.00
2026-03-12T17:24:00Z,7.00,94.00
2026-03-12T17:26:00Z,7.00,94.00
2026-03-12T17:28:00Z,7.00,94.00
2026-03-12T17:29:00Z,7.00,94.00
2026-03-12T17:30:00Z,7.00,94.00
2026-03-12T17:39:00Z,7.00,94.00
2026-03-12T17:43:00Z,7.00,94.00
2026-03-12T17:48:00Z,7.00,94.00
2026-03-12T17:49:00Z,7.00,94.00
2026-03-12T17:54:00Z,7.00,94.00
2026-03-12T17:56:00Z,7.00,94.00
2026-03-12T17:57:00Z,7.00,94.00
2026-03-12T17:58:00Z,7.00,94.00
2026-03-12T17:59:00Z,7.00,93.00
2026-03-12T18:04:00Z,7.00,93.00
2026-03-12T18:09:00Z,7.00,94.00
2026-03-12T18:12:00Z,7.00,94.00
2026-03-12T18:13:00Z,7.00,94.00
2026-03-12T18:16:00Z,7.00,94.00
2026-03-12T18:17:00Z,7.00,93.00
2026-03-12T18:19:00Z,7.00,93.00
2026-03-12T18:22:00Z,6.81,93.00
2026-03-12T18:23:00Z,7.00,93.00
2026-03-12T18:25:00Z,7.00,94.00
2026-03-12T18:26:00Z,7.00,94.00
2026-03-12T18:31:00Z,7.00,94.00
2026-03-12T18:34:00Z,7.00,94.00
2026-03-12T18:38:00Z,5.00,94.00
2026-03-12T18:39:00Z,5.00,94.00
2026-03-12T18:40:00Z,7.00,94.00
2026-03-12T18:42:00Z,7.00,94.00
2026-03-12T18:43:00Z,7.00,94.00
2026-03-12T18:46:00Z,7.00,94.00
2026-03-12T18:48:00Z,7.00,94.00
2026-03-12T18:51:00Z,7.00,94.00
2026-03-12T18:55:00Z,7.00,94.00
2026-03-12T19:00:00Z,7.00,94.00
2026-03-12T19:01:00Z,7.00,94.00
2026-03-12T19:02:00Z,7.00,94.00
2026-03-12T19:06:00Z,7.00,94.00
2026-03-12T19:10:00Z,7.00,94.00
2026-03-12T19:13:00Z,7.00,94.00
2026-03-12T19:15:00Z,7.00,93.00
2026-03-12T19:16:00Z,7.00,93.00
2026-03-12T19:24:00Z,7.00,93.00
2026-03-12T19:25:00Z,7.00,93.00
2026-03-12T19:27:00Z,7.00,93.00
2026-03-12T19:28:00Z,7.00,94.00
