# event_ticker=KXATPMATCH-26JAN03UGOTIE
# final_score=7-6(4) 6-3
# score_resolution=6-7 3-6
# match_winner=Learner Tien
# fav_player=Camilo Ugo Carabelli
# dog_player=Learner Tien
# kalshi_date=2026-01-03
timestamp,Camilo Ugo Carabelli,Learner Tien
2026-01-03T20:53:00Z,17.00,
2026-01-03T20:55:00Z,17.00,85.00
2026-01-04T01:30:00Z,17.00,85.00
2026-01-04T03:06:00Z,17.56,85.00
2026-01-04T03:21:00Z,17.56,84.00
2026-01-04T03:22:00Z,18.00,84.00
2026-01-04T03:56:00Z,18.00,84.00
2026-01-04T04:02:00Z,18.00,84.00
2026-01-04T04:12:00Z,17.00,84.00
2026-01-04T04:14:00Z,17.00,84.00
2026-01-04T04:50:00Z,17.00,84.00
2026-01-04T05:07:00Z,17.00,84.00
2026-01-04T05:14:00Z,17.00,83.00
2026-01-04T05:20:00Z,17.00,83.00
2026-01-04T05:40:00Z,17.00,82.00
2026-01-04T05:41:00Z,16.00,83.00
2026-01-04T05:42:00Z,16.00,83.00
2026-01-04T05:45:00Z,17.00,83.00
2026-01-04T05:47:00Z,17.00,83.00
2026-01-04T05:55:00Z,17.00,83.00
2026-01-04T06:00:00Z,17.00,84.00
2026-01-04T06:04:00Z,17.00,84.00
2026-01-04T06:06:00Z,17.00,84.00
2026-01-04T06:16:00Z,17.00,84.00
2026-01-04T06:17:00Z,17.00,84.00
2026-01-04T06:22:00Z,17.00,84.00
2026-01-04T06:25:00Z,18.00,84.00
2026-01-04T06:27:00Z,18.00,84.00
2026-01-04T06:30:00Z,17.00,84.00
2026-01-04T06:32:00Z,17.00,84.00
2026-01-04T06:34:00Z,17.87,84.00
2026-01-04T06:44:00Z,18.00,84.00
2026-01-04T06:45:00Z,18.00,84.00
2026-01-04T06:46:00Z,18.00,84.00
2026-01-04T06:47:00Z,18.24,84.00
2026-01-04T07:14:00Z,18.00,84.00
2026-01-04T07:21:00Z,18.00,84.00
2026-01-04T07:22:00Z,18.00,84.00
