# event_ticker=KXATPMATCH-26JAN12FEAHAL
# final_score=6-3 6-4
# score_resolution=3-6 4-6
# match_winner=Quentin Halys
# fav_player=Jacob Fearnley
# dog_player=Quentin Halys
# kalshi_date=2026-01-12
timestamp,Jacob Fearnley,Quentin Halys
2026-01-12T16:20:00Z,42.00,
2026-01-12T17:18:00Z,42.00,59.00
2026-01-12T18:06:00Z,42.00,59.00
2026-01-12T18:14:00Z,42.00,59.00
2026-01-12T19:28:00Z,41.00,59.00
2026-01-12T21:01:00Z,41.00,59.00
2026-01-12T21:46:00Z,42.00,59.00
2026-01-12T23:35:00Z,42.00,58.00
2026-01-12T23:36:00Z,42.00,58.00
2026-01-13T00:26:00Z,42.00,58.00
2026-01-13T00:31:00Z,43.18,58.00
2026-01-13T01:14:00Z,43.18,58.00
2026-01-13T01:28:00Z,43.18,58.00
2026-01-13T01:45:00Z,43.18,58.00
2026-01-13T01:58:00Z,43.18,58.00
2026-01-13T02:00:00Z,43.18,58.00
2026-01-13T02:07:00Z,43.00,58.00
2026-01-13T02:17:00Z,43.00,57.00
2026-01-13T02:18:00Z,43.00,57.00
2026-01-13T02:24:00Z,43.00,57.67
2026-01-13T02:25:00Z,44.00,58.00
2026-01-13T02:27:00Z,44.00,58.00
2026-01-13T02:32:00Z,44.00,58.00
2026-01-13T02:34:00Z,44.00,58.00
2026-01-13T02:35:00Z,44.00,58.00
2026-01-13T02:43:00Z,44.00,58.00
2026-01-13T02:45:00Z,44.52,58.00
2026-01-13T02:46:00Z,45.00,58.00
2026-01-13T02:47:00Z,45.00,58.00
2026-01-13T02:48:00Z,45.00,55.09
2026-01-13T02:49:00Z,47.25,54.54
2026-01-13T02:50:00Z,50.00,60.00
2026-01-13T02:51:00Z,50.00,49.00
2026-01-13T02:52:00Z,62.48,37.24
2026-01-13T02:53:00Z,58.00,45.31
2026-01-13T02:54:00Z,56.43,46.95
2026-01-13T02:55:00Z,47.49,56.23
