# event_ticker=KXATPMATCH-26MAR20TSIDE
# final_score=6-3 7-6(3)
# score_resolution=3-6 6-7
# match_winner=Stefanos Tsitsipas
# fav_player=Alex de Minaur
# dog_player=Stefanos Tsitsipas
# kalshi_date=2026-03-20
timestamp,Alex de Minaur,Stefanos Tsitsipas
2026-03-20T13:14:00Z,,33.00
2026-03-20T13:15:00Z,,33.00
2026-03-20T13:18:00Z,68.00,34.00
2026-03-20T13:20:00Z,68.00,34.00
2026-03-20T13:23:00Z,68.00,34.00
2026-03-20T13:25:00Z,68.00,34.00
2026-03-20T13:26:00Z,68.00,34.00
2026-03-20T13:31:00Z,68.00,34.00
2026-03-20T13:34:00Z,68.00,34.00
2026-03-20T13:35:00Z,68.00,34.00
2026-03-20T13:46:00Z,67.00,34.00
2026-03-20T13:49:00Z,65.00,34.00
2026-03-20T13:53:00Z,67.00,34.00
2026-03-20T13:55:00Z,67.00,34.00
2026-03-20T13:56:00Z,67.00,34.22
2026-03-20T13:58:00Z,67.00,34.22
2026-03-20T14:01:00Z,67.00,35.00
2026-03-20T14:15:00Z,67.00,35.00
2026-03-20T14:22:00Z,67.00,35.00
2026-03-20T14:23:00Z,67.00,35.00
2026-03-20T14:28:00Z,67.00,35.00
2026-03-20T14:30:00Z,67.00,35.00
2026-03-20T14:31:00Z,67.00,35.00
2026-03-20T14:33:00Z,67.00,35.00
2026-03-20T14:39:00Z,67.00,35.00
2026-03-20T14:44:00Z,67.00,35.00
2026-03-20T14:50:00Z,67.00,35.00
2026-03-20T14:51:00Z,67.00,35.00
2026-03-20T14:53:00Z,67.00,35.00
2026-03-20T15:02:00Z,67.00,35.00
2026-03-20T15:05:00Z,67.00,35.00
2026-03-20T15:12:00Z,67.00,35.00
2026-03-20T15:15:00Z,67.00,35.00
2026-03-20T15:18:00Z,67.00,35.00
2026-03-20T15:20:00Z,67.00,35.00
2026-03-20T15:26:00Z,67.00,35.00
2026-03-20T15:28:00Z,67.00,35.00
2026-03-20T15:34:00Z,67.00,35.00
2026-03-20T15:46:00Z,67.00,35.00
2026-03-20T15:49:00Z,67.00,35.00
2026-03-20T16:07:00Z,67.00,35.00
2026-03-20T16:08:00Z,67.00,35.00
