# event_ticker=KXATPCHALLENGERMATCH-26APR01ALUMEJ
# final_score=6-0 6-2
# score_resolution=0-6 2-6
# match_winner=Nicolas Mejia
# fav_player=Rodrigo Alujas
# dog_player=Nicolas Mejia
# kalshi_date=2026-04-01
timestamp,Rodrigo Alujas,Nicolas Mejia
2026-04-02T16:30:00Z,9.00,
2026-04-02T17:13:00Z,9.00,
2026-04-02T17:19:00Z,9.00,92.00
2026-04-02T18:29:00Z,9.00,92.00
2026-04-02T19:09:00Z,9.00,92.00
2026-04-02T19:11:00Z,9.00,92.00
2026-04-02T19:24:00Z,9.00,92.00
2026-04-02T19:27:00Z,9.00,92.00
2026-04-02T19:37:00Z,9.00,92.00
2026-04-02T19:38:00Z,9.00,92.00
2026-04-02T20:07:00Z,9.00,92.00
2026-04-02T20:13:00Z,9.00,93.00
2026-04-02T20:16:00Z,9.00,93.00
2026-04-02T20:21:00Z,9.00,93.00
2026-04-02T20:31:00Z,9.00,93.00
2026-04-02T20:33:00Z,9.00,93.00
2026-04-02T20:40:00Z,9.00,93.00
2026-04-02T20:44:00Z,9.00,93.00
2026-04-02T20:46:00Z,9.00,93.00
2026-04-02T20:50:00Z,9.00,92.00
2026-04-02T21:12:00Z,9.00,92.00
2026-04-02T21:31:00Z,9.00,92.00
2026-04-02T21:33:00Z,9.00,92.00
2026-04-02T21:38:00Z,9.00,92.00
2026-04-02T21:44:00Z,9.00,93.00
2026-04-02T21:45:00Z,9.00,93.00
2026-04-02T21:52:00Z,9.00,93.00
2026-04-02T22:08:00Z,9.00,93.00
2026-04-02T22:13:00Z,9.00,93.00
2026-04-02T22:20:00Z,9.00,93.00
2026-04-02T22:29:00Z,9.00,93.00
2026-04-02T22:37:00Z,9.00,93.00
2026-04-02T22:41:00Z,9.00,92.00
2026-04-02T22:44:00Z,8.41,93.00
2026-04-02T22:45:00Z,8.00,93.00
2026-04-02T22:54:00Z,8.00,92.00
2026-04-02T22:57:00Z,8.00,92.00
2026-04-02T22:59:00Z,8.00,92.00
2026-04-02T23:01:00Z,8.00,92.00
2026-04-02T23:02:00Z,8.00,93.00
2026-04-02T23:07:00Z,8.00,93.00
2026-04-02T23:11:00Z,8.00,93.00
2026-04-02T23:14:00Z,8.00,93.00
2026-04-02T23:16:00Z,8.00,93.00
2026-04-02T23:24:00Z,7.00,93.00
2026-04-02T23:28:00Z,8.00,93.00
2026-04-02T23:29:00Z,8.00,93.00
2026-04-02T23:30:00Z,8.00,93.00
2026-04-02T23:34:00Z,8.00,93.00
2026-04-02T23:42:00Z,8.00,93.00
2026-04-02T23:43:00Z,8.00,93.00
2026-04-02T23:49:00Z,8.00,93.00
2026-04-02T23:50:00Z,8.00,93.00
2026-04-02T23:51:00Z,8.00,93.00
2026-04-03T00:00:00Z,8.00,93.00
2026-04-03T00:02:00Z,8.00,93.00
2026-04-03T00:05:00Z,8.00,93.00
2026-04-03T00:07:00Z,8.00,93.00
2026-04-03T00:09:00Z,8.00,93.00
2026-04-03T00:13:00Z,8.00,93.00
