# event_ticker=KXATPCHALLENGERMATCH-26FEB16GOJMEN
# final_score=6-7(7) 6-4 7-6(5)
# score_resolution=6-7 6-4 7-6
# match_winner=Borna Gojo
# fav_player=Borna Gojo
# dog_player=Facundo Mena
# kalshi_date=2026-02-16
timestamp,Borna Gojo,Facundo Mena
2026-02-16T12:54:00Z,72.00,
2026-02-16T13:15:00Z,72.00,86.00
2026-02-16T14:46:00Z,72.00,85.00
2026-02-16T15:05:00Z,77.00,85.00
2026-02-16T15:31:00Z,85.00,85.00
2026-02-16T15:32:00Z,85.00,21.00
2026-02-16T16:00:00Z,85.00,23.00
2026-02-16T16:33:00Z,85.00,28.00
2026-02-16T17:15:00Z,82.00,28.00
2026-02-16T17:44:00Z,82.00,27.00
2026-02-16T17:47:00Z,82.00,27.00
2026-02-16T17:56:00Z,84.00,27.00
2026-02-16T18:00:00Z,84.00,21.00
2026-02-16T18:06:00Z,84.00,21.85
2026-02-16T18:17:00Z,84.00,21.00
2026-02-16T18:28:00Z,76.00,21.00
2026-02-16T18:29:00Z,76.00,21.00
2026-02-16T18:31:00Z,82.50,22.80
2026-02-16T18:33:00Z,86.73,16.27
2026-02-16T18:34:00Z,86.73,14.00
2026-02-16T18:35:00Z,86.73,13.03
2026-02-16T18:36:00Z,89.00,13.44
2026-02-16T18:37:00Z,82.56,16.62
2026-02-16T18:38:00Z,81.00,20.96
2026-02-16T18:39:00Z,78.31,21.84
2026-02-16T18:40:00Z,80.40,20.74
2026-02-16T18:41:00Z,82.00,20.30
2026-02-16T18:42:00Z,82.00,18.52
2026-02-16T18:43:00Z,81.00,20.92
2026-02-16T18:44:00Z,80.00,19.00
2026-02-16T18:45:00Z,80.91,21.25
2026-02-16T18:46:00Z,81.80,21.25
2026-02-16T18:47:00Z,82.00,20.00
2026-02-16T18:48:00Z,81.75,20.00
2026-02-16T18:49:00Z,81.59,20.42
2026-02-16T18:50:00Z,80.00,21.00
2026-02-16T18:51:00Z,77.87,24.03
2026-02-16T18:52:00Z,78.44,23.47
2026-02-16T18:53:00Z,80.92,21.95
