# event_ticker=KXATPCHALLENGERMATCH-26MAR23WENZHO
# final_score=6-1 4-6 6-1
# score_resolution=1-6 6-4 1-6
# match_winner=Harry Wendelken
# fav_player=Yi Zhou
# dog_player=Harry Wendelken
# kalshi_date=2026-03-23
timestamp,Yi Zhou,Harry Wendelken
2026-03-23T13:27:00Z,57.00,
2026-03-23T13:54:00Z,57.00,45.00
2026-03-23T13:56:00Z,57.00,45.00
2026-03-23T14:49:00Z,57.00,45.00
2026-03-23T15:24:00Z,57.00,44.00
2026-03-23T15:38:00Z,59.00,44.00
2026-03-23T16:16:00Z,58.26,44.00
2026-03-23T16:19:00Z,59.00,44.00
2026-03-23T16:44:00Z,58.00,44.00
2026-03-23T16:48:00Z,57.00,44.00
2026-03-23T18:40:00Z,58.00,44.00
2026-03-23T19:22:00Z,58.00,42.00
2026-03-23T20:40:00Z,58.00,42.00
2026-03-23T22:20:00Z,58.00,42.00
2026-03-23T23:07:00Z,58.00,42.00
2026-03-23T23:15:00Z,58.00,43.00
2026-03-23T23:29:00Z,58.00,43.00
2026-03-23T23:49:00Z,58.00,43.00
2026-03-24T00:09:00Z,58.00,41.00
2026-03-24T00:11:00Z,58.00,41.00
2026-03-24T00:12:00Z,58.00,41.00
2026-03-24T00:17:00Z,58.00,42.00
2026-03-24T00:21:00Z,58.00,42.00
2026-03-24T00:29:00Z,58.00,42.00
2026-03-24T00:30:00Z,58.00,42.00
2026-03-24T00:31:00Z,58.00,42.00
2026-03-24T00:36:00Z,58.00,42.00
2026-03-24T00:46:00Z,57.00,42.00
2026-03-24T01:05:00Z,59.00,42.00
2026-03-24T01:10:00Z,61.00,39.30
2026-03-24T01:11:00Z,54.32,45.04
2026-03-24T01:12:00Z,51.61,46.63
2026-03-24T01:13:00Z,48.00,55.90
2026-03-24T01:14:00Z,42.00,55.90
2026-03-24T01:15:00Z,44.60,59.00
2026-03-24T01:16:00Z,44.60,59.12
2026-03-24T01:17:00Z,39.92,61.50
2026-03-24T01:18:00Z,38.01,62.00
2026-03-24T01:19:00Z,42.64,58.18
2026-03-24T01:20:00Z,42.97,58.18
2026-03-24T01:21:00Z,40.00,58.02
2026-03-24T01:22:00Z,40.00,55.00
2026-03-24T01:24:00Z,42.64,61.00
2026-03-24T01:25:00Z,37.95,60.25
2026-03-24T01:26:00Z,34.00,67.04
2026-03-24T01:27:00Z,26.00,73.00
2026-03-24T01:28:00Z,26.00,74.15
2026-03-24T01:29:00Z,30.36,71.12
2026-03-24T01:30:00Z,27.89,75.53
2026-03-24T01:31:00Z,21.17,79.00
2026-03-24T01:32:00Z,22.21,77.74
2026-03-24T01:33:00Z,23.00,77.74
2026-03-24T01:34:00Z,21.00,80.50
2026-03-24T01:35:00Z,19.17,82.00
2026-03-24T01:36:00Z,19.03,81.97
2026-03-24T01:37:00Z,25.00,79.00
2026-03-24T01:38:00Z,24.40,77.00
2026-03-24T01:39:00Z,24.43,81.95
2026-03-24T01:40:00Z,20.14,80.65
2026-03-24T01:41:00Z,21.29,80.93
2026-03-24T01:42:00Z,23.69,75.57
2026-03-24T01:43:00Z,22.40,77.94
2026-03-24T01:44:00Z,22.61,77.39
2026-03-24T01:45:00Z,23.72,79.61
2026-03-24T01:46:00Z,19.00,81.00
2026-03-24T01:47:00Z,19.00,81.00
2026-03-24T01:48:00Z,22.10,79.00
2026-03-24T01:49:00Z,25.15,75.36
2026-03-24T01:51:00Z,22.00,79.99
2026-03-24T01:52:00Z,21.00,79.95
2026-03-24T01:53:00Z,21.11,80.00
2026-03-24T01:54:00Z,23.97,76.95
2026-03-24T01:55:00Z,24.51,75.01
2026-03-24T01:56:00Z,24.51,75.67
2026-03-24T01:57:00Z,24.00,75.00
2026-03-24T01:58:00Z,25.00,77.06
2026-03-24T01:59:00Z,23.00,77.00
2026-03-24T02:00:00Z,22.00,79.00
2026-03-24T02:01:00Z,22.18,78.33
2026-03-24T02:02:00Z,27.00,76.00
2026-03-24T02:03:00Z,26.25,74.95
2026-03-24T02:04:00Z,28.00,73.68
2026-03-24T02:05:00Z,28.00,78.48
2026-03-24T02:06:00Z,23.40,77.60
2026-03-24T02:07:00Z,22.94,78.84
2026-03-24T02:08:00Z,22.00,79.00
2026-03-24T02:09:00Z,20.26,80.73
2026-03-24T02:10:00Z,21.00,84.43
2026-03-24T02:11:00Z,17.64,82.97
2026-03-24T02:12:00Z,22.32,85.31
2026-03-24T02:13:00Z,20.86,80.00
2026-03-24T02:14:00Z,15.02,85.29
2026-03-24T02:15:00Z,20.10,82.76
2026-03-24T02:16:00Z,20.10,80.67
2026-03-24T02:17:00Z,16.47,85.12
2026-03-24T02:18:00Z,18.74,86.45
2026-03-24T02:19:00Z,26.07,75.03
2026-03-24T02:20:00Z,29.00,71.50
2026-03-24T02:21:00Z,31.49,72.35
2026-03-24T02:22:00Z,42.13,59.89
