# event_ticker=KXATPMATCH-25AUG18CORBLA
# final_score=6-4 7-6(5)
# score_resolution=4-6 6-7
# match_winner=Darwin Blanch
# fav_player=Borna Coric
# dog_player=Darwin Blanch
# kalshi_date=2025-08-18
timestamp,Borna Coric,Darwin Blanch
2025-08-18T12:58:00Z,,38.00
2025-08-18T14:09:00Z,63.00,38.00
2025-08-18T14:13:00Z,63.00,39.00
2025-08-18T14:14:00Z,63.00,39.00
2025-08-18T14:17:00Z,62.00,39.00
2025-08-18T14:29:00Z,62.00,39.00
2025-08-18T14:36:00Z,62.00,39.00
2025-08-18T14:38:00Z,62.00,39.00
2025-08-18T14:50:00Z,62.00,39.00
2025-08-18T14:52:00Z,62.00,39.00
2025-08-18T14:54:00Z,62.00,39.00
2025-08-18T15:33:00Z,62.00,41.00
2025-08-18T15:41:00Z,62.00,41.00
2025-08-18T15:43:00Z,60.01,41.00
2025-08-18T15:48:00Z,61.00,41.00
2025-08-18T16:01:00Z,60.00,41.00
2025-08-18T16:31:00Z,60.00,41.00
2025-08-18T16:51:00Z,60.00,41.00
2025-08-18T16:53:00Z,60.00,41.00
2025-08-18T16:55:00Z,60.00,41.00
2025-08-18T16:57:00Z,60.00,42.00
2025-08-18T17:00:00Z,60.00,42.00
2025-08-18T17:03:00Z,60.00,42.00
2025-08-18T17:05:00Z,60.00,42.00
2025-08-18T17:11:00Z,60.00,40.00
2025-08-18T17:28:00Z,60.00,40.00
2025-08-18T17:31:00Z,60.00,40.00
2025-08-18T17:39:00Z,60.00,42.00
2025-08-18T17:43:00Z,60.00,42.00
2025-08-18T17:45:00Z,60.00,42.00
2025-08-18T17:46:00Z,60.00,42.00
2025-08-18T17:52:00Z,60.00,42.00
2025-08-18T17:54:00Z,60.00,42.00
2025-08-18T18:05:00Z,60.00,41.00
2025-08-18T18:07:00Z,59.00,41.00
2025-08-18T18:08:00Z,59.00,42.56
2025-08-18T18:09:00Z,59.00,38.00
2025-08-18T18:10:00Z,65.00,38.00
2025-08-18T18:11:00Z,65.00,43.00
2025-08-18T18:12:00Z,61.80,37.00
2025-08-18T18:13:00Z,61.80,42.34
2025-08-18T18:15:00Z,60.66,42.34
2025-08-18T18:18:00Z,57.00,44.00
2025-08-18T18:19:00Z,60.91,44.00
2025-08-18T18:20:00Z,61.00,43.00
2025-08-18T18:21:00Z,59.00,43.00
2025-08-18T18:22:00Z,59.00,45.00
2025-08-18T18:25:00Z,61.35,43.00
2025-08-18T18:26:00Z,60.49,45.00
2025-08-18T18:28:00Z,60.49,45.00
2025-08-18T18:29:00Z,60.49,49.00
2025-08-18T18:30:00Z,48.08,52.41
2025-08-18T18:31:00Z,53.00,52.00
2025-08-18T18:32:00Z,49.37,52.61
2025-08-18T18:36:00Z,59.50,52.61
2025-08-18T18:40:00Z,59.50,48.00
2025-08-18T18:41:00Z,54.41,48.00
2025-08-18T18:42:00Z,54.41,53.00
2025-08-18T18:43:00Z,54.41,48.00
2025-08-18T18:47:00Z,63.85,37.61
2025-08-18T18:49:00Z,55.00,46.50
2025-08-18T18:52:00Z,50.00,46.50
2025-08-18T18:53:00Z,42.93,54.06
2025-08-18T18:54:00Z,34.00,66.99
2025-08-18T18:55:00Z,27.00,71.35
2025-08-18T18:56:00Z,27.00,74.00
