# event_ticker=KXATPCHALLENGERMATCH-26MAY26MAYBUT
# final_score=7-6(3) 7-6(4)
# score_resolution=6-7 6-7
# match_winner=Aidan Mayo
# fav_player=Edas Butvilas
# dog_player=Aidan Mayo
# kalshi_date=2026-05-26
timestamp,Aidan Mayo,Edas Butvilas
2026-05-26T10:44:00Z,24.00,
2026-05-26T11:02:00Z,24.00,
2026-05-26T11:46:00Z,26.00,75.00
2026-05-26T11:47:00Z,26.00,75.00
2026-05-26T11:49:00Z,26.00,74.00
2026-05-26T12:00:00Z,26.00,74.00
2026-05-26T12:29:00Z,26.00,74.00
2026-05-26T12:46:00Z,26.00,73.00
2026-05-26T14:05:00Z,26.00,73.00
2026-05-26T14:22:00Z,26.00,73.00
2026-05-26T15:10:00Z,26.00,73.00
2026-05-26T15:12:00Z,27.77,73.00
2026-05-26T15:59:00Z,27.77,73.00
2026-05-26T16:50:00Z,27.77,73.00
2026-05-26T16:51:00Z,27.77,73.00
2026-05-26T17:33:00Z,29.00,73.00
2026-05-26T17:57:00Z,29.00,73.00
2026-05-26T18:33:00Z,29.00,73.00
2026-05-26T18:35:00Z,29.00,73.00
2026-05-26T18:36:00Z,29.00,73.00
2026-05-26T18:40:00Z,29.00,73.00
2026-05-26T18:41:00Z,29.00,73.00
2026-05-26T18:46:00Z,29.00,74.00
2026-05-26T18:54:00Z,29.00,74.00
2026-05-26T19:13:00Z,29.00,72.54
2026-05-26T19:15:00Z,29.00,74.00
2026-05-26T19:20:00Z,29.00,74.00
2026-05-26T19:22:00Z,29.00,74.00
2026-05-26T19:28:00Z,29.00,71.53
2026-05-26T19:33:00Z,29.00,71.53
2026-05-26T19:40:00Z,29.00,74.00
2026-05-26T19:44:00Z,28.00,74.00
2026-05-26T19:49:00Z,28.00,74.00
2026-05-26T19:52:00Z,28.00,74.00
2026-05-26T19:55:00Z,28.00,74.00
2026-05-26T19:58:00Z,28.00,74.00
2026-05-26T19:59:00Z,28.00,74.00
2026-05-26T20:01:00Z,28.62,74.00
2026-05-26T20:02:00Z,29.00,74.00
2026-05-26T20:04:00Z,29.00,73.00
2026-05-26T20:05:00Z,29.00,73.00
2026-05-26T20:06:00Z,27.00,73.00
2026-05-26T20:11:00Z,27.00,73.00
2026-05-26T20:12:00Z,27.00,73.00
2026-05-26T20:13:00Z,29.08,71.00
2026-05-26T20:14:00Z,29.08,72.00
2026-05-26T20:15:00Z,29.69,72.71
2026-05-26T20:16:00Z,29.33,72.00
2026-05-26T20:17:00Z,31.49,68.48
2026-05-26T20:18:00Z,37.54,64.97
2026-05-26T20:19:00Z,35.20,65.49
2026-05-26T20:20:00Z,37.35,64.90
2026-05-26T20:21:00Z,44.22,57.10
2026-05-26T20:22:00Z,48.04,51.92
2026-05-26T20:23:00Z,52.69,50.36
2026-05-26T20:24:00Z,51.92,51.28
2026-05-26T20:25:00Z,50.54,49.61
2026-05-26T20:26:00Z,52.76,49.00
2026-05-26T20:27:00Z,52.68,49.36
2026-05-26T20:28:00Z,49.98,50.15
2026-05-26T20:29:00Z,52.89,50.84
2026-05-26T20:30:00Z,50.50,50.76
2026-05-26T20:31:00Z,47.79,55.04
