# event_ticker=KXATPCHALLENGERMATCH-26MAY05LOCVAS
# final_score=6-1 1-0 RET
# match_winner=Iiro Vasa
# fav_player=Courtney John Lock
# dog_player=Iiro Vasa
# kalshi_date=2026-05-05
timestamp,Courtney John Lock,Iiro Vasa
2026-05-05T06:39:00Z,,80.00
2026-05-05T09:35:00Z,,85.00
2026-05-05T09:48:00Z,,86.50
2026-05-05T10:40:00Z,10.00,92.83
2026-05-05T10:58:00Z,6.00,92.83
2026-05-05T11:01:00Z,8.00,92.83
2026-05-05T11:23:00Z,8.00,92.83
2026-05-05T12:05:00Z,9.00,92.83
2026-05-05T12:56:00Z,9.00,94.00
2026-05-05T13:00:00Z,9.00,94.00
2026-05-05T13:29:00Z,9.00,94.00
2026-05-05T14:07:00Z,8.00,94.00
2026-05-05T14:27:00Z,8.00,93.00
2026-05-05T14:36:00Z,7.00,93.00
2026-05-05T14:48:00Z,7.00,93.00
2026-05-05T15:05:00Z,7.00,93.00
2026-05-05T15:06:00Z,7.00,93.00
2026-05-05T15:13:00Z,7.00,93.00
2026-05-05T15:15:00Z,7.00,93.00
2026-05-05T15:26:00Z,7.00,93.00
2026-05-05T15:31:00Z,7.00,93.00
2026-05-05T15:33:00Z,7.00,93.00
2026-05-05T15:38:00Z,7.00,93.00
2026-05-05T15:39:00Z,7.00,93.00
2026-05-05T15:40:00Z,7.00,95.00
2026-05-05T15:46:00Z,6.00,95.00
2026-05-05T15:48:00Z,6.00,95.00
2026-05-05T15:49:00Z,6.00,95.00
2026-05-05T15:52:00Z,6.00,95.00
2026-05-05T15:58:00Z,6.00,95.00
2026-05-05T16:00:00Z,6.44,95.00
2026-05-05T16:02:00Z,6.00,95.00
2026-05-05T16:04:00Z,6.70,95.00
2026-05-05T16:10:00Z,6.00,95.00
2026-05-05T16:11:00Z,6.00,95.00
2026-05-05T16:12:00Z,6.00,95.00
2026-05-05T16:13:00Z,6.00,95.00
2026-05-05T16:14:00Z,6.12,94.00
2026-05-05T16:15:00Z,7.00,94.00
2026-05-05T16:16:00Z,6.00,94.00
2026-05-05T16:17:00Z,5.60,95.00
2026-05-05T16:18:00Z,3.87,96.23
2026-05-05T16:19:00Z,2.98,96.23
2026-05-05T16:20:00Z,2.29,98.00
2026-05-05T16:21:00Z,2.00,98.00
2026-05-05T16:22:00Z,2.00,98.00
2026-05-05T16:23:00Z,2.00,98.00
2026-05-05T16:24:00Z,1.99,98.00
2026-05-05T16:25:00Z,3.00,98.00
2026-05-05T16:26:00Z,3.00,98.00
2026-05-05T16:27:00Z,3.00,98.00
2026-05-05T16:28:00Z,3.00,98.00
2026-05-05T16:29:00Z,2.04,98.00
2026-05-05T16:30:00Z,3.00,98.00
2026-05-05T16:31:00Z,3.00,98.00
2026-05-05T16:32:00Z,3.00,98.00
2026-05-05T16:33:00Z,3.00,98.00
2026-05-05T16:34:00Z,2.31,98.00
2026-05-05T16:35:00Z,3.00,98.00
2026-05-05T16:36:00Z,3.00,98.00
2026-05-05T16:37:00Z,1.01,98.00
2026-05-05T16:38:00Z,2.00,98.00
2026-05-05T16:39:00Z,2.00,98.00
2026-05-05T16:40:00Z,2.00,98.00
2026-05-05T16:41:00Z,2.00,98.00
2026-05-05T16:42:00Z,2.00,99.00
2026-05-05T16:43:00Z,2.00,98.44
2026-05-05T16:44:00Z,2.00,98.00
2026-05-05T16:45:00Z,3.00,98.00
2026-05-05T16:46:00Z,2.99,98.00
2026-05-05T16:47:00Z,1.59,99.00
2026-05-05T16:48:00Z,1.00,99.00
