# event_ticker=KXATPCHALLENGERMATCH-26APR26ONCSTE
# final_score=7-6(5) 7-6(2)
# score_resolution=7-6 7-6
# match_winner=Gauthier Onclin
# fav_player=Gauthier Onclin
# dog_player=Hamish Stewart
# kalshi_date=2026-04-26
timestamp,Gauthier Onclin,Hamish Stewart
2026-04-26T07:40:00Z,,28.00
2026-04-26T08:04:00Z,73.00,28.00
2026-04-26T08:05:00Z,73.00,28.00
2026-04-26T10:26:00Z,73.00,28.00
2026-04-26T10:33:00Z,73.00,28.00
2026-04-26T12:26:00Z,73.00,28.00
2026-04-26T12:35:00Z,73.00,28.00
2026-04-26T12:56:00Z,73.00,28.00
2026-04-26T12:57:00Z,74.00,28.00
2026-04-26T13:16:00Z,75.00,28.00
2026-04-26T13:31:00Z,75.00,28.00
2026-04-26T14:56:00Z,75.00,28.00
2026-04-26T15:02:00Z,75.00,28.00
2026-04-26T15:09:00Z,75.00,28.00
2026-04-26T15:40:00Z,74.00,26.00
2026-04-26T15:43:00Z,74.00,26.00
2026-04-26T15:55:00Z,74.00,26.00
2026-04-26T16:01:00Z,74.00,26.00
2026-04-26T16:22:00Z,74.00,26.00
2026-04-26T16:23:00Z,73.00,26.00
2026-04-26T16:48:00Z,75.00,26.00
2026-04-26T16:52:00Z,75.00,26.00
2026-04-26T16:56:00Z,75.00,26.00
2026-04-26T17:35:00Z,75.00,26.00
2026-04-26T17:55:00Z,75.00,26.00
2026-04-26T18:01:00Z,74.00,26.00
2026-04-26T18:22:00Z,74.00,27.00
2026-04-26T18:23:00Z,74.00,27.00
2026-04-26T18:24:00Z,74.00,27.00
2026-04-26T18:28:00Z,73.00,27.00
2026-04-26T18:29:00Z,73.00,27.00
2026-04-26T18:31:00Z,75.00,28.00
2026-04-26T18:37:00Z,75.00,28.00
2026-04-26T18:39:00Z,74.99,28.00
2026-04-26T18:42:00Z,75.00,28.00
2026-04-26T18:43:00Z,75.00,28.00
2026-04-26T18:45:00Z,75.00,28.00
2026-04-26T18:46:00Z,75.00,28.00
2026-04-26T18:48:00Z,75.00,29.00
2026-04-26T18:49:00Z,75.00,29.00
2026-04-26T18:50:00Z,74.21,28.82
2026-04-26T18:51:00Z,72.23,27.63
2026-04-26T18:52:00Z,70.59,29.10
2026-04-26T18:53:00Z,71.00,30.00
2026-04-26T18:54:00Z,71.00,30.00
