# event_ticker=KXATPCHALLENGERMATCH-26FEB23BUTBAL
# final_score=6-0 6-1
# score_resolution=0-6 1-6
# match_winner=Edas Butvilas
# fav_player=Aditya Balsekar
# dog_player=Edas Butvilas
# kalshi_date=2026-02-23
timestamp,Aditya Balsekar,Edas Butvilas
2026-02-23T18:01:00Z,45.00,85.00
2026-02-23T18:35:00Z,45.00,83.90
2026-02-23T18:36:00Z,45.00,89.57
2026-02-23T18:38:00Z,45.00,87.39
2026-02-23T18:39:00Z,45.00,90.00
2026-02-23T18:40:00Z,45.00,90.85
2026-02-23T18:44:00Z,45.00,92.00
2026-02-23T19:34:00Z,45.00,92.00
2026-02-23T19:44:00Z,45.00,85.00
2026-02-23T20:38:00Z,45.00,85.00
2026-02-23T20:41:00Z,45.00,90.90
2026-02-23T21:40:00Z,45.00,93.00
2026-02-23T21:41:00Z,45.00,93.00
2026-02-23T21:56:00Z,45.00,93.00
2026-02-23T22:14:00Z,45.00,93.57
2026-02-23T22:23:00Z,45.00,94.00
2026-02-23T22:29:00Z,45.00,85.93
2026-02-23T22:35:00Z,66.00,85.93
2026-02-23T22:50:00Z,16.00,85.93
2026-02-23T23:00:00Z,16.00,95.00
2026-02-23T23:15:00Z,16.00,95.00
2026-02-23T23:25:00Z,16.00,95.00
2026-02-23T23:26:00Z,16.00,95.00
2026-02-23T23:51:00Z,5.00,95.00
2026-02-23T23:52:00Z,4.00,96.00
2026-02-23T23:53:00Z,3.99,95.73
2026-02-24T00:01:00Z,3.98,95.73
2026-02-24T00:02:00Z,4.48,95.73
2026-02-24T00:03:00Z,5.00,95.73
2026-02-24T00:08:00Z,5.00,95.73
2026-02-24T00:10:00Z,5.00,95.73
2026-02-24T00:14:00Z,3.00,95.73
2026-02-24T00:23:00Z,3.00,97.00
2026-02-24T00:31:00Z,3.00,97.00
2026-02-24T00:33:00Z,5.04,97.00
2026-02-24T00:35:00Z,5.00,97.00
2026-02-24T00:41:00Z,5.01,97.00
2026-02-24T00:57:00Z,5.00,97.00
2026-02-24T01:02:00Z,5.04,97.00
2026-02-24T01:03:00Z,5.00,97.00
2026-02-24T01:05:00Z,5.66,97.00
2026-02-24T01:10:00Z,5.74,97.00
2026-02-24T01:15:00Z,6.00,97.00
2026-02-24T01:19:00Z,6.00,96.00
2026-02-24T01:23:00Z,6.00,96.00
2026-02-24T01:28:00Z,6.00,96.00
2026-02-24T01:30:00Z,6.00,97.00
2026-02-24T01:31:00Z,6.00,96.00
2026-02-24T01:36:00Z,6.00,96.00
2026-02-24T01:38:00Z,6.00,96.00
2026-02-24T01:44:00Z,6.00,96.00
2026-02-24T01:46:00Z,4.00,96.00
2026-02-24T01:51:00Z,6.00,96.00
2026-02-24T01:55:00Z,6.00,96.00
2026-02-24T01:58:00Z,6.00,96.00
2026-02-24T01:59:00Z,6.00,96.00
2026-02-24T02:04:00Z,4.00,96.00
2026-02-24T02:06:00Z,6.00,96.00
2026-02-24T02:12:00Z,6.00,96.00
