# event_ticker=KXATPCHALLENGERMATCH-26MAY12SMITAG
# final_score=6-1 6-4
# match_winner=Keegan Smith
# fav_player=Keegan Smith
# dog_player=Ryotaro Taguchi
# kalshi_date=2026-05-12
timestamp,Keegan Smith,Ryotaro Taguchi
2026-05-12T03:08:00Z,85.00,
2026-05-12T06:18:00Z,85.00,
2026-05-12T06:55:00Z,85.00,16.00
2026-05-12T06:56:00Z,85.00,16.09
2026-05-12T07:53:00Z,85.00,16.09
2026-05-12T10:09:00Z,84.00,17.00
2026-05-12T10:45:00Z,84.00,18.00
2026-05-12T11:36:00Z,83.63,18.00
2026-05-12T11:41:00Z,84.00,18.00
2026-05-12T11:45:00Z,84.00,17.00
2026-05-12T11:47:00Z,85.00,17.00
2026-05-12T11:48:00Z,88.67,17.00
2026-05-12T11:49:00Z,91.13,17.00
2026-05-12T11:50:00Z,90.70,11.00
2026-05-12T11:54:00Z,93.00,11.00
2026-05-12T11:56:00Z,93.00,11.00
2026-05-12T11:58:00Z,93.00,11.00
2026-05-12T11:59:00Z,94.87,6.00
2026-05-12T12:00:00Z,94.87,6.38
2026-05-12T12:03:00Z,94.87,5.00
2026-05-12T12:05:00Z,96.00,5.00
2026-05-12T12:07:00Z,96.00,5.00
2026-05-12T12:08:00Z,95.00,5.00
2026-05-12T12:09:00Z,94.00,7.00
2026-05-12T12:10:00Z,94.00,6.00
2026-05-12T12:11:00Z,95.00,6.00
2026-05-12T12:12:00Z,96.00,4.00
2026-05-12T12:13:00Z,95.32,4.00
2026-05-12T12:14:00Z,96.06,4.00
2026-05-12T12:15:00Z,96.06,5.00
2026-05-12T12:16:00Z,95.00,6.00
2026-05-12T12:17:00Z,94.00,6.00
2026-05-12T12:21:00Z,94.00,7.00
2026-05-12T12:22:00Z,94.00,7.00
2026-05-12T12:23:00Z,94.00,8.00
2026-05-12T12:24:00Z,94.00,6.04
2026-05-12T12:25:00Z,95.67,5.00
2026-05-12T12:26:00Z,95.74,5.00
2026-05-12T12:27:00Z,94.00,4.01
2026-05-12T12:28:00Z,95.00,7.00
2026-05-12T12:29:00Z,94.00,6.00
2026-05-12T12:30:00Z,96.00,5.00
2026-05-12T12:31:00Z,93.00,8.00
2026-05-12T12:33:00Z,94.00,8.00
2026-05-12T12:35:00Z,98.00,2.01
2026-05-12T12:36:00Z,99.00,1.00
2026-05-12T12:37:00Z,99.00,1.00
