# event_ticker=KXATPCHALLENGERMATCH-26JUN02BAEGUE
# final_score=6-4 6-3
# score_resolution=4-6 3-6
# match_winner=Sebastian Baez
# fav_player=Sascha Gueymard Wayenburg
# dog_player=Sebastian Baez
# kalshi_date=2026-06-02
timestamp,Sebastian Baez,Sascha Gueymard Wayenburg
2026-06-01T21:20:00Z,85.00,
2026-06-01T21:30:00Z,85.00,
2026-06-01T22:15:00Z,84.00,
2026-06-01T23:36:00Z,84.00,
2026-06-01T23:47:00Z,84.00,
2026-06-02T00:00:00Z,84.00,17.00
2026-06-02T00:34:00Z,84.00,17.00
2026-06-02T01:48:00Z,83.00,17.00
2026-06-02T01:57:00Z,83.00,17.00
2026-06-02T02:07:00Z,83.00,18.00
2026-06-02T02:29:00Z,84.00,18.00
2026-06-02T02:44:00Z,84.00,18.00
2026-06-02T02:58:00Z,84.00,18.00
2026-06-02T03:01:00Z,84.00,18.00
2026-06-02T03:27:00Z,84.00,18.00
2026-06-02T03:29:00Z,84.00,18.00
2026-06-02T03:31:00Z,84.00,18.00
2026-06-02T03:32:00Z,84.00,18.00
2026-06-02T03:37:00Z,84.00,18.00
2026-06-02T03:55:00Z,84.00,17.00
2026-06-02T04:20:00Z,84.00,17.00
2026-06-02T04:26:00Z,84.00,17.00
2026-06-02T04:44:00Z,84.00,17.13
2026-06-02T05:06:00Z,84.00,17.13
2026-06-02T05:12:00Z,84.00,17.13
2026-06-02T05:37:00Z,84.00,18.00
2026-06-02T05:40:00Z,83.00,18.00
2026-06-02T05:51:00Z,83.00,18.00
2026-06-02T06:12:00Z,83.00,18.00
2026-06-02T06:14:00Z,83.00,18.00
2026-06-02T06:43:00Z,84.00,18.00
2026-06-02T07:07:00Z,84.00,17.00
2026-06-02T07:16:00Z,84.00,17.00
2026-06-02T07:17:00Z,84.00,17.00
2026-06-02T07:18:00Z,84.00,17.00
2026-06-02T07:47:00Z,84.00,17.00
2026-06-02T07:49:00Z,84.00,17.00
2026-06-02T08:13:00Z,84.00,17.00
2026-06-02T08:36:00Z,84.83,17.00
2026-06-02T08:41:00Z,85.00,16.00
2026-06-02T08:42:00Z,85.00,17.00
2026-06-02T08:43:00Z,85.00,16.00
2026-06-02T08:44:00Z,83.00,18.00
2026-06-02T08:45:00Z,80.00,20.72
2026-06-02T08:46:00Z,78.09,20.12
2026-06-02T08:47:00Z,72.00,30.62
2026-06-02T08:48:00Z,67.00,32.88
2026-06-02T08:49:00Z,68.00,34.21
2026-06-02T08:50:00Z,68.93,31.67
2026-06-02T08:51:00Z,70.18,31.31
2026-06-02T08:52:00Z,65.63,34.51
2026-06-02T08:53:00Z,68.42,33.44
2026-06-02T08:54:00Z,61.01,39.88
2026-06-02T08:55:00Z,61.00,39.48
2026-06-02T08:56:00Z,64.85,35.15
2026-06-02T08:57:00Z,66.00,35.00
2026-06-02T08:58:00Z,68.50,31.43
2026-06-02T08:59:00Z,69.27,31.65
2026-06-02T09:00:00Z,73.95,27.00
2026-06-02T09:01:00Z,70.52,31.50
2026-06-02T09:02:00Z,68.46,31.11
2026-06-02T09:03:00Z,69.30,33.80
2026-06-02T09:04:00Z,63.44,36.91
2026-06-02T09:05:00Z,63.00,38.00
2026-06-02T09:06:00Z,63.75,37.04
2026-06-02T09:07:00Z,64.11,35.78
2026-06-02T09:08:00Z,65.49,33.86
2026-06-02T09:09:00Z,70.69,27.75
2026-06-02T09:10:00Z,78.00,21.00
2026-06-02T09:11:00Z,79.22,18.61
2026-06-02T09:12:00Z,82.11,17.88
2026-06-02T09:13:00Z,83.40,16.41
2026-06-02T09:14:00Z,85.75,15.45
2026-06-02T09:15:00Z,83.97,15.62
2026-06-02T09:16:00Z,81.52,16.72
2026-06-02T09:17:00Z,81.68,18.11
2026-06-02T09:18:00Z,83.80,16.86
2026-06-02T09:19:00Z,81.84,18.33
2026-06-02T09:20:00Z,90.06,8.05
2026-06-02T09:21:00Z,92.00,7.90
2026-06-02T09:22:00Z,93.00,7.00
2026-06-02T09:23:00Z,89.70,10.05
2026-06-02T09:24:00Z,91.00,7.10
2026-06-02T09:25:00Z,94.00,7.00
2026-06-02T09:27:00Z,94.00,6.98
2026-06-02T09:28:00Z,94.00,5.39
2026-06-02T09:29:00Z,92.00,8.93
2026-06-02T09:30:00Z,90.24,9.91
2026-06-02T09:31:00Z,91.96,9.85
