# event_ticker=KXATPCHALLENGERMATCH-26MAR17AVESMI
# final_score=2-6 6-3 6-3
# score_resolution=6-2 3-6 3-6
# match_winner=Alafia Ayeni
# fav_player=Keegan Smith
# dog_player=Alafia Ayeni
# kalshi_date=2026-03-17
timestamp,Keegan Smith,Alafia Ayeni
2026-03-17T05:12:00Z,80.00,22.00
2026-03-17T05:24:00Z,74.00,22.00
2026-03-17T08:37:00Z,72.00,22.00
2026-03-17T08:42:00Z,72.38,22.00
2026-03-17T08:43:00Z,72.38,29.00
2026-03-17T08:55:00Z,72.38,29.00
2026-03-17T10:01:00Z,73.00,29.00
2026-03-17T10:25:00Z,74.59,27.00
2026-03-17T11:19:00Z,72.00,28.00
2026-03-17T11:20:00Z,72.00,28.00
2026-03-17T11:24:00Z,72.00,28.00
2026-03-17T11:28:00Z,73.00,28.00
2026-03-17T11:35:00Z,73.00,29.00
2026-03-17T11:53:00Z,73.00,29.00
2026-03-17T12:11:00Z,72.00,29.00
2026-03-17T12:25:00Z,72.00,29.00
2026-03-17T12:32:00Z,71.00,29.00
2026-03-17T12:45:00Z,71.00,29.00
2026-03-17T12:54:00Z,71.00,29.00
2026-03-17T13:26:00Z,71.00,29.00
2026-03-17T13:29:00Z,71.00,29.00
2026-03-17T13:33:00Z,72.00,29.00
2026-03-17T13:36:00Z,72.00,29.00
2026-03-17T13:39:00Z,72.00,29.00
2026-03-17T13:52:00Z,72.00,29.00
2026-03-17T14:09:00Z,72.00,30.00
2026-03-17T14:10:00Z,72.00,30.00
2026-03-17T14:25:00Z,72.00,30.00
2026-03-17T14:43:00Z,72.00,30.00
2026-03-17T14:47:00Z,72.00,29.00
2026-03-17T15:02:00Z,71.00,29.00
2026-03-17T15:04:00Z,72.00,29.00
2026-03-17T15:07:00Z,72.00,29.00
2026-03-17T15:08:00Z,72.00,29.00
2026-03-17T15:27:00Z,72.00,30.00
2026-03-17T15:53:00Z,71.00,30.00
2026-03-17T15:55:00Z,71.00,30.00
2026-03-17T16:00:00Z,71.74,30.00
2026-03-17T16:07:00Z,72.00,30.00
2026-03-17T16:10:00Z,72.90,30.00
2026-03-17T16:11:00Z,72.00,30.00
2026-03-17T16:14:00Z,72.00,30.00
2026-03-17T16:15:00Z,72.00,28.99
2026-03-17T16:16:00Z,74.00,26.11
2026-03-17T16:17:00Z,74.00,27.00
2026-03-17T16:18:00Z,73.29,26.32
2026-03-17T16:19:00Z,82.52,19.51
2026-03-17T16:20:00Z,83.01,15.38
2026-03-17T16:21:00Z,83.48,17.00
2026-03-17T16:22:00Z,83.83,15.70
2026-03-17T16:23:00Z,83.00,16.00
2026-03-17T16:24:00Z,83.00,17.00
2026-03-17T16:25:00Z,78.19,21.99
2026-03-17T16:26:00Z,79.74,22.98
2026-03-17T16:27:00Z,81.34,19.00
2026-03-17T16:28:00Z,82.42,19.00
2026-03-17T16:30:00Z,71.73,27.07
2026-03-17T16:32:00Z,71.00,27.07
2026-03-17T16:34:00Z,82.37,20.75
2026-03-17T16:35:00Z,84.92,16.00
2026-03-17T16:36:00Z,84.92,15.00
2026-03-17T16:37:00Z,83.75,17.75
2026-03-17T16:38:00Z,76.32,22.59
2026-03-17T16:39:00Z,79.25,22.59
2026-03-17T16:40:00Z,79.25,21.90
2026-03-17T16:41:00Z,80.00,21.90
2026-03-17T16:42:00Z,84.08,21.90
2026-03-17T16:44:00Z,84.00,21.90
