# event_ticker=KXATPCHALLENGERMATCH-26MAY05DUTMEN
# final_score=7-5 6-2
# score_resolution=5-7 2-6
# match_winner=Facundo Mena
# fav_player=Daniel Dutra Da Silva
# dog_player=Facundo Mena
# kalshi_date=2026-05-05
timestamp,Daniel Dutra Da Silva,Facundo Mena
2026-05-05T18:52:00Z,40.35,59.56
2026-05-05T18:53:00Z,44.12,57.18
2026-05-05T18:54:00Z,47.20,54.03
2026-05-05T18:55:00Z,42.32,60.10
2026-05-05T18:56:00Z,35.70,64.43
2026-05-05T18:57:00Z,32.62,68.59
2026-05-05T18:58:00Z,33.70,69.06
2026-05-05T18:59:00Z,31.96,70.88
2026-05-05T19:00:00Z,31.47,71.68
2026-05-05T19:01:00Z,34.80,67.83
2026-05-05T19:02:00Z,28.74,72.23
2026-05-05T19:03:00Z,30.01,73.45
2026-05-05T19:04:00Z,29.99,74.18
2026-05-05T19:05:00Z,16.60,83.21
2026-05-05T19:06:00Z,17.64,83.47
2026-05-05T19:07:00Z,20.04,84.01
2026-05-05T19:08:00Z,20.76,85.37
2026-05-05T19:09:00Z,18.72,83.03
2026-05-05T19:10:00Z,19.09,82.55
2026-05-05T19:11:00Z,14.82,85.55
2026-05-05T19:12:00Z,13.31,87.54
2026-05-05T19:13:00Z,12.15,88.06
2026-05-05T19:14:00Z,12.32,87.67
2026-05-05T19:15:00Z,11.98,88.25
2026-05-05T19:16:00Z,11.97,88.81
2026-05-05T19:17:00Z,12.03,83.25
2026-05-05T19:18:00Z,12.58,87.81
2026-05-05T19:19:00Z,13.00,87.25
2026-05-05T19:20:00Z,12.78,87.20
2026-05-05T19:21:00Z,14.47,86.97
2026-05-05T19:22:00Z,14.68,86.01
2026-05-05T19:23:00Z,13.51,86.42
2026-05-05T19:24:00Z,12.64,86.10
2026-05-05T19:25:00Z,12.65,87.70
2026-05-05T19:26:00Z,11.39,89.25
2026-05-05T19:27:00Z,10.38,89.96
2026-05-05T19:28:00Z,10.53,90.48
2026-05-05T19:29:00Z,7.10,93.32
2026-05-05T19:30:00Z,8.00,92.34
2026-05-05T19:31:00Z,7.53,92.21
2026-05-05T19:32:00Z,11.61,89.50
2026-05-05T19:33:00Z,13.60,86.46
2026-05-05T19:34:00Z,17.81,83.44
2026-05-05T19:35:00Z,20.56,81.01
2026-05-05T19:36:00Z,17.00,83.83
2026-05-05T19:37:00Z,9.11,92.56
2026-05-05T19:38:00Z,7.72,92.83
2026-05-05T19:39:00Z,7.12,93.58
2026-05-05T19:40:00Z,5.62,95.00
2026-05-05T19:41:00Z,5.15,94.29
2026-05-05T19:42:00Z,4.58,93.85
2026-05-05T19:43:00Z,3.53,95.99
2026-05-05T19:44:00Z,1.57,97.80
2026-05-05T19:45:00Z,2.00,98.23
2026-05-05T19:46:00Z,1.09,98.02
2026-05-05T19:47:00Z,2.00,98.80
2026-05-05T19:48:00Z,2.00,98.79
2026-05-05T19:49:00Z,1.00,99.00
2026-05-05T19:50:00Z,1.00,99.00
2026-05-05T19:51:00Z,1.00,99.00
2026-05-05T19:52:00Z,1.00,99.00
2026-05-05T19:53:00Z,1.00,99.00
2026-05-05T19:54:00Z,1.00,98.55
2026-05-05T19:55:00Z,1.00,99.00
2026-05-05T19:56:00Z,1.00,99.00
2026-05-05T19:57:00Z,1.00,99.00
2026-05-05T19:58:00Z,1.00,99.00
2026-05-05T19:59:00Z,1.00,99.00
2026-05-05T20:00:00Z,1.00,99.00
2026-05-05T20:01:00Z,1.00,99.00
2026-05-05T20:02:00Z,1.00,99.00
