# event_ticker=KXATPMATCH-26JAN11ALTMUN
# final_score=6-3 6-0
# score_resolution=3-6 0-6
# match_winner=Jaume Munar
# fav_player=Daniel Altmaier
# dog_player=Jaume Munar
# kalshi_date=2026-01-11
timestamp,Daniel Altmaier,Jaume Munar
2026-01-11T20:06:00Z,32.00,
2026-01-12T00:47:00Z,32.00,70.00
2026-01-12T02:43:00Z,32.00,70.00
2026-01-12T03:07:00Z,32.00,70.00
2026-01-12T03:49:00Z,32.00,70.00
2026-01-12T04:01:00Z,32.00,70.00
2026-01-12T04:06:00Z,31.00,70.00
2026-01-12T04:07:00Z,31.00,70.00
2026-01-12T04:11:00Z,31.00,70.00
2026-01-12T04:12:00Z,31.00,70.00
2026-01-12T04:26:00Z,31.00,70.00
2026-01-12T04:31:00Z,31.00,70.00
2026-01-12T04:37:00Z,31.00,70.00
2026-01-12T04:38:00Z,31.00,70.00
2026-01-12T04:40:00Z,31.00,70.00
2026-01-12T04:46:00Z,31.00,70.00
2026-01-12T04:53:00Z,31.00,70.00
2026-01-12T05:04:00Z,31.00,70.00
2026-01-12T05:16:00Z,31.00,70.00
2026-01-12T05:17:00Z,31.17,70.00
2026-01-12T05:29:00Z,32.00,70.00
2026-01-12T05:33:00Z,32.00,70.00
2026-01-12T05:35:00Z,32.00,70.00
2026-01-12T05:37:00Z,32.00,70.00
2026-01-12T05:56:00Z,32.00,70.00
2026-01-12T06:00:00Z,32.00,70.00
2026-01-12T06:03:00Z,32.00,70.00
2026-01-12T06:06:00Z,32.00,70.00
2026-01-12T06:09:00Z,32.00,69.00
2026-01-12T06:10:00Z,32.00,69.00
2026-01-12T06:24:00Z,32.00,68.00
2026-01-12T06:28:00Z,32.00,69.00
2026-01-12T06:40:00Z,32.00,69.00
2026-01-12T06:43:00Z,32.00,69.00
2026-01-12T06:45:00Z,32.00,69.00
2026-01-12T06:46:00Z,32.00,69.00
2026-01-12T06:49:00Z,32.00,69.00
2026-01-12T06:51:00Z,32.00,69.00
2026-01-12T06:52:00Z,32.00,69.00
2026-01-12T06:57:00Z,32.00,69.00
2026-01-12T06:58:00Z,32.00,69.00
2026-01-12T06:59:00Z,32.00,69.05
2026-01-12T07:00:00Z,32.00,70.00
2026-01-12T07:03:00Z,32.00,70.00
2026-01-12T07:04:00Z,31.00,70.00
2026-01-12T07:05:00Z,32.00,70.00
2026-01-12T07:06:00Z,32.00,70.00
2026-01-12T07:08:00Z,32.00,70.00
2026-01-12T07:10:00Z,32.00,69.00
2026-01-12T07:12:00Z,32.00,69.00
2026-01-12T07:13:00Z,32.00,69.00
2026-01-12T07:14:00Z,32.00,69.73
2026-01-12T07:16:00Z,32.00,69.73
2026-01-12T07:17:00Z,32.00,70.00
2026-01-12T07:21:00Z,32.00,69.97
2026-01-12T07:23:00Z,33.00,70.00
2026-01-12T07:26:00Z,33.00,70.00
2026-01-12T07:27:00Z,33.00,70.00
2026-01-12T07:28:00Z,32.61,67.00
2026-01-12T07:29:00Z,35.97,67.00
2026-01-12T07:30:00Z,36.85,65.76
2026-01-12T07:31:00Z,40.00,61.34
2026-01-12T07:32:00Z,45.03,68.77
2026-01-12T07:33:00Z,47.00,56.55
2026-01-12T07:34:00Z,52.85,49.27
2026-01-12T07:35:00Z,55.43,44.32
2026-01-12T07:36:00Z,55.95,47.32
2026-01-12T07:37:00Z,57.73,47.03
2026-01-12T07:38:00Z,57.97,45.00
2026-01-12T07:39:00Z,52.15,45.85
2026-01-12T07:40:00Z,54.02,47.00
2026-01-12T07:41:00Z,56.54,44.02
2026-01-12T07:42:00Z,53.79,48.00
2026-01-12T07:43:00Z,47.92,52.00
2026-01-12T07:44:00Z,43.87,54.96
2026-01-12T07:45:00Z,55.03,47.31
2026-01-12T07:46:00Z,52.12,51.00
2026-01-12T07:47:00Z,54.42,49.00
2026-01-12T07:48:00Z,44.00,49.82
2026-01-12T07:49:00Z,38.71,59.72
2026-01-12T07:50:00Z,38.00,64.00
2026-01-12T07:51:00Z,38.00,64.00
2026-01-12T07:52:00Z,37.81,62.80
2026-01-12T07:53:00Z,35.56,63.72
2026-01-12T07:54:00Z,32.53,69.00
2026-01-12T07:55:00Z,28.40,72.70
2026-01-12T07:56:00Z,37.08,70.07
2026-01-12T07:57:00Z,29.32,73.62
2026-01-12T07:58:00Z,25.36,76.83
2026-01-12T07:59:00Z,16.39,83.90
2026-01-12T08:00:00Z,18.20,82.00
2026-01-12T08:01:00Z,16.14,85.00
2026-01-12T08:02:00Z,12.65,85.00
2026-01-12T08:03:00Z,12.63,87.85
2026-01-12T08:04:00Z,12.11,88.00
2026-01-12T08:05:00Z,11.83,90.00
2026-01-12T08:06:00Z,10.34,90.60
2026-01-12T08:07:00Z,10.96,89.00
2026-01-12T08:08:00Z,9.95,90.02
2026-01-12T08:09:00Z,9.55,90.87
2026-01-12T08:10:00Z,9.04,90.00
2026-01-12T08:11:00Z,7.09,93.88
2026-01-12T08:12:00Z,5.02,94.94
2026-01-12T08:13:00Z,6.28,94.94
2026-01-12T08:14:00Z,3.00,97.20
2026-01-12T08:15:00Z,1.87,97.89
2026-01-12T08:16:00Z,2.96,98.00
2026-01-12T08:17:00Z,1.88,97.03
2026-01-12T08:18:00Z,1.25,98.08
2026-01-12T08:19:00Z,2.87,97.08
2026-01-12T08:20:00Z,1.59,99.00
2026-01-12T08:21:00Z,1.53,99.00
2026-01-12T08:22:00Z,1.03,99.00
2026-01-12T08:23:00Z,1.00,99.00
2026-01-12T08:24:00Z,1.00,99.00
2026-01-12T08:26:00Z,1.00,99.00
2026-01-12T08:28:00Z,1.00,97.00
2026-01-12T08:29:00Z,2.07,97.00
2026-01-12T08:30:00Z,3.00,97.00
2026-01-12T08:31:00Z,1.00,97.00
2026-01-12T08:33:00Z,1.00,99.00
2026-01-12T08:34:00Z,1.00,99.00
2026-01-12T08:38:00Z,1.00,99.00
2026-01-12T08:43:00Z,1.00,99.00
