# event_ticker=KXATPCHALLENGERMATCH-26MAY11CECWEN
# final_score=7-5 6-4
# score_resolution=5-7 4-6
# match_winner=Marco Cecchinato
# fav_player=Harry Wendelken
# dog_player=Marco Cecchinato
# kalshi_date=2026-05-11
timestamp,Marco Cecchinato,Harry Wendelken
2026-05-11T03:39:00Z,,24.00
2026-05-11T04:16:00Z,,24.00
2026-05-11T04:18:00Z,78.00,24.00
2026-05-11T04:21:00Z,78.00,24.00
2026-05-11T04:30:00Z,78.00,24.00
2026-05-11T05:47:00Z,78.00,24.00
2026-05-11T06:13:00Z,78.00,24.28
2026-05-11T06:16:00Z,75.00,24.28
2026-05-11T06:19:00Z,75.00,24.28
2026-05-11T06:44:00Z,75.00,25.00
2026-05-11T07:26:00Z,77.00,25.00
2026-05-11T10:01:00Z,78.00,25.00
2026-05-11T13:43:00Z,78.00,23.00
2026-05-11T14:19:00Z,80.00,23.00
2026-05-11T14:23:00Z,80.00,23.00
2026-05-11T14:32:00Z,80.00,23.00
2026-05-11T14:44:00Z,78.01,23.00
2026-05-11T14:45:00Z,77.00,23.00
2026-05-11T14:46:00Z,77.44,22.00
2026-05-11T14:47:00Z,80.00,22.00
2026-05-11T14:48:00Z,81.00,22.00
2026-05-11T14:49:00Z,80.71,22.00
2026-05-11T14:50:00Z,79.09,21.00
2026-05-11T14:51:00Z,81.08,18.46
2026-05-11T14:52:00Z,82.75,17.79
2026-05-11T14:53:00Z,81.63,17.79
2026-05-11T14:54:00Z,81.63,21.39
2026-05-11T14:55:00Z,76.00,24.00
2026-05-11T14:56:00Z,72.69,26.62
2026-05-11T14:57:00Z,68.91,32.31
2026-05-11T14:58:00Z,69.00,32.31
2026-05-11T14:59:00Z,72.04,27.40
2026-05-11T15:00:00Z,64.73,35.00
2026-05-11T15:01:00Z,63.95,37.00
2026-05-11T15:02:00Z,66.04,34.41
2026-05-11T15:03:00Z,71.01,29.50
2026-05-11T15:04:00Z,74.05,25.73
2026-05-11T15:05:00Z,77.00,25.83
2026-05-11T15:06:00Z,73.00,26.00
2026-05-11T15:07:00Z,77.53,22.00
2026-05-11T15:08:00Z,80.00,21.00
2026-05-11T15:09:00Z,80.40,19.00
2026-05-11T15:10:00Z,83.05,15.19
2026-05-11T15:11:00Z,82.77,19.45
2026-05-11T15:12:00Z,82.26,17.61
2026-05-11T15:13:00Z,78.13,23.78
2026-05-11T15:14:00Z,78.11,22.41
2026-05-11T15:15:00Z,81.73,18.16
2026-05-11T15:16:00Z,79.89,21.00
2026-05-11T15:17:00Z,79.00,21.43
2026-05-11T15:18:00Z,81.53,17.00
2026-05-11T15:19:00Z,86.07,13.33
2026-05-11T15:20:00Z,84.28,14.93
2026-05-11T15:21:00Z,82.00,16.70
2026-05-11T15:22:00Z,78.57,22.04
2026-05-11T15:24:00Z,78.57,24.00
2026-05-11T15:25:00Z,77.43,24.00
2026-05-11T15:26:00Z,78.99,21.76
2026-05-11T15:27:00Z,78.00,23.00
2026-05-11T15:28:00Z,73.55,25.91
2026-05-11T15:29:00Z,69.36,31.15
2026-05-11T15:30:00Z,72.75,27.22
2026-05-11T15:31:00Z,78.00,23.00
2026-05-11T15:32:00Z,78.09,20.54
2026-05-11T15:33:00Z,81.56,17.73
2026-05-11T15:34:00Z,86.81,13.07
2026-05-11T15:35:00Z,84.00,14.88
2026-05-11T15:36:00Z,78.71,23.22
2026-05-11T15:37:00Z,73.73,26.00
2026-05-11T15:38:00Z,77.00,27.00
2026-05-11T15:39:00Z,77.14,23.00
2026-05-11T15:40:00Z,78.00,23.00
2026-05-11T15:41:00Z,80.94,19.23
2026-05-11T15:42:00Z,79.89,22.43
2026-05-11T15:43:00Z,77.40,23.02
2026-05-11T15:44:00Z,83.53,17.38
2026-05-11T15:45:00Z,84.03,13.94
2026-05-11T15:46:00Z,90.88,19.00
2026-05-11T15:47:00Z,91.70,8.96
2026-05-11T15:48:00Z,92.00,9.00
2026-05-11T15:49:00Z,91.50,9.86
2026-05-11T15:50:00Z,90.37,10.95
2026-05-11T15:51:00Z,88.67,14.20
2026-05-11T15:52:00Z,88.52,12.08
2026-05-11T15:53:00Z,90.02,10.00
2026-05-11T15:54:00Z,87.17,13.18
2026-05-11T15:55:00Z,89.38,11.41
2026-05-11T15:56:00Z,91.41,8.97
2026-05-11T15:57:00Z,91.00,10.00
2026-05-11T15:58:00Z,89.36,11.04
2026-05-11T15:59:00Z,86.88,13.52
2026-05-11T16:00:00Z,84.10,15.78
2026-05-11T16:01:00Z,83.28,17.47
2026-05-11T16:02:00Z,78.16,19.79
2026-05-11T16:03:00Z,76.95,23.02
2026-05-11T16:04:00Z,78.75,23.45
2026-05-11T16:05:00Z,78.86,21.74
2026-05-11T16:06:00Z,82.00,19.14
2026-05-11T16:07:00Z,87.60,13.64
2026-05-11T16:08:00Z,89.00,10.73
2026-05-11T16:09:00Z,86.99,14.64
2026-05-11T16:10:00Z,84.96,16.06
2026-05-11T16:11:00Z,77.32,21.64
2026-05-11T16:12:00Z,76.00,26.28
2026-05-11T16:13:00Z,75.57,26.48
2026-05-11T16:14:00Z,71.48,27.38
2026-05-11T16:15:00Z,70.19,29.98
2026-05-11T16:16:00Z,71.08,29.14
2026-05-11T16:17:00Z,71.76,27.21
2026-05-11T16:18:00Z,72.21,27.01
2026-05-11T16:19:00Z,75.95,25.17
2026-05-11T16:20:00Z,79.97,18.73
2026-05-11T16:21:00Z,84.83,21.49
2026-05-11T16:22:00Z,87.26,13.39
2026-05-11T16:23:00Z,87.53,13.75
2026-05-11T16:24:00Z,90.25,9.84
2026-05-11T16:25:00Z,91.31,9.00
2026-05-11T16:26:00Z,92.70,8.50
2026-05-11T16:27:00Z,97.07,2.72
2026-05-11T16:28:00Z,98.78,2.02
2026-05-11T16:29:00Z,99.00,2.02
2026-05-11T16:30:00Z,99.00,2.02
2026-05-11T16:31:00Z,99.00,2.02
2026-05-11T16:32:00Z,99.00,2.02
