# event_ticker=KXATPCHALLENGERMATCH-26MAR17SQUPAL
# final_score=6-4 5-3 RET
# match_winner=Henri Squire
# fav_player=Henri Squire
# dog_player=Stefan Palosi
# kalshi_date=2026-03-17
timestamp,Henri Squire,Stefan Palosi
2026-03-17T02:16:00Z,,33.00
2026-03-17T02:43:00Z,,33.00
2026-03-17T02:46:00Z,68.00,33.00
2026-03-17T02:49:00Z,68.00,33.00
2026-03-17T02:58:00Z,68.00,33.00
2026-03-17T03:04:00Z,62.25,33.00
2026-03-17T03:14:00Z,68.00,33.00
2026-03-17T04:41:00Z,68.00,37.66
2026-03-17T04:46:00Z,67.00,37.66
2026-03-17T04:47:00Z,67.00,37.66
2026-03-17T05:40:00Z,69.00,37.66
2026-03-17T08:05:00Z,69.00,33.00
2026-03-17T10:07:00Z,67.00,33.00
2026-03-17T10:14:00Z,69.85,31.00
2026-03-17T10:25:00Z,71.00,31.00
2026-03-17T10:44:00Z,72.00,31.00
2026-03-17T11:55:00Z,72.00,31.00
2026-03-17T12:17:00Z,73.00,31.00
2026-03-17T12:38:00Z,74.00,28.00
2026-03-17T12:40:00Z,74.00,28.00
2026-03-17T13:18:00Z,74.00,28.00
2026-03-17T13:23:00Z,74.00,28.00
2026-03-17T13:26:00Z,74.12,28.90
2026-03-17T13:27:00Z,75.00,28.00
2026-03-17T13:41:00Z,75.00,28.00
2026-03-17T13:45:00Z,75.00,28.00
2026-03-17T13:46:00Z,75.00,28.00
2026-03-17T13:47:00Z,75.00,28.15
2026-03-17T13:48:00Z,78.31,23.08
2026-03-17T13:49:00Z,77.00,26.01
2026-03-17T13:50:00Z,77.00,26.00
2026-03-17T13:51:00Z,75.29,30.15
2026-03-17T13:52:00Z,75.00,27.22
2026-03-17T13:53:00Z,79.96,18.47
2026-03-17T13:54:00Z,84.64,17.30
2026-03-17T13:55:00Z,86.87,15.04
2026-03-17T13:56:00Z,88.78,14.52
2026-03-17T13:57:00Z,87.00,15.85
2026-03-17T13:58:00Z,83.31,22.77
2026-03-17T13:59:00Z,76.00,24.69
2026-03-17T14:00:00Z,71.93,30.05
2026-03-17T14:01:00Z,69.00,32.37
2026-03-17T14:02:00Z,69.00,33.32
2026-03-17T14:03:00Z,65.99,36.92
2026-03-17T14:04:00Z,63.86,38.07
2026-03-17T14:05:00Z,64.00,40.83
2026-03-17T14:06:00Z,63.38,40.81
2026-03-17T14:07:00Z,65.16,32.41
2026-03-17T14:08:00Z,67.76,33.26
2026-03-17T14:09:00Z,68.56,35.21
2026-03-17T14:10:00Z,68.00,33.62
2026-03-17T14:11:00Z,68.00,32.06
2026-03-17T14:12:00Z,73.93,28.30
2026-03-17T14:13:00Z,73.07,28.98
2026-03-17T14:14:00Z,78.41,22.85
2026-03-17T14:15:00Z,80.02,18.53
2026-03-17T14:16:00Z,84.00,20.47
2026-03-17T14:17:00Z,84.05,17.33
2026-03-17T14:18:00Z,84.69,15.32
2026-03-17T14:19:00Z,86.81,13.57
2026-03-17T14:20:00Z,85.00,15.42
2026-03-17T14:21:00Z,83.16,18.34
2026-03-17T14:22:00Z,81.04,19.00
2026-03-17T14:23:00Z,80.06,23.53
2026-03-17T14:24:00Z,82.00,21.56
2026-03-17T14:25:00Z,82.06,17.65
2026-03-17T14:26:00Z,84.36,15.89
2026-03-17T14:27:00Z,85.86,15.89
2026-03-17T14:28:00Z,84.94,16.88
2026-03-17T14:29:00Z,83.47,18.61
2026-03-17T14:30:00Z,80.95,20.05
2026-03-17T14:31:00Z,74.58,28.94
2026-03-17T14:32:00Z,79.31,21.23
2026-03-17T14:33:00Z,85.10,15.68
2026-03-17T14:34:00Z,86.00,14.81
2026-03-17T14:35:00Z,86.00,14.64
2026-03-17T14:36:00Z,87.72,13.82
2026-03-17T14:37:00Z,86.00,13.65
2026-03-17T14:38:00Z,85.49,12.87
2026-03-17T14:39:00Z,82.75,17.52
2026-03-17T14:40:00Z,82.01,17.91
2026-03-17T14:41:00Z,79.61,20.33
2026-03-17T14:42:00Z,81.74,21.60
2026-03-17T14:43:00Z,82.11,17.65
2026-03-17T14:44:00Z,82.68,19.85
2026-03-17T14:45:00Z,83.17,19.10
2026-03-17T14:46:00Z,80.12,22.80
2026-03-17T14:47:00Z,76.98,24.51
2026-03-17T14:48:00Z,77.72,23.58
2026-03-17T14:49:00Z,83.12,18.06
2026-03-17T14:50:00Z,84.87,15.11
2026-03-17T14:51:00Z,85.98,13.22
2026-03-17T14:52:00Z,87.32,13.49
2026-03-17T14:53:00Z,89.16,11.12
2026-03-17T14:54:00Z,91.75,7.63
2026-03-17T14:55:00Z,93.06,7.12
2026-03-17T14:56:00Z,91.51,9.33
2026-03-17T14:57:00Z,92.84,7.45
2026-03-17T14:58:00Z,93.70,6.93
2026-03-17T14:59:00Z,93.12,5.80
2026-03-17T15:00:00Z,93.08,8.69
2026-03-17T15:01:00Z,92.98,8.96
2026-03-17T15:02:00Z,94.58,6.52
2026-03-17T15:03:00Z,95.77,3.30
2026-03-17T15:04:00Z,96.00,3.69
2026-03-17T15:05:00Z,96.00,3.66
2026-03-17T15:06:00Z,96.00,5.50
2026-03-17T15:07:00Z,95.45,6.00
2026-03-17T15:08:00Z,95.95,4.04
2026-03-17T15:09:00Z,96.69,5.29
2026-03-17T15:10:00Z,95.37,3.92
2026-03-17T15:11:00Z,97.14,4.13
2026-03-17T15:12:00Z,97.72,1.81
2026-03-17T15:13:00Z,98.39,1.94
2026-03-17T15:14:00Z,98.43,1.05
2026-03-17T15:15:00Z,99.00,1.00
2026-03-17T15:16:00Z,99.00,1.00
2026-03-17T15:17:00Z,99.00,1.00
