# event_ticker=KXATPMATCH-25SEP18SHEMON
# final_score=6-7(3) 6-3 1-0 RET
# match_winner=Alexander Shevchenko
# fav_player=Alexander Shevchenko
# dog_player=Gael Monfils
# kalshi_date=2025-09-18
timestamp,Alexander Shevchenko,Gael Monfils
2025-09-18T09:02:00Z,38.00,
2025-09-18T09:03:00Z,41.00,
2025-09-18T09:04:00Z,43.00,61.28
2025-09-18T09:06:00Z,40.00,61.28
2025-09-18T09:07:00Z,41.73,59.00
2025-09-18T09:08:00Z,53.41,59.00
2025-09-18T09:10:00Z,42.13,62.21
2025-09-18T09:11:00Z,39.96,62.00
2025-09-18T09:12:00Z,51.66,63.00
2025-09-18T09:13:00Z,28.00,72.00
2025-09-18T09:14:00Z,34.00,72.00
2025-09-18T09:16:00Z,34.00,61.00
2025-09-18T09:18:00Z,46.00,61.00
2025-09-18T09:19:00Z,46.00,59.00
2025-09-18T09:20:00Z,37.00,61.00
2025-09-18T09:22:00Z,77.00,61.00
2025-09-18T09:23:00Z,61.00,77.00
2025-09-18T09:24:00Z,61.00,77.00
2025-09-18T09:27:00Z,42.00,77.00
2025-09-18T09:28:00Z,42.00,66.00
2025-09-18T09:29:00Z,30.27,77.00
2025-09-18T09:30:00Z,24.79,77.00
2025-09-18T09:31:00Z,31.00,67.00
2025-09-18T09:32:00Z,36.66,67.00
2025-09-18T09:34:00Z,36.66,78.00
2025-09-18T09:35:00Z,36.66,68.00
2025-09-18T09:36:00Z,42.00,62.00
2025-09-18T09:37:00Z,42.00,62.00
2025-09-18T09:38:00Z,42.00,62.00
2025-09-18T09:39:00Z,37.52,67.00
2025-09-18T09:40:00Z,37.00,67.00
2025-09-18T09:41:00Z,37.00,67.00
2025-09-18T09:43:00Z,30.00,74.00
2025-09-18T09:46:00Z,32.84,74.00
2025-09-18T09:47:00Z,32.84,78.93
2025-09-18T09:48:00Z,40.26,55.00
2025-09-18T09:49:00Z,48.49,55.00
2025-09-18T09:50:00Z,67.86,55.00
2025-09-18T09:55:00Z,68.55,55.00
2025-09-18T09:56:00Z,68.55,77.00
2025-09-18T09:59:00Z,27.52,78.71
2025-09-18T10:00:00Z,23.37,78.00
2025-09-18T10:01:00Z,23.37,83.00
2025-09-18T10:03:00Z,23.37,81.75
2025-09-18T10:04:00Z,19.41,84.64
2025-09-18T10:05:00Z,27.00,88.00
2025-09-18T10:08:00Z,20.00,88.00
2025-09-18T10:11:00Z,17.00,86.00
2025-09-18T10:14:00Z,35.00,86.00
2025-09-18T10:15:00Z,21.00,91.39
2025-09-18T10:16:00Z,35.00,90.00
2025-09-18T10:17:00Z,35.24,90.00
2025-09-18T10:19:00Z,38.00,66.00
2025-09-18T10:21:00Z,36.00,66.00
2025-09-18T10:22:00Z,38.29,66.00
2025-09-18T10:23:00Z,38.29,59.07
2025-09-18T10:24:00Z,47.69,63.00
2025-09-18T10:25:00Z,37.81,63.00
2025-09-18T10:26:00Z,59.00,77.00
2025-09-18T10:27:00Z,39.39,77.00
2025-09-18T10:28:00Z,57.55,57.33
2025-09-18T10:29:00Z,57.00,57.33
2025-09-18T10:31:00Z,57.00,57.33
2025-09-18T10:32:00Z,56.67,72.85
2025-09-18T10:33:00Z,54.50,72.85
2025-09-18T10:34:00Z,63.30,55.00
2025-09-18T10:35:00Z,75.52,51.31
2025-09-18T10:36:00Z,77.95,38.00
2025-09-18T10:37:00Z,73.80,38.00
2025-09-18T10:38:00Z,77.00,38.00
2025-09-18T10:39:00Z,76.00,38.00
2025-09-18T10:40:00Z,76.00,60.00
2025-09-18T10:41:00Z,39.06,46.00
2025-09-18T10:42:00Z,76.20,45.00
2025-09-18T10:43:00Z,80.39,2.82
2025-09-18T10:44:00Z,98.82,1.00
2025-09-18T10:45:00Z,98.94,1.42
2025-09-18T10:46:00Z,99.00,1.42
2025-09-18T10:47:00Z,99.00,1.00
2025-09-18T10:48:00Z,99.00,1.00
2025-09-18T10:49:00Z,99.00,1.00
2025-09-18T10:52:00Z,99.00,1.00
2025-09-18T10:56:00Z,99.00,1.00
2025-09-18T10:58:00Z,99.00,1.00
2025-09-18T10:59:00Z,99.00,1.00
2025-09-18T11:02:00Z,99.00,1.00
2025-09-18T11:24:00Z,99.00,1.00
2025-09-18T11:33:00Z,99.00,1.00
2025-09-18T11:40:00Z,99.00,1.00
2025-09-18T11:49:00Z,99.00,1.00
2025-09-18T11:53:00Z,99.00,1.00
2025-09-18T11:54:00Z,99.00,1.00
2025-09-18T13:04:00Z,99.00,1.00
2025-09-18T13:12:00Z,99.00,1.00
2025-09-18T13:22:00Z,99.00,1.00
2025-09-18T13:56:00Z,99.00,1.00
2025-09-18T14:03:00Z,99.00,1.00
2025-09-18T14:04:00Z,99.00,1.00
2025-09-18T14:31:00Z,99.00,1.00
2025-09-18T15:04:00Z,99.00,1.00
2025-09-18T15:20:00Z,99.00,1.00
2025-09-18T15:35:00Z,99.00,1.00
2025-09-18T15:39:00Z,99.00,1.00
2025-09-18T15:48:00Z,99.00,1.00
2025-09-18T16:34:00Z,99.00,1.00
2025-09-18T16:39:00Z,99.00,1.00
2025-09-18T17:20:00Z,99.00,1.00
2025-09-18T17:56:00Z,99.00,1.00
2025-09-18T18:52:00Z,99.00,1.00
2025-09-18T18:53:00Z,99.00,1.00
2025-09-18T19:13:00Z,99.00,1.00
2025-09-18T19:25:00Z,99.00,1.00
2025-09-18T20:45:00Z,99.00,1.00
2025-09-18T22:13:00Z,99.00,1.00
