# event_ticker=KXATPMATCH-26FEB09GRESTR
# final_score=6-0 6-4
# score_resolution=0-6 4-6
# match_winner=Jan-Lennard Struff
# fav_player=Hugo Grenier
# dog_player=Jan-Lennard Struff
# kalshi_date=2026-02-09
timestamp,Hugo Grenier,Jan-Lennard Struff
2026-02-10T02:29:00Z,,72.00
2026-02-10T04:08:00Z,,72.00
2026-02-10T04:24:00Z,,72.00
2026-02-10T04:28:00Z,30.00,72.00
2026-02-10T04:30:00Z,30.00,72.00
2026-02-10T04:50:00Z,30.00,72.00
2026-02-10T04:52:00Z,30.00,72.00
2026-02-10T04:58:00Z,30.00,71.00
2026-02-10T05:08:00Z,30.00,71.00
2026-02-10T05:24:00Z,30.00,71.00
2026-02-10T05:32:00Z,30.00,71.00
2026-02-10T05:33:00Z,30.00,71.00
2026-02-10T05:44:00Z,30.00,71.00
2026-02-10T05:47:00Z,30.00,71.00
2026-02-10T06:00:00Z,30.00,71.00
2026-02-10T06:05:00Z,30.00,71.00
2026-02-10T06:16:00Z,30.00,71.00
2026-02-10T06:27:00Z,30.00,70.00
2026-02-10T06:31:00Z,30.00,71.00
2026-02-10T06:49:00Z,30.00,71.00
2026-02-10T07:03:00Z,30.00,71.00
2026-02-10T07:26:00Z,30.00,71.00
2026-02-10T07:33:00Z,30.00,71.00
2026-02-10T07:37:00Z,30.00,71.00
2026-02-10T07:51:00Z,30.00,71.00
2026-02-10T07:52:00Z,30.00,71.00
2026-02-10T09:07:00Z,30.00,71.00
2026-02-10T09:16:00Z,30.00,71.00
2026-02-10T09:55:00Z,30.00,71.00
2026-02-10T10:18:00Z,30.00,71.00
2026-02-10T10:22:00Z,30.00,71.00
2026-02-10T10:24:00Z,30.00,71.00
2026-02-10T10:28:00Z,30.00,71.00
2026-02-10T10:38:00Z,30.00,71.00
2026-02-10T10:40:00Z,30.00,71.00
2026-02-10T10:47:00Z,30.00,71.00
2026-02-10T10:51:00Z,30.00,71.00
2026-02-10T11:03:00Z,30.00,71.00
2026-02-10T11:13:00Z,30.00,71.00
2026-02-10T11:14:00Z,30.00,71.00
2026-02-10T11:29:00Z,30.00,71.00
2026-02-10T11:44:00Z,30.00,72.00
2026-02-10T11:47:00Z,30.00,72.00
2026-02-10T11:48:00Z,30.00,72.00
