# event_ticker=KXATPCHALLENGERMATCH-26FEB16BROGIM
# final_score=6-2 6-3
# match_winner=Gijs Brouwer
# fav_player=Gijs Brouwer
# dog_player=Sebastian Gima
# kalshi_date=2026-02-16
timestamp,Gijs Brouwer,Sebastian Gima
2026-02-16T12:53:00Z,,36.00
2026-02-16T13:15:00Z,69.00,36.00
2026-02-16T14:05:00Z,69.00,36.00
2026-02-16T15:01:00Z,69.00,36.00
2026-02-16T15:22:00Z,69.00,36.00
2026-02-16T15:23:00Z,69.00,31.00
2026-02-16T15:34:00Z,69.00,31.00
2026-02-16T16:30:00Z,69.00,31.00
2026-02-16T16:33:00Z,69.00,31.00
2026-02-16T16:51:00Z,69.00,31.00
2026-02-16T17:36:00Z,70.00,31.00
2026-02-16T17:47:00Z,70.00,31.00
2026-02-16T17:56:00Z,70.00,31.00
2026-02-16T18:34:00Z,70.00,31.00
2026-02-16T18:37:00Z,70.00,31.00
2026-02-16T18:41:00Z,70.00,30.00
2026-02-16T19:01:00Z,70.00,32.00
2026-02-16T19:05:00Z,70.00,32.00
2026-02-16T19:06:00Z,70.00,32.00
2026-02-16T19:07:00Z,70.00,32.55
2026-02-16T19:08:00Z,70.00,33.00
2026-02-16T19:09:00Z,69.33,28.00
2026-02-16T19:10:00Z,77.00,23.69
2026-02-16T19:11:00Z,77.04,23.69
2026-02-16T19:12:00Z,74.38,23.69
2026-02-16T19:14:00Z,74.38,22.90
2026-02-16T19:15:00Z,79.00,23.00
2026-02-16T19:16:00Z,79.00,24.00
2026-02-16T19:17:00Z,78.00,24.00
2026-02-16T19:18:00Z,75.00,24.00
2026-02-16T19:20:00Z,73.90,25.00
2026-02-16T19:21:00Z,80.00,25.00
2026-02-16T19:22:00Z,80.00,20.03
2026-02-16T19:23:00Z,82.82,20.03
2026-02-16T19:24:00Z,85.36,14.00
2026-02-16T19:25:00Z,85.36,12.86
2026-02-16T19:26:00Z,85.36,11.11
2026-02-16T19:27:00Z,88.91,12.00
2026-02-16T19:28:00Z,90.00,11.00
2026-02-16T19:29:00Z,89.00,11.00
2026-02-16T19:30:00Z,89.00,13.00
2026-02-16T19:31:00Z,89.00,11.00
2026-02-16T19:32:00Z,89.00,9.20
2026-02-16T19:33:00Z,89.00,12.02
2026-02-16T19:34:00Z,89.00,13.00
2026-02-16T19:35:00Z,87.36,12.22
2026-02-16T19:36:00Z,84.19,15.00
2026-02-16T19:37:00Z,84.00,18.85
2026-02-16T19:38:00Z,80.66,18.00
2026-02-16T19:39:00Z,83.64,20.89
2026-02-16T19:40:00Z,76.58,18.47
2026-02-16T19:42:00Z,84.07,17.94
2026-02-16T19:43:00Z,82.00,21.00
2026-02-16T19:44:00Z,81.00,19.04
2026-02-16T19:45:00Z,79.01,19.04
2026-02-16T19:47:00Z,79.01,17.00
2026-02-16T19:48:00Z,92.02,9.14
2026-02-16T19:49:00Z,93.80,6.07
2026-02-16T19:50:00Z,94.80,6.00
2026-02-16T19:51:00Z,96.00,4.00
2026-02-16T19:52:00Z,97.01,2.00
2026-02-16T19:53:00Z,98.00,1.85
2026-02-16T19:54:00Z,98.98,2.25
2026-02-16T19:55:00Z,99.00,2.00
2026-02-16T19:56:00Z,99.00,1.77
2026-02-16T19:57:00Z,99.00,3.00
2026-02-16T19:58:00Z,96.00,5.00
2026-02-16T19:59:00Z,96.00,4.00
2026-02-16T20:00:00Z,90.31,10.09
2026-02-16T20:01:00Z,91.91,6.64
2026-02-16T20:02:00Z,96.29,3.18
2026-02-16T20:04:00Z,96.29,1.00
2026-02-16T20:08:00Z,99.00,1.00
