# event_ticker=KXATPMATCH-26JUN10HIJTIA
# final_score=6-4 6-4
# match_winner=Frances Tiafoe
# fav_player=Frances Tiafoe
# dog_player=Rinky Hijikata
# kalshi_date=2026-06-10
timestamp,Rinky Hijikata,Frances Tiafoe
2026-06-10T23:08:00Z,,71.00
2026-06-10T23:09:00Z,,71.00
2026-06-10T23:14:00Z,,71.00
2026-06-10T23:15:00Z,,71.00
2026-06-10T23:20:00Z,,71.00
2026-06-10T23:23:00Z,,71.00
2026-06-10T23:48:00Z,,71.00
2026-06-10T23:51:00Z,,71.00
2026-06-10T23:56:00Z,,71.00
2026-06-10T23:58:00Z,,71.00
2026-06-10T23:59:00Z,,71.00
2026-06-11T00:25:00Z,,71.00
2026-06-11T00:27:00Z,,71.00
2026-06-11T00:37:00Z,,71.00
2026-06-11T00:38:00Z,,71.00
2026-06-11T00:41:00Z,30.00,71.00
2026-06-11T00:43:00Z,30.00,71.00
2026-06-11T01:05:00Z,30.00,71.00
2026-06-11T01:21:00Z,30.00,72.00
2026-06-11T01:24:00Z,30.00,71.00
2026-06-11T01:30:00Z,30.00,71.00
2026-06-11T01:31:00Z,30.00,72.00
2026-06-11T01:32:00Z,30.00,71.98
2026-06-11T01:33:00Z,30.00,72.00
2026-06-11T01:35:00Z,30.00,71.00
2026-06-11T01:43:00Z,30.00,71.00
2026-06-11T01:46:00Z,30.00,71.36
2026-06-11T01:52:00Z,31.00,71.00
2026-06-11T01:55:00Z,31.00,69.19
2026-06-11T01:56:00Z,31.00,70.00
2026-06-11T01:58:00Z,31.00,70.00
2026-06-11T02:06:00Z,31.00,70.00
2026-06-11T02:08:00Z,31.00,70.00
2026-06-11T02:10:00Z,31.00,70.00
2026-06-11T02:12:00Z,31.00,70.00
2026-06-11T02:13:00Z,31.00,70.00
2026-06-11T02:14:00Z,31.00,70.00
2026-06-11T02:15:00Z,31.00,70.00
2026-06-11T02:17:00Z,31.00,70.00
2026-06-11T02:21:00Z,31.00,70.00
2026-06-11T02:23:00Z,31.00,70.00
2026-06-11T02:24:00Z,31.00,70.00
2026-06-11T02:30:00Z,30.00,70.00
2026-06-11T02:38:00Z,30.00,69.00
2026-06-11T02:39:00Z,30.00,69.00
2026-06-11T02:41:00Z,30.50,69.00
2026-06-11T02:42:00Z,30.50,70.00
2026-06-11T02:43:00Z,31.00,70.00
2026-06-11T02:44:00Z,31.00,70.00
2026-06-11T02:45:00Z,31.00,70.00
2026-06-11T02:46:00Z,31.00,70.00
