# event_ticker=KXATPCHALLENGERMATCH-26MAR17SIMPER
# final_score=6-1 6-1
# score_resolution=1-6 1-6
# match_winner=Sergi Perez Contri
# fav_player=Josip Simundza
# dog_player=Sergi Perez Contri
# kalshi_date=2026-03-17
timestamp,Josip Simundza,Sergi Perez Contri
2026-03-17T00:31:00Z,,72.61
2026-03-17T01:05:00Z,,73.00
2026-03-17T01:39:00Z,,73.00
2026-03-17T01:48:00Z,27.00,73.00
2026-03-17T02:34:00Z,27.00,73.00
2026-03-17T02:41:00Z,27.00,73.00
2026-03-17T02:56:00Z,27.00,73.49
2026-03-17T03:01:00Z,27.00,74.00
2026-03-17T03:07:00Z,27.00,73.00
2026-03-17T03:16:00Z,27.00,73.00
2026-03-17T03:30:00Z,27.00,73.00
2026-03-17T03:33:00Z,27.00,73.00
2026-03-17T04:06:00Z,28.00,73.00
2026-03-17T04:11:00Z,28.00,73.00
2026-03-17T04:29:00Z,27.00,73.00
2026-03-17T04:32:00Z,27.00,73.00
2026-03-17T04:33:00Z,28.00,73.00
2026-03-17T04:42:00Z,28.00,73.00
2026-03-17T04:44:00Z,28.00,73.00
2026-03-17T04:46:00Z,28.00,73.00
2026-03-17T04:50:00Z,28.00,73.00
2026-03-17T04:55:00Z,28.00,73.00
2026-03-17T04:56:00Z,28.00,73.00
2026-03-17T04:59:00Z,28.00,73.00
2026-03-17T05:02:00Z,28.00,73.85
2026-03-17T05:11:00Z,28.00,73.85
2026-03-17T05:13:00Z,28.00,74.00
2026-03-17T05:18:00Z,28.00,74.00
2026-03-17T05:30:00Z,28.00,74.00
2026-03-17T05:47:00Z,28.00,74.00
2026-03-17T05:54:00Z,28.00,74.00
2026-03-17T06:00:00Z,28.00,74.00
2026-03-17T06:06:00Z,28.00,73.96
2026-03-17T06:25:00Z,28.00,73.96
2026-03-17T06:36:00Z,28.00,72.00
2026-03-17T06:39:00Z,28.00,72.00
2026-03-17T06:47:00Z,28.68,72.00
2026-03-17T06:53:00Z,28.00,72.00
2026-03-17T06:54:00Z,28.00,71.00
2026-03-17T07:27:00Z,28.00,72.98
2026-03-17T07:43:00Z,28.00,72.98
2026-03-17T08:05:00Z,28.00,72.00
2026-03-17T08:06:00Z,28.00,72.00
2026-03-17T08:10:00Z,28.00,73.07
2026-03-17T08:11:00Z,28.00,73.07
2026-03-17T08:12:00Z,28.00,74.00
2026-03-17T08:18:00Z,28.00,74.00
2026-03-17T08:31:00Z,28.00,74.00
2026-03-17T08:47:00Z,28.00,74.00
2026-03-17T08:51:00Z,28.00,73.00
2026-03-17T08:54:00Z,30.00,73.00
2026-03-17T08:57:00Z,30.00,72.00
2026-03-17T08:58:00Z,30.00,72.00
2026-03-17T09:00:00Z,30.00,68.54
2026-03-17T09:01:00Z,30.00,70.32
2026-03-17T09:03:00Z,30.00,72.00
2026-03-17T09:04:00Z,30.00,72.66
2026-03-17T09:05:00Z,30.00,73.00
2026-03-17T09:06:00Z,30.06,73.00
2026-03-17T09:07:00Z,29.89,71.00
2026-03-17T09:08:00Z,31.00,71.00
2026-03-17T09:09:00Z,31.00,71.00
2026-03-17T09:10:00Z,29.79,71.00
2026-03-17T09:11:00Z,30.00,71.00
2026-03-17T09:12:00Z,30.00,70.00
2026-03-17T09:13:00Z,27.00,74.97
2026-03-17T09:14:00Z,26.15,71.22
2026-03-17T09:15:00Z,29.95,75.90
2026-03-17T09:16:00Z,30.41,71.92
2026-03-17T09:17:00Z,26.11,71.97
2026-03-17T09:18:00Z,27.00,71.97
2026-03-17T09:19:00Z,29.01,75.71
2026-03-17T09:20:00Z,30.28,70.00
2026-03-17T09:21:00Z,32.54,69.85
2026-03-17T09:22:00Z,35.29,66.77
2026-03-17T09:23:00Z,33.70,65.88
2026-03-17T09:24:00Z,35.95,67.45
2026-03-17T09:25:00Z,32.11,68.86
2026-03-17T09:26:00Z,29.58,71.45
2026-03-17T09:27:00Z,25.72,77.04
2026-03-17T09:28:00Z,25.00,79.00
2026-03-17T09:29:00Z,27.16,75.00
2026-03-17T09:30:00Z,24.07,77.46
2026-03-17T09:31:00Z,22.02,78.00
2026-03-17T09:32:00Z,20.91,79.36
2026-03-17T09:33:00Z,22.25,78.58
2026-03-17T09:34:00Z,20.83,82.15
2026-03-17T09:35:00Z,17.00,82.15
2026-03-17T09:36:00Z,17.00,84.00
2026-03-17T09:37:00Z,13.86,85.22
2026-03-17T09:38:00Z,13.99,85.13
2026-03-17T09:39:00Z,14.12,85.99
2026-03-17T09:40:00Z,14.00,86.00
2026-03-17T09:41:00Z,13.55,87.00
2026-03-17T09:42:00Z,10.44,88.19
2026-03-17T09:43:00Z,9.40,89.17
2026-03-17T09:44:00Z,11.00,87.00
2026-03-17T09:45:00Z,11.00,90.47
2026-03-17T09:46:00Z,9.98,90.24
2026-03-17T09:47:00Z,10.00,91.55
2026-03-17T09:48:00Z,10.00,91.00
2026-03-17T09:49:00Z,10.00,90.00
2026-03-17T09:50:00Z,8.00,90.00
2026-03-17T09:51:00Z,10.00,90.01
2026-03-17T09:52:00Z,10.00,91.00
2026-03-17T09:53:00Z,10.00,92.00
2026-03-17T09:54:00Z,8.00,92.98
2026-03-17T09:55:00Z,8.17,92.98
2026-03-17T09:56:00Z,9.75,90.00
2026-03-17T09:57:00Z,9.72,92.55
2026-03-17T09:58:00Z,7.75,93.00
2026-03-17T09:59:00Z,6.81,93.22
2026-03-17T10:00:00Z,6.94,93.76
2026-03-17T10:01:00Z,4.15,96.00
2026-03-17T10:02:00Z,5.89,95.91
2026-03-17T10:03:00Z,6.21,93.46
2026-03-17T10:04:00Z,6.21,93.70
2026-03-17T10:05:00Z,9.00,91.05
2026-03-17T10:06:00Z,8.00,91.50
2026-03-17T10:07:00Z,8.20,92.00
2026-03-17T10:08:00Z,8.20,93.01
2026-03-17T10:09:00Z,7.00,94.93
2026-03-17T10:10:00Z,8.27,93.97
2026-03-17T10:11:00Z,5.00,94.41
2026-03-17T10:12:00Z,3.01,96.92
2026-03-17T10:13:00Z,4.72,96.00
2026-03-17T10:14:00Z,5.00,95.57
2026-03-17T10:15:00Z,1.99,98.56
2026-03-17T10:16:00Z,1.99,98.69
2026-03-17T10:17:00Z,2.00,98.69
2026-03-17T10:18:00Z,1.00,98.01
2026-03-17T10:19:00Z,1.00,98.00
2026-03-17T10:20:00Z,1.00,99.00
2026-03-17T10:21:00Z,1.00,99.00
2026-03-17T10:22:00Z,1.00,99.00
2026-03-17T10:23:00Z,1.00,99.00
2026-03-17T10:24:00Z,1.00,99.00
2026-03-17T10:25:00Z,1.00,99.00
