# event_ticker=KXATPCHALLENGERMATCH-26APR03MIDDEL
# final_score=7-6(6) 6-1
# score_resolution=7-6 6-1
# match_winner=Hugo Dellien
# fav_player=Hugo Dellien
# dog_player=Lautaro Midon
# kalshi_date=2026-04-03
timestamp,Hugo Dellien,Lautaro Midon
2026-04-03T07:59:00Z,,33.63
2026-04-03T08:59:00Z,68.00,33.63
2026-04-03T10:02:00Z,68.00,34.00
2026-04-03T11:31:00Z,67.00,34.00
2026-04-03T11:39:00Z,67.00,34.00
2026-04-03T12:13:00Z,67.00,34.00
2026-04-03T12:20:00Z,67.00,34.00
2026-04-03T12:54:00Z,67.00,34.00
2026-04-03T13:00:00Z,68.00,34.00
2026-04-03T14:06:00Z,68.00,34.00
2026-04-03T14:08:00Z,68.00,34.00
2026-04-03T14:18:00Z,68.00,34.00
2026-04-03T14:33:00Z,68.00,34.00
2026-04-03T14:37:00Z,68.00,34.00
2026-04-03T14:47:00Z,68.00,34.00
2026-04-03T14:48:00Z,67.00,32.00
2026-04-03T14:52:00Z,68.00,32.00
2026-04-03T15:09:00Z,68.00,32.00
2026-04-03T15:18:00Z,68.00,32.00
2026-04-03T15:26:00Z,68.00,34.00
2026-04-03T15:29:00Z,68.00,34.00
2026-04-03T15:32:00Z,68.00,34.00
2026-04-03T15:51:00Z,68.00,34.00
2026-04-03T16:03:00Z,68.00,34.00
2026-04-03T16:08:00Z,68.00,32.00
2026-04-03T16:11:00Z,68.00,32.00
2026-04-03T16:21:00Z,68.00,32.00
2026-04-03T16:39:00Z,68.00,34.00
2026-04-03T16:42:00Z,68.00,34.00
2026-04-03T16:43:00Z,68.00,33.00
2026-04-03T16:49:00Z,68.00,34.00
2026-04-03T16:51:00Z,68.00,34.00
2026-04-03T16:57:00Z,68.00,34.00
2026-04-03T17:11:00Z,68.00,35.00
2026-04-03T17:17:00Z,67.00,35.00
2026-04-03T17:24:00Z,67.00,35.00
2026-04-03T17:33:00Z,67.00,35.00
2026-04-03T17:34:00Z,67.00,35.88
2026-04-03T17:41:00Z,64.02,36.00
2026-04-03T17:42:00Z,64.02,35.00
2026-04-03T17:46:00Z,64.02,36.00
2026-04-03T17:49:00Z,65.00,36.00
2026-04-03T17:50:00Z,65.44,36.00
2026-04-03T17:51:00Z,66.99,36.00
2026-04-03T17:53:00Z,67.00,36.00
2026-04-03T17:58:00Z,67.15,36.00
