# event_ticker=KXATPCHALLENGERMATCH-26APR02ELLJON
# final_score=6-4 1-6 6-2
# match_winner=Blake Ellis
# fav_player=Blake Ellis
# dog_player=Maximus Jones
# kalshi_date=2026-04-02
timestamp,Blake Ellis,Maximus Jones
2026-04-01T20:43:00Z,41.00,
2026-04-01T21:10:00Z,44.00,
2026-04-01T21:11:00Z,44.00,56.00
2026-04-01T22:41:00Z,44.00,56.00
2026-04-01T23:49:00Z,44.00,56.00
2026-04-02T00:52:00Z,44.00,58.08
2026-04-02T01:59:00Z,43.00,58.08
2026-04-02T02:05:00Z,42.00,58.08
2026-04-02T02:47:00Z,42.00,59.00
2026-04-02T02:49:00Z,42.00,59.00
2026-04-02T03:21:00Z,42.00,59.00
2026-04-02T03:24:00Z,42.00,60.00
2026-04-02T03:31:00Z,42.00,60.00
2026-04-02T03:35:00Z,42.00,60.00
2026-04-02T03:45:00Z,42.00,60.00
2026-04-02T03:59:00Z,40.00,60.00
2026-04-02T04:01:00Z,40.00,60.00
2026-04-02T04:06:00Z,41.00,60.00
2026-04-02T04:08:00Z,41.00,60.00
2026-04-02T04:12:00Z,41.00,60.00
2026-04-02T04:16:00Z,41.00,60.00
2026-04-02T04:21:00Z,41.00,60.00
2026-04-02T04:23:00Z,42.94,60.00
2026-04-02T04:27:00Z,43.00,57.00
2026-04-02T04:29:00Z,43.86,57.00
2026-04-02T04:31:00Z,43.86,57.00
2026-04-02T04:32:00Z,44.51,57.00
2026-04-02T04:33:00Z,44.51,57.99
2026-04-02T04:34:00Z,44.00,57.99
2026-04-02T04:36:00Z,41.97,59.55
2026-04-02T04:37:00Z,41.97,60.00
2026-04-02T04:41:00Z,41.97,60.00
2026-04-02T04:42:00Z,42.00,60.00
2026-04-02T04:43:00Z,42.73,60.00
2026-04-02T04:44:00Z,43.99,60.00
2026-04-02T04:45:00Z,43.99,59.98
2026-04-02T04:46:00Z,43.00,59.91
2026-04-02T04:47:00Z,43.00,59.91
2026-04-02T04:49:00Z,43.00,59.91
2026-04-02T04:50:00Z,43.00,59.91
2026-04-02T04:53:00Z,44.62,59.91
2026-04-02T04:54:00Z,44.62,57.83
2026-04-02T04:55:00Z,44.00,57.83
2026-04-02T04:56:00Z,44.00,57.38
2026-04-02T04:58:00Z,45.00,57.38
2026-04-02T04:59:00Z,45.00,55.00
2026-04-02T05:00:00Z,45.00,55.00
2026-04-02T05:01:00Z,45.00,57.69
2026-04-02T05:02:00Z,45.00,58.00
2026-04-02T05:03:00Z,45.00,58.00
2026-04-02T05:04:00Z,45.00,58.00
2026-04-02T05:08:00Z,45.00,58.00
2026-04-02T05:11:00Z,45.00,58.00
2026-04-02T05:12:00Z,43.66,58.00
2026-04-02T05:14:00Z,43.66,58.00
2026-04-02T05:16:00Z,44.00,59.73
2026-04-02T05:18:00Z,43.00,59.50
2026-04-02T05:21:00Z,43.00,60.00
2026-04-02T05:22:00Z,43.87,60.00
2026-04-02T05:23:00Z,43.98,60.00
2026-04-02T05:24:00Z,43.98,60.00
2026-04-02T05:25:00Z,43.98,59.00
2026-04-02T05:26:00Z,43.98,59.51
2026-04-02T05:28:00Z,43.75,59.51
2026-04-02T05:31:00Z,43.75,59.97
2026-04-02T05:32:00Z,43.45,59.97
2026-04-02T05:33:00Z,44.00,59.97
2026-04-02T05:34:00Z,44.00,59.66
2026-04-02T05:37:00Z,43.00,59.00
2026-04-02T05:38:00Z,43.00,59.95
2026-04-02T05:40:00Z,43.00,59.92
2026-04-02T05:41:00Z,43.00,59.00
2026-04-02T05:45:00Z,43.80,59.00
2026-04-02T05:49:00Z,43.97,59.00
2026-04-02T05:50:00Z,43.00,59.00
2026-04-02T05:52:00Z,43.92,59.00
2026-04-02T05:53:00Z,43.00,59.45
2026-04-02T05:55:00Z,43.50,59.45
2026-04-02T05:56:00Z,44.00,56.00
2026-04-02T05:57:00Z,44.00,59.92
2026-04-02T05:59:00Z,42.97,59.92
2026-04-02T06:00:00Z,42.91,59.93
2026-04-02T06:02:00Z,43.00,59.99
2026-04-02T06:06:00Z,43.60,59.99
2026-04-02T06:07:00Z,43.67,58.40
