# event_ticker=KXATPCHALLENGERMATCH-26MAY09BAXRIB
# final_score=6-4 6-3
# score_resolution=4-6 3-6
# match_winner=Florent Bax
# fav_player=Franco Ribero
# dog_player=Florent Bax
# kalshi_date=2026-05-09
timestamp,Florent Bax,Franco Ribero
2026-05-09T02:25:00Z,,16.00
2026-05-09T02:26:00Z,88.00,16.00
2026-05-09T02:53:00Z,88.00,16.00
2026-05-09T02:56:00Z,88.00,15.00
2026-05-09T03:12:00Z,88.00,15.00
2026-05-09T03:44:00Z,87.00,15.00
2026-05-09T04:23:00Z,87.00,15.00
2026-05-09T04:30:00Z,87.00,14.00
2026-05-09T04:31:00Z,87.00,14.00
2026-05-09T05:07:00Z,87.00,15.00
2026-05-09T05:47:00Z,87.00,15.00
2026-05-09T05:51:00Z,87.00,15.00
2026-05-09T05:59:00Z,87.00,15.00
2026-05-09T06:49:00Z,87.00,15.00
2026-05-09T07:33:00Z,87.00,15.00
2026-05-09T07:34:00Z,87.00,15.00
2026-05-09T08:01:00Z,87.00,15.00
2026-05-09T08:10:00Z,87.00,15.00
2026-05-09T09:30:00Z,87.00,15.00
2026-05-09T09:46:00Z,87.00,15.00
2026-05-09T09:49:00Z,87.00,15.00
2026-05-09T09:52:00Z,87.00,14.00
2026-05-09T10:15:00Z,87.00,14.00
2026-05-09T11:18:00Z,87.00,14.00
2026-05-09T11:58:00Z,87.00,14.00
2026-05-09T12:20:00Z,87.00,14.00
2026-05-09T12:38:00Z,87.00,14.00
2026-05-09T12:40:00Z,87.00,14.00
2026-05-09T13:36:00Z,87.00,14.00
2026-05-09T13:41:00Z,87.00,14.00
2026-05-09T13:45:00Z,87.00,14.00
2026-05-09T13:50:00Z,87.00,14.00
2026-05-09T13:52:00Z,87.00,14.00
2026-05-09T13:53:00Z,87.00,14.00
2026-05-09T13:54:00Z,87.00,14.00
2026-05-09T13:56:00Z,87.00,14.00
2026-05-09T13:58:00Z,87.00,14.00
2026-05-09T14:01:00Z,87.00,15.00
2026-05-09T14:02:00Z,87.00,15.00
2026-05-09T14:03:00Z,87.00,15.00
2026-05-09T14:06:00Z,83.00,15.00
2026-05-09T14:07:00Z,84.00,15.00
2026-05-09T14:08:00Z,80.00,15.00
2026-05-09T14:09:00Z,80.00,16.00
2026-05-09T14:10:00Z,88.00,13.00
2026-05-09T14:11:00Z,88.00,17.16
2026-05-09T14:12:00Z,88.00,13.00
2026-05-09T14:13:00Z,88.66,14.86
2026-05-09T14:14:00Z,88.66,15.00
2026-05-09T14:15:00Z,87.30,12.07
2026-05-09T14:16:00Z,87.97,13.00
2026-05-09T14:17:00Z,88.01,12.99
2026-05-09T14:18:00Z,87.97,13.60
2026-05-09T14:19:00Z,87.00,14.00
2026-05-09T14:20:00Z,87.00,14.00
2026-05-09T14:21:00Z,87.00,14.00
2026-05-09T14:22:00Z,87.00,14.00
2026-05-09T14:23:00Z,87.00,14.00
2026-05-09T14:25:00Z,87.00,14.00
2026-05-09T14:27:00Z,87.00,14.00
2026-05-09T14:28:00Z,87.00,11.95
2026-05-09T14:29:00Z,87.00,13.00
2026-05-09T14:30:00Z,87.00,14.00
2026-05-09T14:31:00Z,87.00,14.00
2026-05-09T14:32:00Z,86.00,14.75
2026-05-09T14:33:00Z,86.00,16.00
2026-05-09T14:34:00Z,86.00,14.39
2026-05-09T14:35:00Z,86.00,14.49
2026-05-09T14:36:00Z,88.00,14.15
2026-05-09T14:37:00Z,89.01,11.04
2026-05-09T14:38:00Z,90.03,8.68
2026-05-09T14:39:00Z,91.00,9.85
2026-05-09T14:40:00Z,87.85,12.85
2026-05-09T14:41:00Z,88.00,13.00
2026-05-09T14:42:00Z,86.00,14.94
2026-05-09T14:43:00Z,86.00,15.93
2026-05-09T14:44:00Z,86.97,14.52
2026-05-09T14:45:00Z,87.84,13.14
2026-05-09T14:46:00Z,88.00,13.00
2026-05-09T14:47:00Z,88.00,11.90
2026-05-09T14:48:00Z,91.27,9.99
2026-05-09T14:49:00Z,88.59,11.73
2026-05-09T14:50:00Z,86.00,14.38
2026-05-09T14:51:00Z,86.00,15.01
2026-05-09T14:52:00Z,86.82,13.00
2026-05-09T14:53:00Z,87.48,13.00
2026-05-09T14:54:00Z,87.00,14.00
2026-05-09T14:55:00Z,87.00,13.00
2026-05-09T14:56:00Z,86.95,13.06
2026-05-09T14:57:00Z,88.90,11.93
2026-05-09T14:58:00Z,91.88,9.00
2026-05-09T14:59:00Z,93.27,7.34
2026-05-09T15:00:00Z,96.00,4.93
2026-05-09T15:01:00Z,94.97,5.00
2026-05-09T15:02:00Z,96.00,5.00
2026-05-09T15:03:00Z,96.00,5.00
2026-05-09T15:04:00Z,96.00,5.00
2026-05-09T15:05:00Z,96.00,5.00
2026-05-09T15:06:00Z,96.00,5.00
2026-05-09T15:07:00Z,96.00,6.00
2026-05-09T15:08:00Z,96.00,6.00
2026-05-09T15:09:00Z,96.02,4.00
2026-05-09T15:10:00Z,96.09,4.00
2026-05-09T15:11:00Z,96.00,5.05
2026-05-09T15:12:00Z,95.00,6.00
2026-05-09T15:13:00Z,95.00,6.00
2026-05-09T15:14:00Z,96.00,4.79
2026-05-09T15:15:00Z,95.91,6.58
2026-05-09T15:16:00Z,95.91,6.97
2026-05-09T15:17:00Z,94.10,6.96
2026-05-09T15:18:00Z,91.85,8.97
2026-05-09T15:19:00Z,94.00,7.78
2026-05-09T15:20:00Z,95.00,6.82
2026-05-09T15:21:00Z,95.00,5.18
2026-05-09T15:22:00Z,95.00,6.14
2026-05-09T15:23:00Z,93.00,7.99
2026-05-09T15:24:00Z,93.00,7.93
2026-05-09T15:25:00Z,93.97,7.25
2026-05-09T15:26:00Z,93.00,7.00
2026-05-09T15:27:00Z,94.00,6.42
2026-05-09T15:28:00Z,94.00,6.45
2026-05-09T15:29:00Z,94.59,5.96
2026-05-09T15:30:00Z,95.54,4.25
2026-05-09T15:31:00Z,96.84,3.53
2026-05-09T15:32:00Z,97.04,3.51
2026-05-09T15:33:00Z,97.63,2.45
2026-05-09T15:34:00Z,98.98,2.03
2026-05-09T15:35:00Z,98.00,2.12
2026-05-09T15:36:00Z,98.00,2.11
2026-05-09T15:37:00Z,98.00,1.09
2026-05-09T15:38:00Z,99.00,1.82
2026-05-09T15:39:00Z,99.00,1.04
2026-05-09T15:40:00Z,99.00,1.00
2026-05-09T15:41:00Z,99.00,1.02
2026-05-09T15:42:00Z,99.00,1.68
