# event_ticker=KXATPCHALLENGERMATCH-26JUN01MARELL
# final_score=7-6(5) 7-6(5)
# score_resolution=6-7 6-7
# match_winner=Andres Martin
# fav_player=Blake Ellis
# dog_player=Andres Martin
# kalshi_date=2026-06-01
timestamp,Andres Martin,Blake Ellis
2026-06-03T08:52:00Z,65.00,
2026-06-03T11:29:00Z,63.00,
2026-06-03T13:51:00Z,65.00,
2026-06-03T14:21:00Z,65.00,
2026-06-03T14:26:00Z,65.00,
2026-06-03T14:38:00Z,63.00,
2026-06-03T14:56:00Z,65.00,
2026-06-03T15:14:00Z,65.00,37.00
2026-06-03T15:58:00Z,63.00,37.00
2026-06-03T16:14:00Z,63.00,37.00
2026-06-03T16:17:00Z,63.00,37.00
2026-06-03T16:49:00Z,65.00,37.00
2026-06-03T16:56:00Z,63.82,37.00
2026-06-03T17:01:00Z,63.82,37.00
2026-06-03T17:04:00Z,65.00,37.00
2026-06-03T17:06:00Z,65.00,37.00
2026-06-03T17:23:00Z,65.00,37.00
2026-06-03T17:34:00Z,65.00,35.00
2026-06-03T17:37:00Z,65.00,37.00
2026-06-03T17:40:00Z,62.20,37.00
2026-06-03T17:42:00Z,62.20,37.92
2026-06-03T17:43:00Z,65.00,37.92
2026-06-03T17:51:00Z,64.00,37.92
2026-06-03T17:53:00Z,64.00,38.00
2026-06-03T17:54:00Z,64.00,38.00
2026-06-03T18:06:00Z,64.00,38.00
2026-06-03T18:16:00Z,64.00,38.00
2026-06-03T18:20:00Z,64.00,38.00
2026-06-03T18:26:00Z,62.00,38.00
2026-06-03T18:28:00Z,64.52,38.00
2026-06-03T18:30:00Z,64.00,38.00
2026-06-03T18:33:00Z,64.00,38.00
2026-06-03T18:35:00Z,64.00,38.20
2026-06-03T18:36:00Z,64.00,39.80
2026-06-03T18:37:00Z,64.00,39.00
2026-06-03T18:38:00Z,64.00,38.50
2026-06-03T18:39:00Z,62.00,39.00
2026-06-03T18:40:00Z,61.10,39.61
2026-06-03T18:41:00Z,59.15,41.18
2026-06-03T18:42:00Z,59.15,42.25
2026-06-03T18:43:00Z,59.98,41.00
2026-06-03T18:44:00Z,59.00,41.31
2026-06-03T18:45:00Z,55.20,46.14
2026-06-03T18:46:00Z,52.04,51.48
2026-06-03T18:47:00Z,49.65,51.37
2026-06-03T18:48:00Z,57.71,42.00
2026-06-03T18:49:00Z,59.80,42.00
2026-06-03T18:50:00Z,59.00,41.01
2026-06-03T18:51:00Z,60.00,40.08
2026-06-03T18:52:00Z,62.73,39.43
2026-06-03T18:53:00Z,57.12,41.91
2026-06-03T18:54:00Z,57.00,44.00
2026-06-03T18:55:00Z,53.92,46.01
2026-06-03T18:56:00Z,52.98,48.94
2026-06-03T18:57:00Z,51.96,48.13
2026-06-03T18:58:00Z,43.34,59.80
2026-06-03T18:59:00Z,38.74,61.66
2026-06-03T19:00:00Z,39.92,63.65
2026-06-03T19:01:00Z,35.97,66.99
2026-06-03T19:02:00Z,34.00,67.00
2026-06-03T19:03:00Z,34.00,67.00
2026-06-03T19:04:00Z,34.00,66.00
2026-06-03T19:05:00Z,34.00,66.97
2026-06-03T19:06:00Z,37.00,64.86
2026-06-03T19:07:00Z,37.33,61.81
2026-06-03T19:08:00Z,45.79,52.32
2026-06-03T19:09:00Z,51.98,47.57
2026-06-03T19:10:00Z,55.24,47.00
2026-06-03T19:11:00Z,55.91,38.04
2026-06-03T19:12:00Z,60.75,41.02
2026-06-03T19:13:00Z,58.07,43.31
2026-06-03T19:14:00Z,65.78,35.97
2026-06-03T19:15:00Z,63.06,35.61
