# event_ticker=KXATPCHALLENGERMATCH-26MAR23RODGOM
# final_score=6-2 6-1
# match_winner=Lorenzo Joaquin Rodriguez
# fav_player=Lorenzo Joaquin Rodriguez
# dog_player=Juan Sebastian Gomez
# kalshi_date=2026-03-23
timestamp,Lorenzo Joaquin Rodriguez,Juan Sebastian Gomez
2026-03-23T09:35:00Z,,26.00
2026-03-23T09:41:00Z,72.00,28.00
2026-03-23T10:08:00Z,74.00,28.00
2026-03-23T10:09:00Z,75.00,28.00
2026-03-23T11:25:00Z,75.00,28.00
2026-03-23T13:06:00Z,76.00,28.00
2026-03-23T13:18:00Z,76.00,28.00
2026-03-23T13:27:00Z,76.00,28.00
2026-03-23T15:29:00Z,76.00,24.00
2026-03-23T17:00:00Z,76.00,24.00
2026-03-23T17:07:00Z,76.00,23.00
2026-03-23T18:01:00Z,76.00,24.00
2026-03-23T18:48:00Z,75.00,24.00
2026-03-23T18:57:00Z,76.00,24.00
2026-03-23T19:19:00Z,76.00,27.00
2026-03-23T19:24:00Z,76.00,27.00
2026-03-23T19:49:00Z,75.00,27.00
2026-03-23T19:50:00Z,75.00,27.00
2026-03-23T19:51:00Z,75.00,27.00
2026-03-23T19:52:00Z,76.00,27.00
2026-03-23T20:37:00Z,76.00,27.00
2026-03-23T21:04:00Z,76.00,27.00
2026-03-23T21:07:00Z,76.00,27.08
2026-03-23T21:08:00Z,75.94,27.08
2026-03-23T21:10:00Z,73.00,27.08
2026-03-23T21:11:00Z,73.00,28.00
2026-03-23T21:12:00Z,77.00,23.76
2026-03-23T21:13:00Z,82.00,23.76
2026-03-23T21:14:00Z,83.00,16.00
2026-03-23T21:15:00Z,85.00,15.00
2026-03-23T21:16:00Z,83.00,20.00
2026-03-23T21:19:00Z,83.00,12.00
2026-03-23T21:21:00Z,91.00,9.00
2026-03-23T21:22:00Z,91.00,9.97
2026-03-23T21:23:00Z,91.57,11.00
2026-03-23T21:24:00Z,90.00,9.00
2026-03-23T21:25:00Z,90.58,10.52
2026-03-23T21:26:00Z,91.00,11.00
2026-03-23T21:27:00Z,88.98,11.00
2026-03-23T21:28:00Z,85.00,17.00
2026-03-23T21:29:00Z,85.00,19.00
2026-03-23T21:31:00Z,79.05,19.00
2026-03-23T21:32:00Z,79.05,19.42
2026-03-23T21:33:00Z,78.00,19.42
2026-03-23T21:34:00Z,76.05,21.00
2026-03-23T21:36:00Z,79.00,21.00
2026-03-23T21:37:00Z,83.33,17.00
2026-03-23T21:38:00Z,83.33,20.00
2026-03-23T21:39:00Z,83.33,16.00
2026-03-23T21:40:00Z,84.10,13.00
2026-03-23T21:42:00Z,89.00,13.00
2026-03-23T21:43:00Z,89.00,11.00
2026-03-23T21:44:00Z,89.00,10.00
2026-03-23T21:45:00Z,90.00,10.00
2026-03-23T21:46:00Z,90.00,10.00
2026-03-23T21:47:00Z,91.00,10.00
2026-03-23T21:50:00Z,92.00,8.05
2026-03-23T21:51:00Z,94.00,6.99
2026-03-23T21:52:00Z,94.00,6.00
2026-03-23T21:53:00Z,94.09,5.00
2026-03-23T21:54:00Z,96.00,5.00
2026-03-23T21:55:00Z,96.00,5.00
2026-03-23T21:56:00Z,96.44,3.91
2026-03-23T21:57:00Z,98.00,2.00
2026-03-23T21:58:00Z,97.98,2.84
2026-03-23T21:59:00Z,96.00,5.00
2026-03-23T22:01:00Z,96.09,3.04
2026-03-23T22:02:00Z,97.00,3.04
2026-03-23T22:03:00Z,98.00,3.00
2026-03-23T22:04:00Z,98.00,3.00
2026-03-23T22:05:00Z,98.00,3.00
2026-03-23T22:06:00Z,99.00,1.00
2026-03-23T22:07:00Z,99.00,1.00
2026-03-23T22:08:00Z,99.00,1.00
2026-03-23T22:09:00Z,99.00,1.00
2026-03-23T22:10:00Z,99.00,2.42
2026-03-23T22:11:00Z,99.00,2.08
2026-03-23T22:12:00Z,99.00,1.00
2026-03-23T22:13:00Z,99.00,1.97
2026-03-23T22:14:00Z,99.00,1.65
