# event_ticker=KXATPCHALLENGERMATCH-26APR20SQUSAK
# final_score=7-6(3) 4-6 6-4
# score_resolution=6-7 6-4 4-6
# match_winner=Stefanos Sakellaridis
# fav_player=Henri Squire
# dog_player=Stefanos Sakellaridis
# kalshi_date=2026-04-20
timestamp,Henri Squire,Stefanos Sakellaridis
2026-04-20T01:35:00Z,37.00,
2026-04-20T02:18:00Z,37.00,64.00
2026-04-20T02:26:00Z,37.00,64.98
2026-04-20T03:52:00Z,37.00,63.00
2026-04-20T03:54:00Z,37.00,65.00
2026-04-20T05:55:00Z,37.00,64.00
2026-04-20T05:56:00Z,36.00,64.00
2026-04-20T06:47:00Z,36.00,64.85
2026-04-20T06:55:00Z,37.00,65.00
2026-04-20T07:31:00Z,37.00,65.00
2026-04-20T08:37:00Z,37.00,65.00
2026-04-20T09:01:00Z,37.00,65.00
2026-04-20T09:13:00Z,37.00,65.11
2026-04-20T09:15:00Z,37.00,66.00
2026-04-20T09:48:00Z,37.00,65.00
2026-04-20T10:16:00Z,37.00,65.00
2026-04-20T10:23:00Z,37.00,65.00
2026-04-20T10:37:00Z,37.00,65.00
2026-04-20T10:48:00Z,37.00,65.00
2026-04-20T11:12:00Z,37.00,66.00
2026-04-20T11:23:00Z,37.00,66.00
2026-04-20T11:40:00Z,37.00,66.00
2026-04-20T11:44:00Z,37.00,66.00
2026-04-20T11:52:00Z,37.00,66.00
2026-04-20T12:02:00Z,37.00,64.00
2026-04-20T12:10:00Z,36.96,64.00
2026-04-20T12:12:00Z,36.96,66.00
2026-04-20T12:13:00Z,36.96,66.00
2026-04-20T12:19:00Z,36.96,66.00
2026-04-20T12:23:00Z,36.96,66.00
2026-04-20T12:24:00Z,36.96,66.00
2026-04-20T12:25:00Z,36.96,67.00
2026-04-20T12:33:00Z,36.96,67.00
2026-04-20T12:37:00Z,36.96,67.00
2026-04-20T12:40:00Z,36.96,67.00
2026-04-20T12:43:00Z,36.00,67.00
2026-04-20T12:44:00Z,36.00,66.00
2026-04-20T12:45:00Z,36.00,67.00
2026-04-20T12:49:00Z,36.00,66.00
2026-04-20T12:50:00Z,36.00,67.00
2026-04-20T12:51:00Z,36.00,66.00
2026-04-20T12:52:00Z,36.00,66.58
2026-04-20T12:55:00Z,36.00,66.14
2026-04-20T12:59:00Z,36.00,66.00
2026-04-20T13:00:00Z,36.00,66.00
2026-04-20T13:01:00Z,36.00,66.85
2026-04-20T13:02:00Z,36.00,66.85
2026-04-20T13:03:00Z,36.00,66.00
2026-04-20T13:04:00Z,36.00,66.00
2026-04-20T13:05:00Z,36.00,66.74
2026-04-20T13:06:00Z,36.06,63.80
2026-04-20T13:07:00Z,40.71,61.13
2026-04-20T13:08:00Z,41.44,59.39
2026-04-20T13:09:00Z,41.44,64.01
2026-04-20T13:10:00Z,36.00,65.16
2026-04-20T13:11:00Z,39.68,61.04
2026-04-20T13:12:00Z,39.68,59.00
2026-04-20T13:13:00Z,39.68,59.00
2026-04-20T13:14:00Z,43.00,57.35
2026-04-20T13:15:00Z,50.88,54.80
2026-04-20T13:16:00Z,48.29,53.73
2026-04-20T13:17:00Z,51.06,53.02
2026-04-20T13:18:00Z,44.18,59.75
2026-04-20T13:20:00Z,45.30,56.00
2026-04-20T13:21:00Z,44.47,56.00
2026-04-20T13:22:00Z,46.31,55.89
2026-04-20T13:23:00Z,41.62,57.26
2026-04-20T13:24:00Z,43.00,57.26
2026-04-20T13:25:00Z,42.00,59.00
2026-04-20T13:26:00Z,42.67,57.64
2026-04-20T13:27:00Z,47.23,54.50
2026-04-20T13:28:00Z,47.00,54.50
2026-04-20T13:29:00Z,52.14,50.13
2026-04-20T13:30:00Z,55.22,41.16
2026-04-20T13:31:00Z,56.49,38.07
2026-04-20T13:32:00Z,52.00,47.57
2026-04-20T13:33:00Z,57.51,45.85
2026-04-20T13:34:00Z,48.31,51.83
2026-04-20T13:35:00Z,50.00,51.07
2026-04-20T13:36:00Z,50.00,49.97
2026-04-20T13:37:00Z,51.86,49.90
2026-04-20T13:38:00Z,55.00,48.88
2026-04-20T13:39:00Z,56.80,47.23
2026-04-20T13:40:00Z,50.96,50.47
2026-04-20T13:41:00Z,49.00,52.98
2026-04-20T13:42:00Z,48.65,51.90
2026-04-20T13:43:00Z,46.78,52.16
2026-04-20T13:44:00Z,50.73,53.17
2026-04-20T13:45:00Z,53.76,47.54
2026-04-20T13:46:00Z,54.00,50.12
2026-04-20T13:47:00Z,55.58,45.16
2026-04-20T13:48:00Z,55.58,49.50
2026-04-20T13:49:00Z,53.00,50.42
2026-04-20T13:50:00Z,43.11,57.27
