# event_ticker=KXATPMATCH-25AUG10POPLAN
# final_score=7-6(3) 6-3
# score_resolution=7-6 6-3
# match_winner=Alexei Popyrin
# fav_player=Alexei Popyrin
# dog_player=Martin Landaluce
# kalshi_date=2025-08-10
timestamp,Alexei Popyrin,Martin Landaluce
2025-08-10T07:38:00Z,78.00,
2025-08-10T11:49:00Z,76.00,
2025-08-10T12:34:00Z,74.00,
2025-08-10T13:06:00Z,74.00,
2025-08-10T13:07:00Z,74.00,
2025-08-10T14:05:00Z,73.00,
2025-08-10T14:10:00Z,75.00,
2025-08-10T14:44:00Z,75.00,27.00
2025-08-10T14:50:00Z,73.00,27.00
2025-08-10T14:57:00Z,73.00,27.00
2025-08-10T15:00:00Z,73.00,27.00
2025-08-10T15:14:00Z,73.00,27.00
2025-08-10T15:23:00Z,73.00,27.42
2025-08-10T15:27:00Z,73.00,27.42
2025-08-10T15:47:00Z,73.00,27.42
2025-08-10T17:15:00Z,73.00,27.42
2025-08-10T17:21:00Z,73.00,27.42
2025-08-10T17:29:00Z,73.00,29.00
2025-08-10T17:32:00Z,73.00,29.00
2025-08-10T17:35:00Z,73.00,29.00
2025-08-10T17:36:00Z,73.00,29.00
2025-08-10T17:40:00Z,73.00,29.00
2025-08-10T17:49:00Z,73.00,29.00
2025-08-10T17:55:00Z,73.00,29.00
2025-08-10T18:02:00Z,73.00,29.78
2025-08-10T18:04:00Z,73.00,29.78
2025-08-10T18:13:00Z,73.41,29.78
2025-08-10T18:22:00Z,73.41,28.24
2025-08-10T18:26:00Z,77.00,26.00
2025-08-10T18:28:00Z,77.00,31.00
2025-08-10T18:29:00Z,76.53,28.04
2025-08-10T18:30:00Z,75.00,28.04
2025-08-10T18:31:00Z,73.00,28.04
2025-08-10T18:35:00Z,77.00,28.04
2025-08-10T18:36:00Z,77.00,28.04
2025-08-10T18:37:00Z,77.00,27.23
2025-08-10T18:38:00Z,74.81,27.23
2025-08-10T18:40:00Z,74.81,27.56
2025-08-10T18:41:00Z,70.89,27.56
2025-08-10T18:42:00Z,65.00,34.78
2025-08-10T18:43:00Z,64.00,33.00
2025-08-10T18:44:00Z,64.76,34.42
2025-08-10T18:46:00Z,74.00,34.42
2025-08-10T18:48:00Z,74.00,29.15
