# event_ticker=KXATPCHALLENGERMATCH-26MAY12MONKIC
# final_score=6-2 6-2
# score_resolution=2-6 2-6
# match_winner=Nicolas Kicker
# fav_player=Ignacio Monzon
# dog_player=Nicolas Kicker
# kalshi_date=2026-05-12
timestamp,Ignacio Monzon,Nicolas Kicker
2026-05-12T03:51:00Z,92.00,
2026-05-12T07:27:00Z,92.00,67.00
2026-05-12T09:47:00Z,24.00,67.00
2026-05-12T09:48:00Z,24.00,77.49
2026-05-12T09:51:00Z,23.00,77.49
2026-05-12T10:23:00Z,24.00,77.49
2026-05-12T10:38:00Z,23.00,77.49
2026-05-12T10:54:00Z,23.00,79.00
2026-05-12T11:00:00Z,23.00,79.00
2026-05-12T11:01:00Z,23.00,79.00
2026-05-12T11:14:00Z,23.00,79.00
2026-05-12T11:22:00Z,20.00,79.00
2026-05-12T12:18:00Z,20.00,81.00
2026-05-12T13:48:00Z,20.00,81.00
2026-05-12T14:36:00Z,20.00,81.00
2026-05-12T14:48:00Z,20.00,81.17
2026-05-12T14:54:00Z,22.00,81.17
2026-05-12T14:55:00Z,22.00,87.00
2026-05-12T14:58:00Z,23.85,87.00
2026-05-12T15:01:00Z,21.94,87.00
2026-05-12T15:02:00Z,21.00,80.00
2026-05-12T15:03:00Z,16.00,86.00
2026-05-12T15:04:00Z,15.00,86.95
2026-05-12T15:05:00Z,15.00,87.00
2026-05-12T15:06:00Z,15.00,87.12
2026-05-12T15:07:00Z,13.00,88.00
2026-05-12T15:09:00Z,14.00,88.00
2026-05-12T15:10:00Z,14.00,88.00
2026-05-12T15:11:00Z,14.00,88.00
2026-05-12T15:12:00Z,12.00,88.04
2026-05-12T15:13:00Z,13.00,86.00
2026-05-12T15:14:00Z,14.00,86.00
2026-05-12T15:16:00Z,19.54,86.00
2026-05-12T15:17:00Z,21.46,78.00
2026-05-12T15:18:00Z,21.94,80.13
2026-05-12T15:19:00Z,24.00,80.13
2026-05-12T15:20:00Z,23.00,78.99
2026-05-12T15:21:00Z,23.00,82.00
2026-05-12T15:22:00Z,16.00,83.00
2026-05-12T15:23:00Z,16.00,83.00
2026-05-12T15:24:00Z,16.00,83.00
2026-05-12T15:25:00Z,16.00,84.00
2026-05-12T15:26:00Z,15.35,85.00
2026-05-12T15:27:00Z,15.00,84.35
2026-05-12T15:28:00Z,14.37,86.00
2026-05-12T15:29:00Z,14.00,87.00
2026-05-12T15:30:00Z,13.00,87.00
2026-05-12T15:31:00Z,12.50,87.00
2026-05-12T15:32:00Z,13.00,88.06
2026-05-12T15:33:00Z,13.00,88.49
2026-05-12T15:35:00Z,13.00,88.00
2026-05-12T15:36:00Z,13.00,88.03
2026-05-12T15:37:00Z,9.00,92.29
2026-05-12T15:38:00Z,9.00,93.00
2026-05-12T15:39:00Z,6.00,93.97
2026-05-12T15:40:00Z,8.00,94.71
2026-05-12T15:41:00Z,8.00,94.80
2026-05-12T15:42:00Z,8.00,94.80
2026-05-12T15:43:00Z,8.00,94.80
2026-05-12T15:45:00Z,6.00,94.80
2026-05-12T15:46:00Z,5.00,94.80
2026-05-12T15:48:00Z,3.99,96.07
2026-05-12T15:49:00Z,3.49,98.00
2026-05-12T15:50:00Z,4.00,98.00
2026-05-12T15:51:00Z,2.98,98.91
2026-05-12T15:55:00Z,2.00,98.91
2026-05-12T15:56:00Z,1.93,98.91
2026-05-12T15:57:00Z,2.00,99.00
2026-05-12T15:58:00Z,3.00,98.86
2026-05-12T15:59:00Z,3.00,99.00
2026-05-12T16:00:00Z,1.00,99.00
2026-05-12T16:01:00Z,1.00,99.00
2026-05-12T16:02:00Z,1.07,99.00
2026-05-12T16:03:00Z,2.99,99.00
2026-05-12T16:04:00Z,4.25,97.13
2026-05-12T16:05:00Z,2.69,99.00
2026-05-12T16:06:00Z,1.07,98.96
2026-05-12T16:07:00Z,3.00,99.00
2026-05-12T16:08:00Z,3.00,99.00
2026-05-12T16:09:00Z,1.00,99.00
2026-05-12T16:10:00Z,1.00,99.00
2026-05-12T16:11:00Z,1.00,99.00
2026-05-12T16:12:00Z,1.00,99.00
2026-05-12T16:15:00Z,1.00,99.00
2026-05-12T16:17:00Z,1.00,99.00
2026-05-12T16:18:00Z,1.00,99.00
2026-05-12T16:19:00Z,1.00,99.00
2026-05-12T16:20:00Z,1.00,99.00
2026-05-12T16:21:00Z,1.00,99.00
2026-05-12T16:22:00Z,1.00,99.00
2026-05-12T16:27:00Z,1.00,99.00
