# event_ticker=KXATPCHALLENGERMATCH-26MAR10BARCOL
# final_score=7-6(4) 6-3
# score_resolution=6-7 3-6
# match_winner=Raphael Collignon
# fav_player=Marcelo Tomas Barrios Vera
# dog_player=Raphael Collignon
# kalshi_date=2026-03-10
timestamp,Marcelo Tomas Barrios Vera,Raphael Collignon
2026-03-10T13:55:00Z,,80.00
2026-03-10T15:03:00Z,,76.00
2026-03-10T16:45:00Z,24.00,76.00
2026-03-10T19:55:00Z,24.00,76.00
2026-03-10T20:51:00Z,24.00,76.00
2026-03-10T20:54:00Z,24.00,76.00
2026-03-10T22:19:00Z,24.00,76.00
2026-03-10T22:25:00Z,24.00,76.00
2026-03-10T22:30:00Z,24.00,77.73
2026-03-10T22:31:00Z,25.00,77.73
2026-03-10T22:36:00Z,23.00,79.00
2026-03-10T22:37:00Z,23.00,79.00
2026-03-10T22:38:00Z,23.00,79.00
2026-03-10T22:40:00Z,23.00,79.98
2026-03-10T22:41:00Z,25.00,79.98
2026-03-10T22:42:00Z,28.71,73.00
2026-03-10T22:43:00Z,29.00,73.00
2026-03-10T22:44:00Z,28.05,75.00
2026-03-10T22:45:00Z,23.00,75.28
2026-03-10T22:46:00Z,20.65,75.28
2026-03-10T22:47:00Z,22.95,79.00
2026-03-10T22:48:00Z,17.00,82.00
2026-03-10T22:50:00Z,17.00,86.00
2026-03-10T22:51:00Z,13.00,89.03
2026-03-10T22:52:00Z,10.97,90.00
2026-03-10T22:53:00Z,11.00,90.00
2026-03-10T22:54:00Z,9.00,91.00
2026-03-10T22:55:00Z,11.00,91.00
2026-03-10T22:56:00Z,12.00,91.00
2026-03-10T22:57:00Z,13.00,91.00
2026-03-10T22:58:00Z,11.00,88.00
2026-03-10T22:59:00Z,13.24,87.00
2026-03-10T23:00:00Z,14.00,87.00
2026-03-10T23:01:00Z,17.00,87.00
2026-03-10T23:02:00Z,23.88,87.00
2026-03-10T23:03:00Z,23.88,76.01
2026-03-10T23:04:00Z,24.76,76.01
2026-03-10T23:05:00Z,22.00,76.01
2026-03-10T23:06:00Z,17.55,86.71
2026-03-10T23:07:00Z,17.55,90.00
2026-03-10T23:08:00Z,12.00,90.00
2026-03-10T23:09:00Z,7.39,92.00
2026-03-10T23:10:00Z,7.39,91.00
2026-03-10T23:11:00Z,9.92,91.00
2026-03-10T23:12:00Z,9.96,91.70
2026-03-10T23:13:00Z,10.86,92.00
2026-03-10T23:14:00Z,9.98,92.00
2026-03-10T23:16:00Z,14.00,85.43
2026-03-10T23:17:00Z,14.95,85.43
2026-03-10T23:18:00Z,21.76,85.43
2026-03-10T23:19:00Z,14.87,87.73
2026-03-10T23:20:00Z,14.10,87.73
2026-03-10T23:21:00Z,21.24,87.73
