# event_ticker=KXATPCHALLENGERMATCH-26APR28BASKOP
# final_score=6-3 6-4
# score_resolution=3-6 4-6
# match_winner=Sandro Kopp
# fav_player=Nikoloz Basilashvili
# dog_player=Sandro Kopp
# kalshi_date=2026-04-28
timestamp,Nikoloz Basilashvili,Sandro Kopp
2026-04-27T20:19:00Z,63.00,
2026-04-27T21:07:00Z,68.00,
2026-04-27T21:40:00Z,68.00,
2026-04-28T00:16:00Z,68.99,
2026-04-28T01:21:00Z,68.99,32.00
2026-04-28T01:29:00Z,68.99,32.00
2026-04-28T03:14:00Z,69.00,32.00
2026-04-28T03:38:00Z,69.00,32.00
2026-04-28T03:46:00Z,69.00,32.00
2026-04-28T04:27:00Z,69.00,32.00
2026-04-28T04:35:00Z,69.00,32.00
2026-04-28T05:25:00Z,69.00,32.00
2026-04-28T05:27:00Z,69.00,32.00
2026-04-28T05:39:00Z,69.00,30.00
2026-04-28T05:59:00Z,69.00,30.00
2026-04-28T06:33:00Z,69.00,30.00
2026-04-28T07:07:00Z,69.00,30.00
2026-04-28T07:18:00Z,69.00,30.00
2026-04-28T07:29:00Z,69.00,30.00
2026-04-28T07:57:00Z,69.00,30.00
2026-04-28T08:00:00Z,69.00,32.00
2026-04-28T08:02:00Z,70.00,32.82
2026-04-28T08:07:00Z,70.00,32.82
2026-04-28T08:08:00Z,70.00,32.82
2026-04-28T08:10:00Z,71.00,32.82
2026-04-28T08:11:00Z,72.00,32.82
2026-04-28T08:13:00Z,73.00,32.82
2026-04-28T08:14:00Z,70.00,32.89
2026-04-28T08:15:00Z,65.54,42.57
2026-04-28T08:16:00Z,63.00,34.89
2026-04-28T08:17:00Z,58.00,41.53
2026-04-28T08:18:00Z,54.00,47.18
2026-04-28T08:19:00Z,54.00,44.73
2026-04-28T08:20:00Z,57.00,46.54
2026-04-28T08:21:00Z,56.73,46.54
2026-04-28T08:22:00Z,64.53,44.00
2026-04-28T08:23:00Z,69.62,31.55
2026-04-28T08:24:00Z,69.00,31.55
2026-04-28T08:26:00Z,72.77,29.00
2026-04-28T08:27:00Z,76.75,29.00
2026-04-28T08:28:00Z,75.00,25.00
2026-04-28T08:29:00Z,72.34,29.22
2026-04-28T08:30:00Z,67.13,33.02
2026-04-28T08:31:00Z,62.88,38.88
2026-04-28T08:32:00Z,66.58,36.48
2026-04-28T08:33:00Z,64.73,36.77
2026-04-28T08:34:00Z,54.64,45.29
2026-04-28T08:35:00Z,52.00,49.02
2026-04-28T08:36:00Z,47.28,52.90
2026-04-28T08:37:00Z,44.05,56.92
2026-04-28T08:38:00Z,44.05,59.85
2026-04-28T08:39:00Z,39.76,61.64
2026-04-28T08:40:00Z,37.49,64.13
2026-04-28T08:41:00Z,35.00,65.98
2026-04-28T08:42:00Z,35.91,66.96
2026-04-28T08:43:00Z,32.55,66.99
2026-04-28T08:44:00Z,33.77,68.28
2026-04-28T08:45:00Z,29.01,71.25
2026-04-28T08:46:00Z,30.94,69.04
2026-04-28T08:47:00Z,31.67,70.38
2026-04-28T08:48:00Z,27.20,73.00
2026-04-28T08:49:00Z,32.44,68.51
2026-04-28T08:50:00Z,28.30,71.54
2026-04-28T08:51:00Z,34.72,70.35
2026-04-28T08:52:00Z,30.38,70.89
2026-04-28T08:53:00Z,30.00,72.00
2026-04-28T08:54:00Z,27.87,74.40
2026-04-28T08:55:00Z,19.34,77.06
2026-04-28T08:56:00Z,16.85,84.16
2026-04-28T08:57:00Z,11.49,92.09
2026-04-28T08:58:00Z,7.18,93.28
2026-04-28T08:59:00Z,7.00,94.00
2026-04-28T09:00:00Z,8.29,91.95
2026-04-28T09:01:00Z,8.66,92.39
2026-04-28T09:02:00Z,10.68,90.96
2026-04-28T09:03:00Z,9.19,89.67
2026-04-28T09:04:00Z,9.97,93.32
2026-04-28T09:05:00Z,8.39,92.72
2026-04-28T09:06:00Z,9.01,91.34
2026-04-28T09:07:00Z,14.03,85.44
2026-04-28T09:08:00Z,22.57,75.89
2026-04-28T09:09:00Z,26.80,73.99
2026-04-28T09:10:00Z,33.17,69.06
2026-04-28T09:11:00Z,34.18,66.45
2026-04-28T09:12:00Z,28.74,71.15
2026-04-28T09:13:00Z,25.66,74.56
2026-04-28T09:14:00Z,20.93,78.45
2026-04-28T09:15:00Z,25.30,74.10
2026-04-28T09:16:00Z,26.99,72.46
2026-04-28T09:17:00Z,22.57,78.92
2026-04-28T09:18:00Z,24.61,74.50
2026-04-28T09:19:00Z,16.14,90.56
2026-04-28T09:20:00Z,1.94,99.00
2026-04-28T09:21:00Z,1.00,99.00
2026-04-28T09:22:00Z,1.00,99.00
