# event_ticker=KXATPCHALLENGERMATCH-26APR23ANDMAY
# final_score=7-6(5) 6-4
# score_resolution=7-6 6-4
# match_winner=Andy Andrade
# fav_player=Andres Andrade
# dog_player=Aidan Mayo
# kalshi_date=2026-04-23
timestamp,Andres Andrade,Aidan Mayo
2026-04-23T05:50:00Z,64.00,
2026-04-23T05:54:00Z,62.00,
2026-04-23T09:48:00Z,65.00,
2026-04-23T11:39:00Z,65.00,37.00
2026-04-23T11:40:00Z,65.00,37.00
2026-04-23T12:40:00Z,65.00,37.00
2026-04-23T13:06:00Z,65.00,37.00
2026-04-23T13:10:00Z,65.00,37.00
2026-04-23T13:45:00Z,65.00,37.00
2026-04-23T13:52:00Z,65.00,37.00
2026-04-23T14:19:00Z,65.00,36.00
2026-04-23T14:30:00Z,65.00,36.00
2026-04-23T14:50:00Z,64.00,36.00
2026-04-23T14:52:00Z,65.00,36.00
2026-04-23T14:58:00Z,65.00,36.00
2026-04-23T15:03:00Z,65.00,36.00
2026-04-23T15:16:00Z,65.00,36.00
2026-04-23T15:18:00Z,65.00,36.00
2026-04-23T15:20:00Z,65.00,36.00
2026-04-23T15:22:00Z,66.00,36.00
2026-04-23T15:23:00Z,66.00,36.00
2026-04-23T15:25:00Z,65.00,37.00
2026-04-23T15:26:00Z,65.00,37.00
2026-04-23T15:30:00Z,65.00,37.00
2026-04-23T15:31:00Z,65.00,37.00
2026-04-23T15:33:00Z,66.00,37.00
2026-04-23T15:35:00Z,66.00,37.00
2026-04-23T15:39:00Z,66.00,37.00
2026-04-23T15:40:00Z,66.00,37.00
2026-04-23T15:42:00Z,66.00,37.00
2026-04-23T15:43:00Z,64.00,37.00
2026-04-23T15:44:00Z,66.00,37.00
2026-04-23T15:52:00Z,66.00,37.00
2026-04-23T15:54:00Z,66.00,37.00
2026-04-23T15:56:00Z,66.00,37.00
2026-04-23T15:57:00Z,65.00,37.00
2026-04-23T15:58:00Z,65.00,37.00
2026-04-23T15:59:00Z,66.43,37.00
2026-04-23T16:00:00Z,66.43,37.00
2026-04-23T16:02:00Z,66.00,36.26
2026-04-23T16:03:00Z,65.05,36.00
2026-04-23T16:04:00Z,65.05,36.34
2026-04-23T16:07:00Z,66.00,36.00
2026-04-23T16:08:00Z,66.00,36.00
2026-04-23T16:10:00Z,66.00,37.00
2026-04-23T16:13:00Z,66.00,37.00
2026-04-23T16:14:00Z,66.00,37.00
2026-04-23T16:15:00Z,66.00,37.00
2026-04-23T16:16:00Z,66.00,36.00
2026-04-23T16:18:00Z,66.00,36.00
