# event_ticker=KXATPCHALLENGERMATCH-26APR02ZHOMIL
# final_score=7-5 6-3
# score_resolution=5-7 3-6
# match_winner=Ognjen Milic
# fav_player=Yi Zhou
# dog_player=Ognjen Milic
# kalshi_date=2026-04-02
timestamp,Yi Zhou,Ognjen Milic
2026-04-01T20:57:00Z,65.00,
2026-04-01T21:03:00Z,65.00,
2026-04-01T21:04:00Z,65.00,34.00
2026-04-01T21:27:00Z,67.00,34.00
2026-04-01T21:30:00Z,67.00,34.00
2026-04-01T21:36:00Z,66.00,34.00
2026-04-01T21:50:00Z,67.00,34.00
2026-04-01T22:40:00Z,67.00,34.00
2026-04-01T23:19:00Z,67.00,34.00
2026-04-01T23:42:00Z,67.00,35.00
2026-04-01T23:47:00Z,67.00,35.00
2026-04-02T00:15:00Z,67.00,35.00
2026-04-02T01:33:00Z,67.00,35.00
2026-04-02T02:01:00Z,67.00,35.00
2026-04-02T02:08:00Z,67.00,35.00
2026-04-02T02:50:00Z,67.00,35.00
2026-04-02T03:02:00Z,67.00,34.00
2026-04-02T03:30:00Z,67.00,34.00
2026-04-02T03:31:00Z,67.00,34.00
2026-04-02T03:35:00Z,67.00,34.00
2026-04-02T03:36:00Z,67.00,34.00
2026-04-02T03:38:00Z,67.00,34.00
2026-04-02T03:40:00Z,67.00,34.00
2026-04-02T03:46:00Z,67.00,33.00
2026-04-02T04:03:00Z,68.00,33.00
2026-04-02T04:04:00Z,68.00,31.00
2026-04-02T04:06:00Z,68.00,31.00
2026-04-02T04:07:00Z,68.13,31.00
2026-04-02T04:09:00Z,69.00,31.00
2026-04-02T04:10:00Z,69.00,31.00
2026-04-02T04:12:00Z,69.00,33.00
2026-04-02T04:16:00Z,68.00,33.00
2026-04-02T04:20:00Z,68.00,33.00
2026-04-02T04:29:00Z,68.00,34.00
2026-04-02T04:30:00Z,69.00,34.00
2026-04-02T04:31:00Z,69.00,34.00
2026-04-02T04:34:00Z,69.00,34.00
2026-04-02T04:38:00Z,69.00,34.00
2026-04-02T04:39:00Z,69.00,34.00
2026-04-02T04:40:00Z,69.00,34.00
2026-04-02T04:41:00Z,68.00,35.00
2026-04-02T04:42:00Z,68.00,35.00
2026-04-02T04:43:00Z,68.00,35.00
2026-04-02T04:44:00Z,68.00,35.00
2026-04-02T04:45:00Z,68.00,35.00
2026-04-02T04:46:00Z,68.00,35.00
2026-04-02T04:47:00Z,68.00,35.00
2026-04-02T04:48:00Z,68.00,34.00
2026-04-02T04:58:00Z,68.00,34.80
2026-04-02T05:01:00Z,68.00,35.00
2026-04-02T05:03:00Z,69.34,34.81
2026-04-02T05:04:00Z,67.00,33.00
2026-04-02T05:06:00Z,69.00,33.00
2026-04-02T05:12:00Z,69.00,33.00
2026-04-02T05:13:00Z,69.00,33.00
2026-04-02T05:15:00Z,69.00,33.00
