# event_ticker=KXATPCHALLENGERMATCH-26APR14TABGUE
# final_score=6-1 3-0 RET
# match_winner=Clement Tabur
# fav_player=Clement Tabur
# dog_player=Sascha Gueymard Wayenburg
# kalshi_date=2026-04-14
timestamp,Clement Tabur,Sascha Gueymard Wayenburg
2026-04-14T06:01:00Z,59.00,
2026-04-14T09:45:00Z,59.00,41.00
2026-04-14T09:48:00Z,61.00,41.00
2026-04-14T10:17:00Z,61.00,42.00
2026-04-14T12:06:00Z,59.00,42.00
2026-04-14T13:04:00Z,60.29,42.00
2026-04-14T13:37:00Z,58.00,42.00
2026-04-14T13:55:00Z,60.00,42.00
2026-04-14T14:14:00Z,60.00,42.00
2026-04-14T14:16:00Z,60.00,42.00
2026-04-14T14:52:00Z,60.00,42.00
2026-04-14T14:57:00Z,60.00,42.00
2026-04-14T15:09:00Z,60.00,42.00
2026-04-14T15:13:00Z,60.00,42.00
2026-04-14T15:17:00Z,60.00,42.00
2026-04-14T15:29:00Z,61.00,42.00
2026-04-14T15:30:00Z,61.00,39.00
2026-04-14T15:48:00Z,61.00,39.00
2026-04-14T15:54:00Z,61.00,39.00
2026-04-14T15:58:00Z,61.00,41.74
2026-04-14T16:01:00Z,61.00,42.00
2026-04-14T16:03:00Z,60.00,42.00
2026-04-14T16:08:00Z,60.00,42.00
2026-04-14T16:11:00Z,60.00,42.00
2026-04-14T16:18:00Z,60.00,39.00
2026-04-14T16:21:00Z,61.00,39.00
2026-04-14T16:24:00Z,60.00,39.00
2026-04-14T16:25:00Z,60.00,40.00
2026-04-14T16:32:00Z,60.56,40.00
2026-04-14T16:41:00Z,60.58,40.00
2026-04-14T16:57:00Z,60.66,40.00
2026-04-14T16:58:00Z,60.00,40.00
2026-04-14T17:01:00Z,60.81,40.00
2026-04-14T17:04:00Z,60.80,40.00
2026-04-14T17:08:00Z,60.00,40.00
2026-04-14T17:23:00Z,61.00,40.00
2026-04-14T17:26:00Z,61.00,40.00
2026-04-14T17:28:00Z,61.00,40.00
2026-04-14T17:40:00Z,61.00,40.00
2026-04-14T17:45:00Z,58.03,40.00
2026-04-14T17:49:00Z,61.00,40.00
2026-04-14T17:51:00Z,61.85,40.00
2026-04-14T17:52:00Z,61.85,41.00
2026-04-14T17:53:00Z,62.00,41.00
2026-04-14T17:54:00Z,62.60,39.00
2026-04-14T17:55:00Z,62.60,39.64
2026-04-14T17:56:00Z,63.00,41.18
2026-04-14T17:57:00Z,54.50,47.56
2026-04-14T17:58:00Z,58.61,41.10
2026-04-14T17:59:00Z,60.37,39.83
2026-04-14T18:00:00Z,61.61,39.27
2026-04-14T18:01:00Z,61.30,40.00
2026-04-14T18:02:00Z,69.50,34.43
2026-04-14T18:03:00Z,68.99,30.51
2026-04-14T18:04:00Z,70.82,25.99
2026-04-14T18:05:00Z,76.18,25.11
2026-04-14T18:06:00Z,74.38,26.88
2026-04-14T18:07:00Z,77.33,25.08
2026-04-14T18:08:00Z,74.00,28.36
2026-04-14T18:09:00Z,77.00,23.00
2026-04-14T18:10:00Z,78.00,21.99
2026-04-14T18:11:00Z,77.00,21.81
2026-04-14T18:12:00Z,77.00,23.56
2026-04-14T18:13:00Z,72.14,27.61
2026-04-14T18:14:00Z,74.03,26.36
2026-04-14T18:15:00Z,76.27,24.00
2026-04-14T18:16:00Z,80.00,21.00
2026-04-14T18:17:00Z,80.12,20.00
2026-04-14T18:18:00Z,83.55,19.45
2026-04-14T18:19:00Z,86.71,14.52
2026-04-14T18:20:00Z,85.59,15.00
2026-04-14T18:21:00Z,86.00,13.00
2026-04-14T18:22:00Z,86.03,13.00
2026-04-14T18:23:00Z,84.51,15.56
2026-04-14T18:24:00Z,85.09,16.00
2026-04-14T18:25:00Z,83.92,16.18
2026-04-14T18:26:00Z,85.00,14.88
2026-04-14T18:27:00Z,85.33,15.00
2026-04-14T18:28:00Z,84.00,16.18
2026-04-14T18:29:00Z,83.34,17.00
2026-04-14T18:30:00Z,83.14,17.24
2026-04-14T18:31:00Z,84.82,15.00
2026-04-14T18:32:00Z,85.00,15.00
2026-04-14T18:33:00Z,86.00,15.00
2026-04-14T18:34:00Z,83.56,12.63
2026-04-14T18:35:00Z,90.03,12.43
2026-04-14T18:36:00Z,92.97,7.84
2026-04-14T18:37:00Z,93.96,5.10
2026-04-14T18:38:00Z,96.15,4.84
2026-04-14T18:39:00Z,96.73,3.95
2026-04-14T18:40:00Z,98.57,2.05
2026-04-14T18:41:00Z,99.00,1.00
2026-04-14T18:42:00Z,99.00,1.00
2026-04-14T18:43:00Z,99.00,1.00
