# event_ticker=KXATPMATCH-25JUL27MONBAR
# final_score=6-4 4-6 7-6(3)
# score_resolution=4-6 6-4 6-7
# match_winner=Tomas Barrios Vera
# fav_player=Gael Monfils
# dog_player=Marcelo Tomas Barrios Vera
# kalshi_date=2025-07-27
timestamp,Gael Monfils,Marcelo Tomas Barrios Vera
2025-07-27T17:07:00Z,,32.00
2025-07-27T17:15:00Z,,31.00
2025-07-27T17:20:00Z,,31.00
2025-07-27T18:02:00Z,,31.00
2025-07-27T18:54:00Z,79.00,31.00
2025-07-27T18:55:00Z,79.00,31.00
2025-07-27T18:57:00Z,80.00,31.00
2025-07-27T18:59:00Z,93.00,31.00
2025-07-27T19:05:00Z,93.00,31.00
2025-07-27T19:17:00Z,45.00,31.00
2025-07-27T19:26:00Z,76.59,31.00
2025-07-27T19:27:00Z,74.14,31.00
2025-07-27T19:28:00Z,75.00,31.00
2025-07-27T19:30:00Z,71.00,31.00
2025-07-27T19:32:00Z,50.00,58.95
2025-07-27T19:33:00Z,45.01,59.06
2025-07-27T19:35:00Z,45.01,55.00
2025-07-27T19:36:00Z,45.01,47.00
2025-07-27T19:39:00Z,45.01,62.11
2025-07-27T19:40:00Z,59.00,62.11
2025-07-27T19:41:00Z,59.00,65.00
2025-07-27T19:43:00Z,59.00,57.00
2025-07-27T19:44:00Z,59.00,54.40
2025-07-27T19:45:00Z,59.00,50.00
2025-07-27T19:46:00Z,59.00,47.00
2025-07-27T19:47:00Z,59.00,54.00
2025-07-27T19:49:00Z,59.00,51.00
2025-07-27T19:51:00Z,59.00,48.41
2025-07-27T19:52:00Z,48.00,48.41
2025-07-27T19:54:00Z,48.00,73.39
2025-07-27T19:55:00Z,48.00,76.18
2025-07-27T19:56:00Z,48.00,75.00
2025-07-27T19:59:00Z,48.00,59.00
2025-07-27T20:00:00Z,58.00,63.00
2025-07-27T20:01:00Z,53.00,64.00
2025-07-27T20:02:00Z,53.00,68.46
2025-07-27T20:06:00Z,53.00,68.46
2025-07-27T20:07:00Z,53.00,63.00
2025-07-27T20:08:00Z,50.99,63.00
2025-07-27T20:09:00Z,54.00,58.17
2025-07-27T20:10:00Z,54.00,64.00
2025-07-27T20:12:00Z,39.00,64.00
2025-07-27T20:13:00Z,33.08,70.23
2025-07-27T20:14:00Z,45.00,77.00
2025-07-27T20:16:00Z,45.00,81.00
2025-07-27T20:17:00Z,45.00,87.00
2025-07-27T20:18:00Z,26.00,87.00
2025-07-27T20:19:00Z,26.00,88.00
2025-07-27T20:20:00Z,26.00,94.00
